"/V0/PLUS_dcOp (b0=0,b1=0,b2=0) X","/V0/PLUS_dcOp (b0=0,b1=0,b2=0) Y","/V0/PLUS_dcOp (b0=0,b1=0,b2=1) X","/V0/PLUS_dcOp (b0=0,b1=0,b2=1) Y","/V0/PLUS_dcOp (b0=0,b1=1,b2=0) X","/V0/PLUS_dcOp (b0=0,b1=1,b2=0) Y","/V0/PLUS_dcOp (b0=0,b1=1,b2=1) X","/V0/PLUS_dcOp (b0=0,b1=1,b2=1) Y","/V0/PLUS_dcOp (b0=1,b1=0,b2=0) X","/V0/PLUS_dcOp (b0=1,b1=0,b2=0) Y","/V0/PLUS_dcOp (b0=1,b1=0,b2=1) X","/V0/PLUS_dcOp (b0=1,b1=0,b2=1) Y","/V0/PLUS_dcOp (b0=1,b1=1,b2=0) X","/V0/PLUS_dcOp (b0=1,b1=1,b2=0) Y","/V0/PLUS_dcOp (b0=1,b1=1,b2=1) X","/V0/PLUS_dcOp (b0=1,b1=1,b2=1) Y"
0,-4.67298245106163e-05,0,-6.355730282000025e-05,0,-5.514361389774723e-05,0,-7.197089000588869e-05,0,-5.093673152363817e-05,0,-6.776410873231324e-05,0,-5.935047036028105e-05,0,-7.617764536863749e-05
1,-8.038437736500763e-05,1,-9.721104688309319e-05,1,-8.879776235427197e-05,1,-0.0001056242296808021,1,-8.459108217875693e-05,1,-0.000101417650600813,1,-9.300441661970872e-05,1,-0.0001098492116593201
