"delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=-55) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=0) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=0) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=80) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=80) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=0) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=0) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=80) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=80) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=-55) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=0) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=0) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=80) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=0) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=80) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=0) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=80) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=0) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=80) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=0) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=80) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=0) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=80) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=80) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=0) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=0) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=80) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=80) Y"
7.909999999999999e-06,6.399508827273663e-09,7.909999999999999e-06,5.730339825927381e-09,7.909999999999999e-06,4.867338946321546e-09,7.909999999999999e-06,5.919833368128617e-09,7.909999999999999e-06,5.40632972990863e-09,7.909999999999999e-06,4.74414219164291e-09,7.909999999999999e-06,5.859538551734957e-09,7.909999999999999e-06,5.4407288845354e-09,7.909999999999999e-06,4.845373550765299e-09,7.909999999999999e-06,1.034421456534594e-08,7.909999999999999e-06,9.522141275795292e-09,7.909999999999999e-06,8.294190464072473e-09,7.909999999999999e-06,8.746394425594979e-09,7.909999999999999e-06,8.010649476015321e-09,7.909999999999999e-06,7.085389925080931e-09,7.909999999999999e-06,8.418385153465429e-09,7.909999999999999e-06,7.869450256965527e-09,7.909999999999999e-06,7.122180770941692e-09,7.909999999999999e-06,3.841616564885986e-09,7.909999999999999e-06,3.389255439523665e-09,7.909999999999999e-06,2.832261760458809e-09,7.909999999999999e-06,3.720686340297366e-09,7.909999999999999e-06,3.380078845085866e-09,7.909999999999999e-06,2.905725534455993e-09,7.909999999999999e-06,3.757075971141786e-09,7.909999999999999e-06,3.43095226466579e-09,7.909999999999999e-06,2.969820165422773e-09
7.939999999999999e-06,6.419872392840665e-09,7.939999999999999e-06,5.748986321038161e-09,7.939999999999999e-06,4.884067530422665e-09,7.939999999999999e-06,5.939575621989101e-09,7.939999999999999e-06,5.424238037749345e-09,7.939999999999999e-06,4.761178581061036e-09,7.939999999999999e-06,5.879731751397047e-09,7.939999999999999e-06,5.459530337665067e-09,7.939999999999999e-06,4.86219082884117e-09,7.939999999999999e-06,1.037684116699127e-08,7.939999999999999e-06,9.55146831802426e-09,7.939999999999999e-06,8.319217413176651e-09,7.939999999999999e-06,8.774170883274689e-09,7.939999999999999e-06,8.036127304722666e-09,7.939999999999999e-06,7.107505536974429e-09,7.939999999999999e-06,8.445999310136446e-09,7.939999999999999e-06,7.895220400745696e-09,7.939999999999999e-06,7.145534421476812e-09,7.939999999999999e-06,3.854993683930807e-09,7.939999999999999e-06,3.401055784710932e-09,7.939999999999999e-06,2.842292095947641e-09,7.939999999999999e-06,3.734189297267279e-09,7.939999999999999e-06,3.392605598536623e-09,7.939999999999999e-06,2.916406679102665e-09,7.939999999999999e-06,3.77099465856003e-09,7.939999999999999e-06,3.443723034011478e-09,7.939999999999999e-06,2.980962307765168e-09
7.97e-06,6.441628296620064e-09,7.97e-06,5.767741581603604e-09,7.97e-06,4.899893541842511e-09,7.97e-06,5.959637600833304e-09,7.97e-06,5.44265469763126e-09,7.97e-06,4.776477233926675e-09,7.97e-06,5.900231674311365e-09,7.97e-06,5.478573604660678e-09,7.97e-06,4.879236573016256e-09,7.97e-06,1.040966508180065e-08,7.97e-06,9.581351898310788e-09,7.97e-06,8.347039390983967e-09,7.97e-06,8.802942546548386e-09,7.97e-06,8.061941799429008e-09,7.97e-06,7.130778337034329e-09,7.97e-06,8.474039909921113e-09,7.97e-06,7.921318045502136e-09,7.97e-06,7.167978592525286e-09,7.97e-06,3.86848956281104e-09,7.97e-06,3.413050885096226e-09,7.97e-06,2.852356579226608e-09,7.97e-06,3.747764828755596e-09,7.97e-06,3.405148123411758e-09,7.97e-06,2.927218285565078e-09,7.97e-06,3.785168697119501e-09,7.97e-06,3.456696031771714e-09,7.97e-06,2.99211713857276e-09
8e-06,6.462439095367994e-09,8e-06,5.786077274775377e-09,8e-06,4.914157705517444e-09,8e-06,5.979654938060179e-09,8e-06,5.460840079524641e-09,8e-06,4.793513359695898e-09,8e-06,5.920426146605595e-09,8e-06,5.497361743296957e-09,8e-06,4.896048709432031e-09,8e-06,1.044240658763765e-08,8e-06,9.610986964277118e-09,8e-06,8.371055834874668e-09,8e-06,8.831710562945774e-09,8e-06,8.08749125724931e-09,8e-06,7.153220386047355e-09,8e-06,8.501583790888483e-09,8e-06,7.947085355589951e-09,8e-06,7.19255915430279e-09,8e-06,3.881843966080265e-09,8e-06,3.424664885495707e-09,8e-06,2.862423129128712e-09,8e-06,3.761471951283233e-09,8e-06,3.417577615239198e-09,8e-06,2.937985707847869e-09,8e-06,3.799088930704366e-09,8e-06,3.469458388383202e-09,8e-06,3.003331464498501e-09
8.029999999999999e-06,6.483735406239204e-09,8.029999999999999e-06,5.804803569977181e-09,8.029999999999999e-06,4.931012038091451e-09,8.029999999999999e-06,5.999712839712906e-09,8.029999999999999e-06,5.479604986496356e-09,8.029999999999999e-06,4.808800853398002e-09,8.029999999999999e-06,5.940926010923406e-09,8.029999999999999e-06,5.516457980308241e-09,8.029999999999999e-06,4.913101517998668e-09,8.029999999999999e-06,1.04751183274377e-08,8.029999999999999e-06,9.639634894106212e-09,8.029999999999999e-06,8.394740000669412e-09,8.029999999999999e-06,8.860314679543447e-09,8.029999999999999e-06,8.113135309088053e-09,8.029999999999999e-06,7.175852077682203e-09,8.029999999999999e-06,8.529400030403698e-09,8.029999999999999e-06,7.973212113554277e-09,8.029999999999999e-06,7.216366484160933e-09,8.029999999999999e-06,3.895029577065162e-09,8.029999999999999e-06,3.436837282885761e-09,8.029999999999999e-06,2.872602459251023e-09,8.029999999999999e-06,3.774808037784135e-09,8.029999999999999e-06,3.430128680742204e-09,8.029999999999999e-06,2.949003025926992e-09,8.029999999999999e-06,3.813261838395554e-09,8.029999999999999e-06,3.482453850458525e-09,8.029999999999999e-06,3.014692645836992e-09
8.059999999999999e-06,6.5043350546477e-09,8.059999999999999e-06,5.823388955182817e-09,8.059999999999999e-06,4.945710086777153e-09,8.059999999999999e-06,6.019556582718467e-09,8.059999999999999e-06,5.497703064207718e-09,8.059999999999999e-06,4.824832801394052e-09,8.059999999999999e-06,5.961115709367395e-09,8.059999999999999e-06,5.535494763404526e-09,8.059999999999999e-06,4.929906897767061e-09,8.059999999999999e-06,1.050512485374142e-08,8.059999999999999e-06,9.668465387676612e-09,8.059999999999999e-06,8.422656064695104e-09,8.059999999999999e-06,8.882856240809213e-09,8.059999999999999e-06,8.137089043959254e-09,8.059999999999999e-06,7.198552748869469e-09,8.059999999999999e-06,8.55711790270606e-09,8.059999999999999e-06,7.998981004640637e-09,8.059999999999999e-06,7.23852979751414e-09,8.059999999999999e-06,3.908414089265115e-09,8.059999999999999e-06,3.449035253835016e-09,8.059999999999999e-06,2.882735750809424e-09,8.059999999999999e-06,3.788681971178054e-09,8.059999999999999e-06,3.442423424552289e-09,8.059999999999999e-06,2.959715930566817e-09,8.059999999999999e-06,3.827181150254329e-09,8.059999999999999e-06,3.495194934679088e-09,8.059999999999999e-06,3.025852292255936e-09
8.089999999999999e-06,6.525542214117969e-09,8.089999999999999e-06,5.84184731849186e-09,8.089999999999999e-06,4.960715605482891e-09,8.089999999999999e-06,6.040106719082756e-09,8.089999999999999e-06,5.51668375071912e-09,8.089999999999999e-06,4.841165660688992e-09,8.089999999999999e-06,5.981614773140677e-09,8.089999999999999e-06,5.554602680189701e-09,8.089999999999999e-06,4.946963541042481e-09,8.089999999999999e-06,1.054038952423453e-08,8.089999999999999e-06,9.69694829016462e-09,8.089999999999999e-06,8.447401985889636e-09,8.089999999999999e-06,8.915771517591468e-09,8.089999999999999e-06,8.16420344817844e-09,8.089999999999999e-06,7.220948643012964e-09,8.089999999999999e-06,8.584865440063511e-09,8.089999999999999e-06,8.026648517001422e-09,8.089999999999999e-06,7.263560957120032e-09,8.089999999999999e-06,3.922282465126013e-09,8.089999999999999e-06,3.460952266337464e-09,8.089999999999999e-06,2.892797531563939e-09,8.089999999999999e-06,3.80230538164192e-09,8.089999999999999e-06,3.454995488487958e-09,8.089999999999999e-06,2.970566084497884e-09,8.089999999999999e-06,3.841353070034227e-09,8.089999999999999e-06,3.508024019653954e-09,8.089999999999999e-06,3.037116893781173e-09
8.119999999999998e-06,6.546341996043765e-09,8.119999999999998e-06,5.860237208767017e-09,8.119999999999998e-06,4.976858069386811e-09,8.119999999999998e-06,6.059762649330986e-09,8.119999999999998e-06,5.534661309752007e-09,8.119999999999998e-06,4.857157393023115e-09,8.119999999999998e-06,6.001805009685733e-09,8.119999999999998e-06,5.573289746651605e-09,8.119999999999998e-06,4.963760502405489e-09,8.119999999999998e-06,1.05719661652034e-08,8.119999999999998e-06,9.728320311228969e-09,8.119999999999998e-06,8.472301642647349e-09,8.119999999999998e-06,8.944628634818508e-09,8.119999999999998e-06,8.190203477446617e-09,8.119999999999998e-06,7.244055124026579e-09,8.119999999999998e-06,8.612290724239087e-09,8.119999999999998e-06,8.052452090803983e-09,8.119999999999998e-06,7.285648415606068e-09,8.119999999999998e-06,3.935346248718011e-09,8.119999999999998e-06,3.472674697703522e-09,8.119999999999998e-06,2.902880171122385e-09,8.119999999999998e-06,3.815917838189695e-09,8.119999999999998e-06,3.467361307856429e-09,8.119999999999998e-06,2.981315727005811e-09,8.119999999999998e-06,3.855272171538965e-09,8.119999999999998e-06,3.520776753189036e-09,8.119999999999998e-06,3.048287123636143e-09
8.15e-06,6.567831260161091e-09,8.15e-06,5.879124281507214e-09,8.15e-06,4.992589309238289e-09,8.15e-06,6.079503678656844e-09,8.15e-06,5.552328361303547e-09,8.15e-06,4.874380264061543e-09,8.15e-06,6.022302048361647e-09,8.15e-06,5.592346402767747e-09,8.15e-06,4.980823183363604e-09,8.15e-06,1.060484148311605e-08,8.15e-06,9.758035337787465e-09,8.15e-06,8.497865371698275e-09,8.15e-06,8.972543094328139e-09,8.15e-06,8.215444551804638e-09,8.15e-06,7.266844365445334e-09,8.15e-06,8.640088473793992e-09,8.15e-06,8.078580871419462e-09,8.15e-06,7.309369741562568e-09,8.15e-06,3.949601803279175e-09,8.15e-06,3.484766215674974e-09,8.15e-06,2.913059235510927e-09,8.15e-06,3.829472347874165e-09,8.15e-06,3.479831851735625e-09,8.15e-06,2.992203950597382e-09,8.15e-06,3.869444118591744e-09,8.15e-06,3.533945739117926e-09,8.15e-06,3.059620634231573e-09
8.18e-06,6.58898517425119e-09,8.18e-06,5.897553285079408e-09,8.18e-06,5.008975791590177e-09,8.18e-06,6.099292472700148e-09,8.18e-06,5.570907483511089e-09,8.18e-06,4.889503734654163e-09,8.18e-06,6.042490931357314e-09,8.18e-06,5.611145798694238e-09,8.18e-06,4.99762180685223e-09,8.18e-06,1.063697679115366e-08,8.18e-06,9.78770005793935e-09,8.18e-06,8.522625419879669e-09,8.18e-06,8.998886782456079e-09,8.18e-06,8.241131022034971e-09,8.18e-06,7.289350761381618e-09,8.18e-06,8.66766518747868e-09,8.18e-06,8.104353794122617e-09,8.18e-06,7.332792299893846e-09,8.18e-06,3.963101627750175e-09,8.18e-06,3.496254702007454e-09,8.18e-06,2.923067390278336e-09,8.18e-06,3.842980316124363e-09,8.18e-06,3.492151775541424e-09,8.18e-06,3.002919699060794e-09,8.18e-06,3.883362845265922e-09,8.18e-06,3.546703810276916e-09,8.18e-06,3.070766908695659e-09
8.209999999999999e-06,6.60992561710438e-09,8.209999999999999e-06,5.916063521047679e-09,8.209999999999999e-06,5.022961720779619e-09,8.209999999999999e-06,6.119339973193681e-09,8.209999999999999e-06,5.588892135610697e-09,8.209999999999999e-06,4.906474057961965e-09,8.209999999999999e-06,6.062992971947805e-09,8.209999999999999e-06,5.630305316851516e-09,8.209999999999999e-06,5.014408037546762e-09,8.209999999999999e-06,1.067091713819914e-08,8.209999999999999e-06,9.81324168523668e-09,8.209999999999999e-06,8.548343694172493e-09,8.209999999999999e-06,9.029601437633297e-09,8.209999999999999e-06,8.266107347765942e-09,8.209999999999999e-06,7.312240049326346e-09,8.209999999999999e-06,8.695541683573469e-09,8.209999999999999e-06,8.130476197147339e-09,8.209999999999999e-06,7.357827794001763e-09,8.209999999999999e-06,3.97660085990206e-09,8.209999999999999e-06,3.508389385273524e-09,8.209999999999999e-06,2.932612193515469e-09,8.209999999999999e-06,3.85681858858105e-09,8.209999999999999e-06,3.50422755134645e-09,8.209999999999999e-06,3.013114558704155e-09,8.209999999999999e-06,3.897528110870352e-09,8.209999999999999e-06,3.55951961025879e-09,8.209999999999999e-06,3.081290531702089e-09
8.239999999999999e-06,6.630860060220288e-09,8.239999999999999e-06,5.934723066115155e-09,8.239999999999999e-06,5.040444471194468e-09,8.239999999999999e-06,6.139011272940047e-09,8.239999999999999e-06,5.606971655964772e-09,8.239999999999999e-06,4.922646984897443e-09,8.239999999999999e-06,6.083178706340887e-09,8.239999999999999e-06,5.649087460885803e-09,8.239999999999999e-06,5.03116118207358e-09,8.239999999999999e-06,1.070365666722428e-08,8.239999999999999e-06,9.846862828166077e-09,8.239999999999999e-06,8.572920498603886e-09,8.239999999999999e-06,9.057624796015446e-09,8.239999999999999e-06,8.292379953358633e-09,8.239999999999999e-06,7.334748914730157e-09,8.239999999999999e-06,8.724018693594357e-09,8.239999999999999e-06,8.155842328246097e-09,8.239999999999999e-06,7.381238918817556e-09,8.239999999999999e-06,3.990847879446052e-09,8.239999999999999e-06,3.520058602545662e-09,8.239999999999999e-06,2.942932036503728e-09,8.239999999999999e-06,3.870295853158234e-09,8.239999999999999e-06,3.516806317852028e-09,8.239999999999999e-06,3.024169039414923e-09,8.239999999999999e-06,3.911444886242854e-09,8.239999999999999e-06,3.572280616648814e-09,8.239999999999999e-06,3.092778322458569e-09
