"/V0/PLUS_dcOp (b0=0,b1=0,b2=0) X","/V0/PLUS_dcOp (b0=0,b1=0,b2=0) Y","/V0/PLUS_dcOp (b0=0,b1=0,b2=1) X","/V0/PLUS_dcOp (b0=0,b1=0,b2=1) Y","/V0/PLUS_dcOp (b0=0,b1=1,b2=0) X","/V0/PLUS_dcOp (b0=0,b1=1,b2=0) Y","/V0/PLUS_dcOp (b0=0,b1=1,b2=1) X","/V0/PLUS_dcOp (b0=0,b1=1,b2=1) Y","/V0/PLUS_dcOp (b0=1,b1=0,b2=0) X","/V0/PLUS_dcOp (b0=1,b1=0,b2=0) Y","/V0/PLUS_dcOp (b0=1,b1=0,b2=1) X","/V0/PLUS_dcOp (b0=1,b1=0,b2=1) Y","/V0/PLUS_dcOp (b0=1,b1=1,b2=0) X","/V0/PLUS_dcOp (b0=1,b1=1,b2=0) Y","/V0/PLUS_dcOp (b0=1,b1=1,b2=1) X","/V0/PLUS_dcOp (b0=1,b1=1,b2=1) Y"
0,-4.962896509222785e-05,0,-6.742886509097624e-05,0,-5.85289698046892e-05,0,-7.632864937856655e-05,0,-5.40789808212172e-05,0,-7.187877061915015e-05,0,-6.297893043764184e-05,0,-8.077849981086819e-05
1,-8.522832494414829e-05,1,-0.0001030273431650803,1,-9.412788879430598e-05,1,-0.0001119266866015094,1,-8.967812026790575e-05,1,-0.0001074770282931696,1,-9.857762899947219e-05,1,-0.0001163756545047805
