/r"out_DTC X,/out_DTC Y,/in_DTC X,/in_DTC Y,/V_ramp X,/V_ramp Y,/V_n X,/V_n Y,D X,D LogicBus
8.3e-07,-1.047878092959722e-07,8.3e-07,1.1,8.3e-07,0.5125344531263366,8.3e-07,0.6312819874478575,8.3e-07,11111111
8.300126371727979e-07,-1.048595626085852e-07,8.300039062499999e-07,1.091406250000076,8.300126371727979e-07,0.512534445592895,8.300126371727979e-07,0.6312761974529827,8.303404004681884e-07,00101010
8.300259018010308e-07,-9.760116694659341e-08,8.300116948297647e-07,1.074271374517725,8.300259018010308e-07,0.5125344899055658,8.300259018010308e-07,0.6312701718487616,8.503404576209825e-07,10001100
8.300499247503737e-07,-1.017562167269675e-07,8.300147776172102e-07,1.067489242137597,8.300499247503737e-07,0.5125345181356213,8.300499247503737e-07,0.6312594429073318,8.703405426250813e-07,11110000
8.30078731285214e-07,-9.646346420759726e-08,8.300177135410689e-07,1.061030209648495,8.30078731285214e-07,0.5125345472328259,8.30078731285214e-07,0.6312469008168884,8.899999999999999e-07,11110000
8.301363443548946e-07,-8.997144880702416e-08,8.30022816396037e-07,1.049803928718582,8.301363443548946e-07,0.5125346129698258,8.301363443548946e-07,0.6312228580048493,  ,  
8.30165150889735e-07,-8.682342713827397e-08,8.300330221059733e-07,1.027351366858756,8.30165150889735e-07,0.5125346518148269,8.30165150889735e-07,0.6312113520768969,  ,  
8.301854745862637e-07,-8.307217274868216e-08,8.300470270990234e-07,0.9965403821485895,8.301854745862637e-07,0.5125347168506204,8.301854745862637e-07,0.6312034339074304,  ,  
8.302019531094528e-07,-7.641457740874198e-08,8.300655444276462e-07,0.9558022591782401,8.302019531094528e-07,0.5125348599160741,8.302019531094528e-07,0.6311971336621653,  ,  
8.302217814041872e-07,-6.54976674747344e-08,8.300928150394104e-07,0.8958069132970508,8.302217814041872e-07,0.5125353272947604,8.302217814041872e-07,0.6311896920503919,  ,  
