delay (Vbp=0) X,delay (Vbp=0) Y,delay (Vbp=0.55) X,delay (Vbp=0.55) Y,delay (Vbp=1.1) X,delay (Vbp=1.1) Y,delay (Vbp=1.5) X,delay (Vbp=1.5) Y,delay (Vbp=2) X,delay (Vbp=2) Y
1.58e-06,5.012221687948036e-10,1.58e-06,8.300959400710906e-10,1.58e-06,1.160756215154328e-09,1.58e-06,1.345657656768837e-09,1.58e-06,1.5376633029314e-09
1.6e-06,5.12372047678712e-10,1.6e-06,8.457579282888903e-10,1.6e-06,1.180123320442535e-09,1.6e-06,1.366803505570129e-09,1.6e-06,1.5608976996873e-09
1.62e-06,5.229258167737176e-10,1.62e-06,8.618515240565372e-10,1.62e-06,1.199458257286492e-09,1.62e-06,1.388200873192852e-09,1.62e-06,1.582968851261583e-09
1.64e-06,5.342711797162408e-10,1.64e-06,8.772345443544623e-10,1.64e-06,1.218783984530757e-09,1.64e-06,1.408835258938201e-09,1.64e-06,1.607350460190261e-09
1.66e-06,5.450802872115853e-10,1.66e-06,8.937233668959697e-10,1.66e-06,1.23760058168102e-09,1.66e-06,1.430065782395126e-09,1.66e-06,1.630144289388628e-09
1.68e-06,5.56689475415859e-10,1.68e-06,9.092929118855817e-10,1.68e-06,1.257304429982869e-09,1.68e-06,1.451295629131027e-09,1.68e-06,1.653602578378825e-09
1.7e-06,5.680773720291572e-10,1.7e-06,9.251496629989946e-10,1.7e-06,1.276495082009222e-09,1.7e-06,1.471754193964924e-09,1.7e-06,1.676447963013266e-09
1.72e-06,5.795959881059655e-10,1.72e-06,9.412331973758012e-10,1.72e-06,1.295867799945417e-09,1.72e-06,1.493134066301746e-09,1.72e-06,1.699563972453652e-09
1.74e-06,5.910929750134693e-10,1.74e-06,9.575308366796059e-10,1.74e-06,1.31500192039501e-09,1.74e-06,1.51502700495645e-09,1.74e-06,1.722386676104773e-09
1.76e-06,6.024938434117848e-10,1.76e-06,9.733021908667614e-10,1.76e-06,1.334738129903887e-09,1.76e-06,1.536327286036695e-09,1.76e-06,1.744830764975772e-09
1.78e-06,6.142522240885599e-10,1.78e-06,9.893511462666358e-10,1.78e-06,1.354037204586374e-09,1.78e-06,1.556988702598751e-09,1.78e-06,1.767527744322881e-09
1.8e-06,6.263883736429563e-10,1.8e-06,1.005299772716387e-09,1.8e-06,1.373483875149306e-09,1.8e-06,1.578678543567391e-09,1.8e-06,1.790625946034228e-09
