"delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=-55) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=27) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=27) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=125) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=0.88,temperature=125) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=27) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=27) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=125) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.1,temperature=125) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=-55) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=27) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=27) Y","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=125) X","delay (modelFiles=toplevel.scs:top_tt,Vdd=1.32,temperature=125) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=27) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=27) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=125) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=0.88,temperature=125) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=27) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=27) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=125) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.1,temperature=125) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=27) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=27) Y","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=125) X","delay (modelFiles=toplevel.scs:top_ss,Vdd=1.32,temperature=125) Y","delay (modelFiles=toplevel.scs:top_sf,Vdd=0.88,temperature=-55) X","delay (modelFiles=toplevel.scs:top_sf,Vdd=0.88,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_sf,Vdd=0.88,temperature=27) X","delay (modelFiles=toplevel.scs:top_sf,Vdd=0.88,temperature=27) Y","delay (modelFiles=toplevel.scs:top_sf,Vdd=0.88,temperature=125) X","delay (modelFiles=toplevel.scs:top_sf,Vdd=0.88,temperature=125) Y","delay (modelFiles=toplevel.scs:top_sf,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_sf,Vdd=1.1,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_sf,Vdd=1.1,temperature=27) X","delay (modelFiles=toplevel.scs:top_sf,Vdd=1.1,temperature=27) Y","delay (modelFiles=toplevel.scs:top_sf,Vdd=1.1,temperature=125) X","delay (modelFiles=toplevel.scs:top_sf,Vdd=1.1,temperature=125) Y","delay (modelFiles=toplevel.scs:top_sf,Vdd=1.32,temperature=-55) X","delay (modelFiles=toplevel.scs:top_sf,Vdd=1.32,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_sf,Vdd=1.32,temperature=27) X","delay (modelFiles=toplevel.scs:top_sf,Vdd=1.32,temperature=27) Y","delay (modelFiles=toplevel.scs:top_sf,Vdd=1.32,temperature=125) X","delay (modelFiles=toplevel.scs:top_sf,Vdd=1.32,temperature=125) Y","delay (modelFiles=toplevel.scs:top_fs,Vdd=0.88,temperature=-55) X","delay (modelFiles=toplevel.scs:top_fs,Vdd=0.88,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_fs,Vdd=0.88,temperature=27) X","delay (modelFiles=toplevel.scs:top_fs,Vdd=0.88,temperature=27) Y","delay (modelFiles=toplevel.scs:top_fs,Vdd=0.88,temperature=125) X","delay (modelFiles=toplevel.scs:top_fs,Vdd=0.88,temperature=125) Y","delay (modelFiles=toplevel.scs:top_fs,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_fs,Vdd=1.1,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_fs,Vdd=1.1,temperature=27) X","delay (modelFiles=toplevel.scs:top_fs,Vdd=1.1,temperature=27) Y","delay (modelFiles=toplevel.scs:top_fs,Vdd=1.1,temperature=125) X","delay (modelFiles=toplevel.scs:top_fs,Vdd=1.1,temperature=125) Y","delay (modelFiles=toplevel.scs:top_fs,Vdd=1.32,temperature=-55) X","delay (modelFiles=toplevel.scs:top_fs,Vdd=1.32,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_fs,Vdd=1.32,temperature=27) X","delay (modelFiles=toplevel.scs:top_fs,Vdd=1.32,temperature=27) Y","delay (modelFiles=toplevel.scs:top_fs,Vdd=1.32,temperature=125) X","delay (modelFiles=toplevel.scs:top_fs,Vdd=1.32,temperature=125) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=27) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=27) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=125) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=0.88,temperature=125) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=27) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=27) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=125) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.1,temperature=125) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=-55) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=27) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=27) Y","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=125) X","delay (modelFiles=toplevel.scs:top_ff,Vdd=1.32,temperature=125) Y","delay (modelFiles=toplevel.scs:top_ttg_localmc,Vdd=1.1,temperature=-55) X","delay (modelFiles=toplevel.scs:top_ttg_localmc,Vdd=1.1,temperature=-55) Y"
6.000000000000001e-08,1.417500343014617e-08,6.000000000000001e-08,1.416818105038641e-08,6.000000000000001e-08,1.415908620371091e-08,6.000000000000001e-08,1.409293991122032e-08,6.000000000000001e-08,1.409692048566829e-08,6.000000000000001e-08,1.409937168743602e-08,6.000000000000001e-08,1.406091444738747e-08,6.000000000000001e-08,1.406674106293557e-08,6.000000000000001e-08,1.407141393570572e-08,6.000000000000001e-08,1.4261583865637e-08,6.000000000000001e-08,1.424051137515283e-08,6.000000000000001e-08,1.422234354764357e-08,6.000000000000001e-08,1.412913262668075e-08,6.000000000000001e-08,1.413120243984203e-08,6.000000000000001e-08,1.413117346311908e-08,6.000000000000001e-08,1.40810891565854e-08,6.000000000000001e-08,1.408630069064741e-08,6.000000000000001e-08,1.409072888387812e-08,6.000000000000001e-08,1.416928278175008e-08,6.000000000000001e-08,1.416589364213027e-08,6.000000000000001e-08,1.415887991968631e-08,6.000000000000001e-08,1.410278643395425e-08,6.000000000000001e-08,1.410593001250822e-08,6.000000000000001e-08,1.410758405060344e-08,6.000000000000001e-08,1.407402619867247e-08,6.000000000000001e-08,1.407901760400217e-08,6.000000000000001e-08,1.408301336056905e-08,6.000000000000001e-08,1.419062293626868e-08,6.000000000000001e-08,1.417588181733259e-08,6.000000000000001e-08,1.416292999713905e-08,6.000000000000001e-08,1.408363950756515e-08,6.000000000000001e-08,1.408863593918021e-08,6.000000000000001e-08,1.409188652884918e-08,6.000000000000001e-08,1.40477621376224e-08,6.000000000000001e-08,1.405450566828864e-08,6.000000000000001e-08,1.406007420679279e-08,6.000000000000001e-08,1.411580026311647e-08,6.000000000000001e-08,1.411701087863418e-08,6.000000000000001e-08,1.411551082554077e-08,6.000000000000001e-08,1.406643038234668e-08,6.000000000000001e-08,1.407239110896996e-08,6.000000000000001e-08,1.407634427611146e-08,6.000000000000001e-08,1.404582116361777e-08,6.000000000000001e-08,1.405125866821262e-08,6.000000000000001e-08,1.405644334407643e-08,6.000000000000001e-08,1.409293991122032e-08
8e-08,1.417590124321677e-08,8e-08,1.416933221059802e-08,8e-08,1.41605145643279e-08,8e-08,1.409362895761347e-08,8e-08,1.409779902167658e-08,8e-08,1.41004797520463e-08,8e-08,1.40615136984854e-08,8e-08,1.406750829040124e-08,8e-08,1.407238481018558e-08,8e-08,1.426254495992502e-08,8e-08,1.424172090785147e-08,8e-08,1.422385941754702e-08,8e-08,1.412988303647333e-08,8e-08,1.413214906265696e-08,8e-08,1.413231851728784e-08,8e-08,1.408171549568838e-08,8e-08,1.408707779969445e-08,8e-08,1.4091709122734e-08,8e-08,1.417032820119221e-08,8e-08,1.416711080974876e-08,8e-08,1.416039388868079e-08,8e-08,1.410350353836643e-08,8e-08,1.410683425303702e-08,8e-08,1.410874287431282e-08,8e-08,1.407465111800171e-08,8e-08,1.407980466315118e-08,8e-08,1.40839664516355e-08,8e-08,1.41914653087273e-08,8e-08,1.417697922806513e-08,8e-08,1.41643111044601e-08,8e-08,1.408426991001706e-08,8e-08,1.408946299012546e-08,8e-08,1.409296821813157e-08,8e-08,1.404833983659827e-08,8e-08,1.40552491093048e-08,8e-08,1.406103810634499e-08,8e-08,1.41165960837466e-08,8e-08,1.411806295524796e-08,8e-08,1.411686602330784e-08,8e-08,1.406707472649595e-08,8e-08,1.407324291780089e-08,8e-08,1.407744758369521e-08,8e-08,1.404642125963102e-08,8e-08,1.405202045713843e-08,8e-08,1.405731930224817e-08,8e-08,1.409362895761347e-08
1e-07,1.417680105983085e-08,1e-07,1.417045842976722e-08,1e-07,1.416193467442727e-08,1e-07,1.409429598544868e-08,1e-07,1.409863862219934e-08,1e-07,1.410157178096044e-08,1e-07,1.406209768073966e-08,1e-07,1.406825520697031e-08,1e-07,1.407333496520897e-08,1e-07,1.426352677900845e-08,1e-07,1.424297554673686e-08,1e-07,1.422540484116193e-08,1e-07,1.413060660316138e-08,1e-07,1.413304687721883e-08,1e-07,1.413343717423436e-08,1e-07,1.408232932825046e-08,1e-07,1.408784338253642e-08,1e-07,1.409266681850957e-08,1e-07,1.417133912578654e-08,1e-07,1.416836335476668e-08,1e-07,1.416187429974479e-08,1e-07,1.410420706445113e-08,1e-07,1.41077330358473e-08,1e-07,1.410987297219027e-08,1e-07,1.407526021187155e-08,1e-07,1.408057337932343e-08,1e-07,1.40849100168153e-08,1e-07,1.419231317769642e-08,1e-07,1.417805865687433e-08,1e-07,1.416566135973623e-08,1e-07,1.408490161064306e-08,1e-07,1.409027910484016e-08,1e-07,1.409402520770159e-08,1e-07,1.404891062018215e-08,1e-07,1.405597290626819e-08,1e-07,1.406197659327787e-08,1e-07,1.411738945356951e-08,1e-07,1.411907984250776e-08,1e-07,1.411820897881559e-08,1e-07,1.406769995581015e-08,1e-07,1.407407744487759e-08,1e-07,1.407853596232245e-08,1e-07,1.404700823107973e-08,1e-07,1.405276030462701e-08,1e-07,1.405819615889729e-08,1e-07,1.409429598544868e-08
1.2e-07,1.417773999307046e-08,1.2e-07,1.417161054190144e-08,1.2e-07,1.416332830486744e-08,1.2e-07,1.409495620921688e-08,1.2e-07,1.409948742816773e-08,1.2e-07,1.410263556366946e-08,1.2e-07,1.406266926657854e-08,1.2e-07,1.406898709419087e-08,1.2e-07,1.407428255643994e-08,1.2e-07,1.426454961614399e-08,1.2e-07,1.42442868954729e-08,1.2e-07,1.422687312877517e-08,1.2e-07,1.413134283061032e-08,1.2e-07,1.413395989598892e-08,1.2e-07,1.413456599580402e-08,1.2e-07,1.408293721183752e-08,1.2e-07,1.408858611286405e-08,1.2e-07,1.409360508764971e-08,1.2e-07,1.4172365370856e-08,1.2e-07,1.416955249598565e-08,1.2e-07,1.416335839613462e-08,1.2e-07,1.410490076561985e-08,1.2e-07,1.410861459930699e-08,1.2e-07,1.411098862448521e-08,1.2e-07,1.407585259175833e-08,1.2e-07,1.408132333697982e-08,1.2e-07,1.408584046779458e-08,1.2e-07,1.419315576391401e-08,1.2e-07,1.417911529002854e-08,1.2e-07,1.416699600220801e-08,1.2e-07,1.408552558403879e-08,1.2e-07,1.409108077221789e-08,1.2e-07,1.409506922040764e-08,1.2e-07,1.404945817965949e-08,1.2e-07,1.40566827976325e-08,1.2e-07,1.406289868479699e-08,1.2e-07,1.41181799578532e-08,1.2e-07,1.412011338645018e-08,1.2e-07,1.41195119735722e-08,1.2e-07,1.406832324084259e-08,1.2e-07,1.407489522877218e-08,1.2e-07,1.407960355816495e-08,1.2e-07,1.404757769286588e-08,1.2e-07,1.405349591362699e-08,1.2e-07,1.405907173053045e-08,1.2e-07,1.409495620921688e-08
1.4e-07,1.417866311478456e-08,1.4e-07,1.417277066642243e-08,1.4e-07,1.416472461024637e-08,1.4e-07,1.409561041281828e-08,1.4e-07,1.410030443530681e-08,1.4e-07,1.410369844382594e-08,1.4e-07,1.406322821019185e-08,1.4e-07,1.406970199837418e-08,1.4e-07,1.407519348550349e-08,1.4e-07,1.426565580657069e-08,1.4e-07,1.424558089417e-08,1.4e-07,1.422840913410227e-08,1.4e-07,1.413209284284484e-08,1.4e-07,1.413487198859907e-08,1.4e-07,1.413567213186508e-08,1.4e-07,1.408354064038953e-08,1.4e-07,1.408931777783598e-08,1.4e-07,1.409452692818843e-08,1.4e-07,1.417340045698649e-08,1.4e-07,1.417080386824871e-08,1.4e-07,1.416479813544312e-08,1.4e-07,1.410558756043341e-08,1.4e-07,1.410947941531202e-08,1.4e-07,1.41120824537727e-08,1.4e-07,1.407643605066185e-08,1.4e-07,1.408205941265441e-08,1.4e-07,1.408676041393378e-08,1.4e-07,1.419400497953226e-08,1.4e-07,1.418018491654143e-08,1.4e-07,1.416831771572351e-08,1.4e-07,1.408615035331146e-08,1.4e-07,1.409187796446923e-08,1.4e-07,1.40960964905149e-08,1.4e-07,1.404999882824161e-08,1.4e-07,1.405737649265142e-08,1.4e-07,1.406380326779089e-08,1.4e-07,1.411896478981501e-08,1.4e-07,1.4121102118132e-08,1.4e-07,1.412079223735582e-08,1.4e-07,1.40689280533155e-08,1.4e-07,1.407569905612697e-08,1.4e-07,1.408065465981143e-08,1.4e-07,1.404813541593744e-08,1.4e-07,1.405421609360173e-08,1.4e-07,1.405994531921485e-08,1.4e-07,1.409561041281828e-08
1.6e-07,1.41796035090148e-08,1.6e-07,1.417388444222237e-08,1.6e-07,1.416609753288414e-08,1.6e-07,1.409625819122739e-08,1.6e-07,1.410112824128005e-08,1.6e-07,1.410474470164739e-08,1.6e-07,1.406377596358919e-08,1.6e-07,1.407041027208827e-08,1.6e-07,1.407609999895211e-08,1.6e-07,1.426674473221076e-08,1.6e-07,1.424687354302075e-08,1.6e-07,1.42299251928582e-08,1.6e-07,1.413282349863386e-08,1.6e-07,1.413574590287447e-08,1.6e-07,1.413674692582527e-08,1.6e-07,1.40841112789841e-08,1.6e-07,1.409003740978657e-08,1.6e-07,1.409543243705646e-08,1.6e-07,1.41744535623072e-08,1.6e-07,1.417201436918907e-08,1.6e-07,1.416626261993863e-08,1.6e-07,1.410626546078912e-08,1.6e-07,1.411032784588617e-08,1.6e-07,1.411316634181726e-08,1.6e-07,1.407699810433724e-08,1.6e-07,1.408278824339647e-08,1.6e-07,1.408767037115484e-08,1.6e-07,1.419487606328817e-08,1.6e-07,1.418129111170064e-08,1.6e-07,1.416961277142803e-08,1.6e-07,1.408677137153757e-08,1.6e-07,1.409266830208891e-08,1.6e-07,1.409710833639196e-08,1.6e-07,1.405053834236024e-08,1.6e-07,1.405806964398532e-08,1.6e-07,1.406469794314869e-08,1.6e-07,1.41197587697481e-08,1.6e-07,1.412211317957796e-08,1.6e-07,1.412205623184047e-08,1.6e-07,1.406953685102955e-08,1.6e-07,1.407649292419841e-08,1.6e-07,1.408168689283412e-08,1.6e-07,1.404868188871163e-08,1.6e-07,1.405492963384299e-08,1.6e-07,1.406081396569805e-08,1.6e-07,1.409625819122739e-08
1.8e-07,1.41805513169313e-08,1.8e-07,1.417504388708224e-08,1.8e-07,1.416746134169562e-08,1.8e-07,1.409690612218751e-08,1.8e-07,1.41019184915863e-08,1.8e-07,1.410578553551246e-08,1.8e-07,1.40643222888457e-08,1.8e-07,1.407110821716016e-08,1.8e-07,1.407699442368571e-08,1.8e-07,1.426789275041668e-08,1.8e-07,1.424824807280413e-08,1.8e-07,1.423145280960375e-08,1.8e-07,1.413355891624244e-08,1.8e-07,1.413661559165336e-08,1.8e-07,1.413784241424489e-08,1.8e-07,1.408469777612227e-08,1.8e-07,1.409075580072735e-08,1.8e-07,1.409633073609366e-08,1.8e-07,1.417550801361556e-08,1.8e-07,1.417322559346438e-08,1.8e-07,1.416767787695804e-08,1.8e-07,1.410693236241837e-08,1.8e-07,1.41111708276342e-08,1.8e-07,1.411423095946161e-08,1.8e-07,1.407756498679764e-08,1.8e-07,1.408351353345662e-08,1.8e-07,1.408857279242876e-08,1.8e-07,1.419576615568144e-08,1.8e-07,1.418236316699914e-08,1.8e-07,1.417094218362748e-08,1.8e-07,1.408738977573066e-08,1.8e-07,1.409345098607612e-08,1.8e-07,1.409811703181324e-08,1.8e-07,1.405106945091439e-08,1.8e-07,1.405875274617406e-08,1.8e-07,1.406557860462974e-08,1.8e-07,1.412054875648495e-08,1.8e-07,1.412308331725138e-08,1.8e-07,1.412331357415085e-08,1.8e-07,1.407013534100277e-08,1.8e-07,1.407727653772685e-08,1.8e-07,1.40827094236418e-08,1.8e-07,1.404921928587421e-08,1.8e-07,1.405563088372537e-08,1.8e-07,1.406167876789645e-08,1.8e-07,1.409690612218751e-08
2e-07,1.418154366923849e-08,2e-07,1.417618779646441e-08,2e-07,1.416882105412993e-08,2e-07,1.409754873207014e-08,2e-07,1.410274390517096e-08,2e-07,1.410681767409912e-08,2e-07,1.406486204181487e-08,2e-07,1.407179985229098e-08,2e-07,1.407788162213248e-08,2e-07,1.42691233324606e-08,2e-07,1.424955638641255e-08,2e-07,1.423295842105996e-08,2e-07,1.413431350211329e-08,2e-07,1.413750796971947e-08,2e-07,1.413890132445162e-08,2e-07,1.40852603802042e-08,2e-07,1.409146111162983e-08,2e-07,1.409722112904118e-08,2e-07,1.417655227624396e-08,2e-07,1.417442250456764e-08,2e-07,1.416911014686276e-08,2e-07,1.410759236114723e-08,2e-07,1.411201630372171e-08,2e-07,1.41152894960346e-08,2e-07,1.407811544919342e-08,2e-07,1.408422654839021e-08,2e-07,1.408946775916278e-08,2e-07,1.419668010263418e-08,2e-07,1.418345479348119e-08,2e-07,1.417224763394497e-08,2e-07,1.408800811253769e-08,2e-07,1.409423715239824e-08,2e-07,1.409911023562136e-08,2e-07,1.405160419383824e-08,2e-07,1.405943125430643e-08,2e-07,1.406644746227884e-08,2e-07,1.412132976229652e-08,2e-07,1.412409087051529e-08,2e-07,1.412454589029479e-08,2e-07,1.407074176004079e-08,2e-07,1.407805873664634e-08,2e-07,1.408371415148837e-08,2e-07,1.404976238274765e-08,2e-07,1.405632933447832e-08,2e-07,1.406253635168664e-08,2e-07,1.409754873207014e-08
2.2e-07,1.418251940282415e-08,2.2e-07,1.417731726629284e-08,2.2e-07,1.417016823962808e-08,2.2e-07,1.409819446931061e-08,2.2e-07,1.410354761924683e-08,2.2e-07,1.410783403723152e-08,2.2e-07,1.406540430517926e-08,2.2e-07,1.407249064314597e-08,2.2e-07,1.407876037934768e-08,2.2e-07,1.427039022754566e-08,2.2e-07,1.425103295658967e-08,2.2e-07,1.423448928094468e-08,2.2e-07,1.413504002994495e-08,2.2e-07,1.413838863353986e-08,2.2e-07,1.413998637600614e-08,2.2e-07,1.408583332971915e-08,2.2e-07,1.409217352223757e-08,2.2e-07,1.409810590097225e-08,2.2e-07,1.417758825418268e-08,2.2e-07,1.41755994787106e-08,2.2e-07,1.417049933000787e-08,2.2e-07,1.410827024940691e-08,2.2e-07,1.411286128727076e-08,2.2e-07,1.411633977898844e-08,2.2e-07,1.407867243043658e-08,2.2e-07,1.40849422816544e-08,2.2e-07,1.409035737098717e-08,2.2e-07,1.419758484554687e-08,2.2e-07,1.418451548154182e-08,2.2e-07,1.417352073677822e-08,2.2e-07,1.40886299445596e-08,2.2e-07,1.409502541137786e-08,2.2e-07,1.410008053343451e-08,2.2e-07,1.405213321991014e-08,2.2e-07,1.406010668204178e-08,2.2e-07,1.406731177844004e-08,2.2e-07,1.412211003866665e-08,2.2e-07,1.412506299993384e-08,2.2e-07,1.412577398294075e-08,2.2e-07,1.40713381625762e-08,2.2e-07,1.407883072758551e-08,2.2e-07,1.408472550874756e-08,2.2e-07,1.405030264404629e-08,2.2e-07,1.405702556439584e-08,2.2e-07,1.406339437045192e-08,2.2e-07,1.409819446931061e-08
2.4e-07,1.418350930976219e-08,2.4e-07,1.417846531138872e-08,2.4e-07,1.417149696922087e-08,2.4e-07,1.409883794939905e-08,2.4e-07,1.410436598602374e-08,2.4e-07,1.410884224330731e-08,2.4e-07,1.406594283390766e-08,2.4e-07,1.407318081828331e-08,2.4e-07,1.407963366480781e-08,2.4e-07,1.427167694143465e-08,2.4e-07,1.425234498139715e-08,2.4e-07,1.42360182384013e-08,2.4e-07,1.413577532841003e-08,2.4e-07,1.413926424301399e-08,2.4e-07,1.414103513355661e-08,2.4e-07,1.408639382969997e-08,2.4e-07,1.409287714525331e-08,2.4e-07,1.409898943732002e-08,2.4e-07,1.417861927696446e-08,2.4e-07,1.417682386748698e-08,2.4e-07,1.417192818965417e-08,2.4e-07,1.410893739275657e-08,2.4e-07,1.411368858655879e-08,2.4e-07,1.411738164215492e-08,2.4e-07,1.407922564106279e-08,2.4e-07,1.408565014783945e-08,2.4e-07,1.409124111239738e-08,2.4e-07,1.419850791850546e-08,2.4e-07,1.418562907691898e-08,2.4e-07,1.417480044885292e-08,2.4e-07,1.408925129920272e-08,2.4e-07,1.409580221968291e-08,2.4e-07,1.410104975519478e-08,2.4e-07,1.405266563583323e-08,2.4e-07,1.406078782908014e-08,2.4e-07,1.406817565629936e-08,2.4e-07,1.412290348238983e-08,2.4e-07,1.412606796408506e-08,2.4e-07,1.412699726179067e-08,2.4e-07,1.407194838781257e-08,2.4e-07,1.407960096647113e-08,2.4e-07,1.408569081678853e-08,2.4e-07,1.405084074561366e-08,2.4e-07,1.405771569568967e-08,2.4e-07,1.406424841538879e-08,2.4e-07,1.409883794939905e-08
