delay (Vbn=-1.1) X,delay (Vbn=-1.1) Y,delay (Vbn=-0.8) X,delay (Vbn=-0.8) Y,delay (Vbn=-0.55) X,delay (Vbn=-0.55) Y,delay (Vbn=-0.2) X,delay (Vbn=-0.2) Y,delay (Vbn=0) X,delay (Vbn=0) Y,delay (Vbn=0.2) X,delay (Vbn=0.2) Y,delay (Vbn=0.55) X,delay (Vbn=0.55) Y,delay (Vbn=0.8) X,delay (Vbn=0.8) Y,delay (Vbn=1.1) X,delay (Vbn=1.1) Y
4.2e-07,7.096270510313248e-11,4.2e-07,6.899700412031985e-11,4.2e-07,6.727034161547475e-11,4.2e-07,6.472515450426317e-11,4.2e-07,6.316901599663398e-11,4.2e-07,6.152222160272379e-11,4.2e-07,5.837192265015627e-11,4.2e-07,5.570058521748909e-11,4.2e-07,5.508395181394274e-11
4.4e-07,7.168577631743475e-11,4.4e-07,6.970983562201771e-11,4.4e-07,6.795509584709275e-11,4.4e-07,6.541056076944083e-11,4.4e-07,6.383146510595005e-11,4.4e-07,6.218982650693563e-11,4.4e-07,5.899875420502255e-11,4.4e-07,5.632018252971682e-11,4.4e-07,5.574770135545545e-11
4.6e-07,7.240670821330254e-11,4.6e-07,7.041946542305e-11,4.6e-07,6.865766884936899e-11,4.6e-07,6.608974704562175e-11,4.6e-07,6.449912080803747e-11,4.6e-07,6.285341439988422e-11,4.6e-07,5.963468529531211e-11,4.6e-07,5.693635139880069e-11,4.6e-07,5.636422375832741e-11
4.800000000000001e-07,7.315122749563195e-11,4.800000000000001e-07,7.112256756974024e-11,4.800000000000001e-07,6.933407260417802e-11,4.800000000000001e-07,6.675738662447419e-11,4.800000000000001e-07,6.516156297614515e-11,4.800000000000001e-07,6.348292953402072e-11,4.800000000000001e-07,6.024349328573378e-11,4.800000000000001e-07,5.755948510819934e-11,4.800000000000001e-07,5.702439417056845e-11
5.000000000000001e-07,7.387823598233068e-11,5.000000000000001e-07,7.183388103552992e-11,5.000000000000001e-07,7.002084220080266e-11,5.000000000000001e-07,6.742645607649274e-11,5.000000000000001e-07,6.582811737682511e-11,5.000000000000001e-07,6.413830884516745e-11,5.000000000000001e-07,6.086568067597812e-11,5.000000000000001e-07,5.816550963687448e-11,5.000000000000001e-07,5.763915964551905e-11
5.2e-07,7.462002286982848e-11,5.2e-07,7.254301030673399e-11,5.2e-07,7.07158766691552e-11,5.2e-07,6.808418701768585e-11,5.2e-07,6.648726225728381e-11,5.2e-07,6.479461595960615e-11,5.2e-07,6.150583166594853e-11,5.2e-07,5.877989909832323e-11,5.2e-07,5.82411667443508e-11
5.400000000000001e-07,7.532680392114257e-11,5.400000000000001e-07,7.324565021550648e-11,5.400000000000001e-07,7.141751308999937e-11,5.400000000000001e-07,6.874603181838666e-11,5.400000000000001e-07,6.714569468754759e-11,5.400000000000001e-07,6.544223832216892e-11,5.400000000000001e-07,6.21409371098586e-11,5.400000000000001e-07,5.937768105702462e-11,5.400000000000001e-07,5.882409305521273e-11
5.599999999999999e-07,7.604256410111634e-11,5.599999999999999e-07,7.393714092758841e-11,5.599999999999999e-07,7.209323181096714e-11,5.599999999999999e-07,6.940420758253513e-11,5.599999999999999e-07,6.776923140824065e-11,5.599999999999999e-07,6.604420373138329e-11,5.599999999999999e-07,6.274270734789191e-11,5.599999999999999e-07,5.997489493718105e-11,5.599999999999999e-07,5.944499679372227e-11
5.8e-07,7.673826758686496e-11,5.8e-07,7.462453917274761e-11,5.8e-07,7.277437486387291e-11,5.8e-07,7.006041586011229e-11,5.8e-07,6.840094832047934e-11,5.8e-07,6.667030281257233e-11,5.8e-07,6.334167924972776e-11,5.8e-07,6.055690553363297e-11,5.8e-07,6.00379468536582e-11
6e-07,7.744508453182084e-11,6e-07,7.53134546196894e-11,6e-07,7.342695867491446e-11,6e-07,7.071441232700733e-11,6e-07,6.905256112482018e-11,6e-07,6.729627006257896e-11,6e-07,6.393441676743159e-11,6e-07,6.114070700914483e-11,6e-07,6.063226131751652e-11
6.2e-07,7.814976117427649e-11,6.2e-07,7.598893691501071e-11,6.2e-07,7.410694940576379e-11,6.2e-07,7.135529914493676e-11,6.2e-07,6.968595336943494e-11,6.2e-07,6.793264342959734e-11,6.2e-07,6.45304741098439e-11,6.2e-07,6.170553267422893e-11,6.2e-07,6.122789817798495e-11
6.4e-07,7.885406691697758e-11,6.4e-07,7.665875695570927e-11,6.4e-07,7.474941915413521e-11,6.4e-07,7.199468877997994e-11,6.4e-07,7.030481954276391e-11,6.4e-07,6.852897198522633e-11,6.4e-07,6.510710786051205e-11,6.4e-07,6.22746547272431e-11,6.4e-07,6.181077511161706e-11
