delay (c0=0|c1=0|c2=0|c3=0) X, delay (c0=0|c1=0|c2=0|c3=0) Y ,delay (c0=1|c1=0|c2=0|c3=0) X, delay (c0=1|c1=0|c2=0|c3=0) Y, delay (c0=1|c1=1|c2=0|c3=0) X, delay (c0=1|c1=1|c2=0|c3=0) Y,delay (c0=1|c1=1|c2=1|c3=0) X, delay (c0=1|c1=1|c2=1|c3=0) Y,delay (c0=1|c1=1|c2=1|c3=1) X, delay (c0=1|c1=1|c2=1|c3=1) Y,
6.000000000000001e-08,6.157244622300315e-11,6.000000000000001e-08,5.853909542737514e-11,6.000000000000001e-08,5.516910183943657e-11,6.000000000000001e-08,5.137440122267535e-11,6.000000000000001e-08,4.702545471278398e-11
8e-08,6.243642862618953e-11,8e-08,5.934282389539444e-11,8e-08,5.591923237966955e-11,8e-08,5.206772506889742e-11,8e-08,4.765317286134253e-11
1e-07,6.326125024335484e-11,1e-07,6.010022634636731e-11,1e-07,5.663547467161985e-11,1e-07,5.273234251115677e-11,1e-07,4.827133986166379e-11
1.2e-07,6.408236753393492e-11,1.2e-07,6.085275187141287e-11,1.2e-07,5.73414122796091e-11,1.2e-07,5.339224264453195e-11,1.2e-07,4.888828765884096e-11
1.4e-07,6.489703333306875e-11,1.4e-07,6.160978122362606e-11,1.4e-07,5.804328413752017e-11,1.4e-07,5.404700545330351e-11,1.4e-07,4.950933323993619e-11
1.6e-07,6.568829681077297e-11,1.6e-07,6.235491070581696e-11,1.6e-07,5.874778557099356e-11,1.6e-07,5.470572212753845e-11,1.6e-07,5.013178945345916e-11
1.8e-07,6.645900737683877e-11,1.8e-07,6.306892950051013e-11,1.8e-07,5.942230933756716e-11,1.8e-07,5.534465216792375e-11,1.8e-07,5.073607767271087e-11
2e-07,6.721537482078952e-11,2e-07,6.378721804913369e-11,2e-07,6.007615253808672e-11,2e-07,5.59910015745481e-11,2e-07,5.135641609789747e-11
2.2e-07,6.796116893311256e-11,2.2e-07,6.450231515060327e-11,2.2e-07,6.074717707531234e-11,2.2e-07,5.66365105694385e-11,2.2e-07,5.198466138820917e-11
2.4e-07,6.869467435555336e-11,2.4e-07,6.521003449539771e-11,2.4e-07,6.142715355784496e-11,2.4e-07,5.728757852877348e-11,2.4e-07,5.261044212571283e-11
2.6e-07,6.94026876101535e-11,2.6e-07,6.590081231517664e-11,2.6e-07,6.207896866391525e-11,2.6e-07,5.792020914126259e-11,2.6e-07,5.32365207153768e-11
2.8e-07,7.011375147003876e-11,2.8e-07,6.658650865956091e-11,2.8e-07,6.273929127372374e-11,2.8e-07,5.856982285966849e-11,2.8e-07,5.388178891178846e-11
3e-07,7.08210322342627e-11,3e-07,6.726561767617838e-11,3e-07,6.339610179530598e-11,3e-07,5.922158037502757e-11,3e-07,5.453339150242528e-11
3.2e-07,7.151288551162465e-11,3.2e-07,6.794109729841988e-11,3.2e-07,6.405973224663353e-11,3.2e-07,5.986528766533387e-11,3.2e-07,5.519148727516739e-11
3.4e-07,7.217408361951813e-11,3.4e-07,6.859059228192291e-11,3.4e-07,6.471544964289407e-11,3.4e-07,6.050419315077631e-11,3.4e-07,5.585627946331503e-11
3.6e-07,7.284868072251828e-11,3.6e-07,6.925347182388457e-11,3.6e-07,6.53843217153037e-11,3.6e-07,6.116313066822727e-11,3.6e-07,5.654224149946278e-11
3.8e-07,7.351204137418421e-11,3.8e-07,6.991865147146073e-11,3.8e-07,6.605478598329032e-11,3.8e-07,6.184071738081821e-11,3.8e-07,5.722675558957355e-11
4e-07,7.416511309966002e-11,4e-07,7.058146701201284e-11,4e-07,6.670871697665493e-11,4e-07,6.24925387884108e-11,4e-07,5.791844109397224e-11
4.2e-07,7.481374867050556e-11,4.2e-07,7.121198420994871e-11,4.2e-07,6.735478983918061e-11,4.2e-07,6.316901599663398e-11,4.2e-07,5.861432849839411e-11
4.4e-07,7.546419734241461e-11,4.4e-07,7.185252707853084e-11,4.4e-07,6.800650047755192e-11,4.4e-07,6.383146510595005e-11,4.4e-07,5.93001532559436e-11
4.6e-07,7.611267008707412e-11,4.6e-07,7.249182629885875e-11,4.6e-07,6.864907194765406e-11,4.6e-07,6.449912080803747e-11,4.6e-07,5.998616488894133e-11
4.800000000000001e-07,7.672838712200991e-11,4.800000000000001e-07,7.311331494709242e-11,4.800000000000001e-07,6.927954323957787e-11,4.800000000000001e-07,6.516156297614515e-11,4.800000000000001e-07,6.066413197768133e-11
5.000000000000001e-07,7.736285788332871e-11,5.000000000000001e-07,7.373581904596325e-11,5.000000000000001e-07,6.992293473037851e-11,5.000000000000001e-07,6.582811737682511e-11,5.000000000000001e-07,6.135446720730914e-11
5.2e-07,7.799345225400395e-11,5.2e-07,7.436172838829977e-11,5.2e-07,7.057083639491557e-11,5.2e-07,6.648726225728381e-11,5.2e-07,6.205156045122259e-11
5.400000000000001e-07,7.861062633640305e-11,5.400000000000001e-07,7.499166500926848e-11,5.400000000000001e-07,7.120006802114118e-11,5.400000000000001e-07,6.714569468754759e-11,5.400000000000001e-07,6.274060529626605e-11
5.599999999999999e-07,7.920908708880487e-11,5.599999999999999e-07,7.56020407086011e-11,5.599999999999999e-07,7.180856927278781e-11,5.599999999999999e-07,6.776923140824065e-11,5.599999999999999e-07,6.340038267851438e-11
5.8e-07,7.982025340579375e-11,5.8e-07,7.620835267556186e-11,5.8e-07,7.24219600742464e-11,5.8e-07,6.840094832047934e-11,5.8e-07,6.407085834149213e-11
6e-07,8.042231462928863e-11,6e-07,7.682021167292959e-11,6e-07,7.304549990639513e-11,6e-07,6.905256112482018e-11,6e-07,6.476045227474279e-11
6.2e-07,8.102528329851419e-11,6.2e-07,7.743273107088376e-11,6.2e-07,7.365787205268996e-11,6.2e-07,6.968595336943494e-11,6.2e-07,6.542704947091418e-11
6.4e-07,8.162103858404417e-11,6.4e-07,7.802617239167277e-11,6.4e-07,7.426006827728761e-11,6.4e-07,7.030481954276391e-11,6.4e-07,6.607016301856106e-11
