"P_inst (c0=1,c1=1,c2=1,c3=1) X","P_inst (c0=1,c1=1,c2=1,c3=1) Y"
6.000000000000001e-08,5.981231229160685e-09
6.002685796350555e-08,1.262027713959727e-08
6.006200554422136e-08,1.554767559714287e-06
6.007957933457926e-08,8.242601322066403e-06
6.008612128937424e-08,1.303532998299683e-05
6.009131609726712e-08,1.669826023232216e-05
6.009690696323241e-08,1.924806676417986e-05
6.010432322325531e-08,1.974056370550987e-05
6.011031258832666e-08,1.791033477778405e-05
6.011589991727902e-08,1.546820961899012e-05
6.012018725510502e-08,1.485194585884854e-05
6.01236789504548e-08,1.763918556756694e-05
6.012526023983807e-08,2.104269057962702e-05
6.01283439568014e-08,3.447617932992528e-05
6.013225463738343e-08,6.616422079265602e-05
6.013842387366489e-08,0.0001294474520678916
6.014299784675528e-08,0.000164980508762623
6.014772681525761e-08,0.000181171072081428
6.015251580775387e-08,0.0001773673325672126
6.015898558502607e-08,0.0001556277689464041
6.016456761329912e-08,0.0001361670235115617
6.016994585208252e-08,0.0001283990352108498
6.017442941151799e-08,0.000133578491763772
6.017915187923668e-08,0.0001456152500944747
6.018341908111464e-08,0.0001541938936178314
6.018917095734894e-08,0.0001580012450335285
6.019412947047586e-08,0.00017002679945439
6.019706473523793e-08,0.0001731977617136454
6.020000000000001e-08,0.0001730342865395861
6.020137592324358e-08,0.000172384454183547
6.020403514278419e-08,0.0001750967117378076
6.020657947706472e-08,0.000187787013787675
6.020973290617581e-08,0.0002173078726672179
6.021280710937031e-08,0.00024997695893868
6.021703145386491e-08,0.0002819984936874211
6.021896527955007e-08,0.0002865555289071196
6.022101900878119e-08,0.0002855599949546253
6.022254176925293e-08,0.0002844195998624481
6.022416236886124e-08,0.0002838870449574406
6.022680158319416e-08,0.0002823256578106039
6.02288080034e-08,0.0002797299631014299
6.023068974123352e-08,0.000275382235496129
6.023283267840832e-08,0.0002693313094186264
6.023557236270799e-08,0.000260897295464898
6.023821291372161e-08,0.0002520563242745453
6.024048776151533e-08,0.0002443823712364074
6.024337721980296e-08,0.0002344434154344554
6.024741528008761e-08,0.000220336942460444
6.025233805846417e-08,0.0002029075883370501
6.025792138068739e-08,0.0001842523586349909
6.026512985983951e-08,0.0001724598860309232
6.027144579281865e-08,0.0001771713612841151
6.027592255362311e-08,0.0001801592426145652
6.028009095878152e-08,0.0001757510545680434
6.028361454797167e-08,0.0001665865977599894
6.028835746018097e-08,0.0001685827392226962
6.029204052322616e-08,0.0001733186407093643
6.029492426996289e-08,0.000174268826852826
6.029744531328546e-08,0.0001727936471688355
6.029862214552736e-08,0.0001712942088966161
6.030097581001117e-08,0.0001679161526630904
6.030332475094704e-08,0.0001643103897076078
6.030699045056958e-08,0.0001589772516894178
6.031176612226945e-08,0.0001533653307522724
6.032028989181088e-08,0.0001503774677646994
6.032665045120788e-08,0.0001507223671858065
6.033182386072393e-08,0.0001455273770691881
6.03375877112924e-08,0.0001450480426141438
6.033925290243655e-08,0.0001520603078796214
6.034063433779248e-08,0.0001551837432545988
6.034202925570966e-08,0.0001512876034786033
6.034335706273507e-08,0.000139579076009651
6.034506945539673e-08,0.0001160955166317213
6.034631415376242e-08,9.978250789561164e-05
6.034722750049922e-08,9.176600888405701e-05
6.034827888742121e-08,8.550750197410315e-05
6.0349580000433e-08,7.904724356043479e-05
6.035051934809748e-08,7.498061791676709e-05
6.035170164011193e-08,7.061081173674652e-05
6.035393014841829e-08,6.415570145714661e-05
6.03574267301402e-08,5.669041667550535e-05
6.036043803158957e-08,5.150065539256679e-05
