"delay (b0=0,b1=0,b2=0,b3=0) X","delay (b0=0,b1=0,b2=0,b3=0) Y","delay (b0=0,b1=0,b2=0,b3=1) X","delay (b0=0,b1=0,b2=0,b3=1) Y","delay (b0=0,b1=0,b2=1,b3=0) X","delay (b0=0,b1=0,b2=1,b3=0) Y","delay (b0=0,b1=0,b2=1,b3=1) X","delay (b0=0,b1=0,b2=1,b3=1) Y","delay (b0=0,b1=1,b2=0,b3=0) X","delay (b0=0,b1=1,b2=0,b3=0) Y","delay (b0=0,b1=1,b2=0,b3=1) X","delay (b0=0,b1=1,b2=0,b3=1) Y","delay (b0=0,b1=1,b2=1,b3=0) X","delay (b0=0,b1=1,b2=1,b3=0) Y","delay (b0=0,b1=1,b2=1,b3=1) X","delay (b0=0,b1=1,b2=1,b3=1) Y","delay (b0=1,b1=0,b2=0,b3=0) X","delay (b0=1,b1=0,b2=0,b3=0) Y","delay (b0=1,b1=0,b2=0,b3=1) X","delay (b0=1,b1=0,b2=0,b3=1) Y","delay (b0=1,b1=0,b2=1,b3=0) X","delay (b0=1,b1=0,b2=1,b3=0) Y","delay (b0=1,b1=0,b2=1,b3=1) X","delay (b0=1,b1=0,b2=1,b3=1) Y","delay (b0=1,b1=1,b2=0,b3=0) X","delay (b0=1,b1=1,b2=0,b3=0) Y","delay (b0=1,b1=1,b2=0,b3=1) X","delay (b0=1,b1=1,b2=0,b3=1) Y","delay (b0=1,b1=1,b2=1,b3=0) X","delay (b0=1,b1=1,b2=1,b3=0) Y","delay (b0=1,b1=1,b2=1,b3=1) X","delay (b0=1,b1=1,b2=1,b3=1) Y"
1.94e-06,1.974103225168877e-09,1.94e-06,1.6465803938262e-09,1.94e-06,1.782089433783316e-09,1.94e-06,1.544509248532159e-09,1.94e-06,1.868650817295587e-09,1.94e-06,1.592086246219417e-09,1.94e-06,1.708956654292553e-09,1.94e-06,1.502649735771053e-09,1.94e-06,1.905409618777512e-09,1.94e-06,1.610525844689517e-09,1.94e-06,1.733832903071193e-09,1.94e-06,1.516833084451157e-09,1.94e-06,1.812045266811371e-09,1.94e-06,1.560693321307289e-09,1.94e-06,1.668045116014376e-09,1.94e-06,1.477932207957441e-09
1.96e-06,2.00152297232845e-09,1.96e-06,1.666773173727085e-09,1.96e-06,1.805394075603183e-09,1.96e-06,1.562625023554619e-09,1.96e-06,1.893973640193585e-09,1.96e-06,1.611394720333558e-09,1.96e-06,1.730759940359411e-09,1.96e-06,1.519953619897157e-09,1.96e-06,1.931224063221994e-09,1.96e-06,1.630233873866113e-09,1.96e-06,1.756966903088635e-09,1.96e-06,1.534497304374572e-09,1.96e-06,1.83586334006752e-09,1.96e-06,1.579253352432508e-09,1.96e-06,1.688802291541081e-09,1.96e-06,1.494831832057174e-09
1.98e-06,2.025837581146183e-09,1.98e-06,1.684509203307391e-09,1.98e-06,1.825531641988642e-09,1.98e-06,1.578447416398841e-09,1.98e-06,1.916588796751109e-09,1.98e-06,1.628159513605922e-09,1.98e-06,1.750609469795744e-09,1.98e-06,1.535003625215177e-09,1.98e-06,1.953841558918092e-09,1.98e-06,1.647427931278407e-09,1.98e-06,1.776154224088717e-09,1.98e-06,1.549694682992906e-09,1.98e-06,1.856868208840215e-09,1.98e-06,1.595384381036669e-09,1.98e-06,1.706678288338189e-09,1.98e-06,1.509410664634202e-09
2e-06,2.050710856962357e-09,2e-06,1.702886815657341e-09,2e-06,1.84645639224201e-09,2e-06,1.594842478587609e-09,2e-06,1.938528259839505e-09,2e-06,1.645262392068231e-09,2e-06,1.769932182303526e-09,2e-06,1.550503142174833e-09,2e-06,1.977401388644785e-09,2e-06,1.664877529066744e-09,2e-06,1.796127761299939e-09,2e-06,1.565564766276967e-09,2e-06,1.878442231301903e-09,2e-06,1.612109257285516e-09,2e-06,1.725648587615732e-09,2e-06,1.524549058613068e-09
2.02e-06,2.074138943727856e-09,2.02e-06,1.721239198887346e-09,2.02e-06,1.86608771314595e-09,2.02e-06,1.610375246792154e-09,2.02e-06,1.960057847345878e-09,2.02e-06,1.66164251127898e-09,2.02e-06,1.788141823668452e-09,2.02e-06,1.565276861562608e-09,2.02e-06,1.999641529535175e-09,2.02e-06,1.681630854209041e-09,2.02e-06,1.814774776986361e-09,2.02e-06,1.580646361506955e-09,2.02e-06,1.898908242774539e-09,2.02e-06,1.628077917751265e-09,2.02e-06,1.743301564586045e-09,2.02e-06,1.538926042878645e-09
2.04e-06,2.099808243776422e-09,2.04e-06,1.739778445200155e-09,2.04e-06,1.887701182193057e-09,2.04e-06,1.626999441868341e-09,2.04e-06,1.983316493854101e-09,2.04e-06,1.679299072737115e-09,2.04e-06,1.808147309842672e-09,2.04e-06,1.581173644721119e-09,2.04e-06,2.0236514010661e-09,2.04e-06,1.699673217244199e-09,2.04e-06,1.835363799936707e-09,2.04e-06,1.596830749360157e-09,2.04e-06,1.920964370164604e-09,2.04e-06,1.64493232241633e-09,2.04e-06,1.763548125272976e-09,2.04e-06,1.554375866663332e-09
2.06e-06,2.123483349116787e-09,2.06e-06,1.757321657790436e-09,2.06e-06,1.907723325558891e-09,2.06e-06,1.64279936591068e-09,2.06e-06,2.005064151366912e-09,2.06e-06,1.695996304843312e-09,2.06e-06,1.82660322586824e-09,2.06e-06,1.59622720797594e-09,2.06e-06,2.046439822388836e-09,2.06e-06,1.717757531857427e-09,2.06e-06,1.8544866804145e-09,2.06e-06,1.612301909402585e-09,2.06e-06,1.941784926572739e-09,2.06e-06,1.660973792628981e-09,2.06e-06,1.781330178725474e-09,2.06e-06,1.568900534570024e-09
2.08e-06,2.148083047019661e-09,2.08e-06,1.77527178800393e-09,2.08e-06,1.92833143552687e-09,2.08e-06,1.65890388496413e-09,2.08e-06,2.027699231496831e-09,2.08e-06,1.713932108200886e-09,2.08e-06,1.845751675482024e-09,2.08e-06,1.611694895920267e-09,2.08e-06,2.069507762451342e-09,2.08e-06,1.734982435278263e-09,2.08e-06,1.8741718555764e-09,2.08e-06,1.627682628785071e-09,2.08e-06,1.96261364134428e-09,2.08e-06,1.67747915193461e-09,2.08e-06,1.799656956145624e-09,2.08e-06,1.583736943486184e-09
2.1e-06,2.171696823078506e-09,2.1e-06,1.792478048583821e-09,2.1e-06,1.948249384561846e-09,2.1e-06,1.674405867189674e-09,2.1e-06,2.049332644508637e-09,2.1e-06,1.730184984962907e-09,2.1e-06,1.864247697340528e-09,2.1e-06,1.626283003158153e-09,2.1e-06,2.091688931813657e-09,2.1e-06,1.751601101995837e-09,2.1e-06,1.893199920046461e-09,2.1e-06,1.642733762911464e-09,2.1e-06,1.983132205516103e-09,2.1e-06,1.693349930613975e-09,2.1e-06,1.817412016768862e-09,2.1e-06,1.5981050036891e-09
2.12e-06,2.198158074844641e-09,2.12e-06,1.811507603571624e-09,2.12e-06,1.96997759663931e-09,2.12e-06,1.691512437878002e-09,2.12e-06,2.073137580984101e-09,2.12e-06,1.74803992464393e-09,2.12e-06,1.884578594317875e-09,2.12e-06,1.642484145990413e-09,2.12e-06,2.116591537315404e-09,2.12e-06,1.770008188878144e-09,2.12e-06,1.914074611674232e-09,2.12e-06,1.65924024628008e-09,2.12e-06,2.00575826353448e-09,2.12e-06,1.711734990465824e-09,2.12e-06,1.836765496587367e-09,2.12e-06,1.613868222420652e-09
