leafValue(clip(getData(":pwr" ?result "tran") (VAR("T") / 2) (32.5 * VAR("T"))) "Design_Point" 1.0) X,leafValue(clip(getData(":pwr" ?result "tran") (VAR("T") / 2) (32.5 * VAR("T"))) "Design_Point" 1.0) Y
2.259249413311767e-08,2.338641346698938e-05
2.25938190493929e-08,2.648023097446233e-05
2.259646888194336e-08,3.676476751169098e-05
2.259832469478133e-08,4.400314856346326e-05
2.26001805076193e-08,4.848262500658344e-05
2.260057025571251e-08,4.896352094436685e-05
2.260118987112312e-08,4.942645027707146e-05
2.260173966033405e-08,4.94476693557255e-05
2.26028392387559e-08,4.845788816208018e-05
2.260491087792707e-08,4.851917579498777e-05
2.260659330627572e-08,5.791747448776479e-05
2.260799365753893e-08,6.625891315668471e-05
2.26093062766657e-08,6.83167715390715e-05
2.261093793401232e-08,6.227782724168927e-05
2.261245985640389e-08,5.878426988762264e-05
2.261371590556233e-08,6.709599806473381e-05
2.26146742436436e-08,7.055694021360022e-05
2.261539608622859e-08,6.762284590534841e-05
2.261628866936873e-08,5.900354458896539e-05
2.261712890713536e-08,4.833212764544219e-05
2.261794005404493e-08,3.809271440519861e-05
2.261862306832507e-08,3.070698116113708e-05
2.261931140736803e-08,2.576060631806858e-05
2.262009013678532e-08,2.334121237104013e-05
2.2620719835507e-08,2.258819322667817e-05
2.262150107298172e-08,2.214321991282081e-05
2.262223372761505e-08,2.192082702806549e-05
2.262316999004372e-08,2.175150002019348e-05
2.26243373821412e-08,2.161507042127238e-05
2.26262084733886e-08,2.143676469598177e-05
2.262865683161062e-08,2.116929918994884e-05
2.263177377883548e-08,2.068729195681123e-05
2.263596771374691e-08,1.969816231088502e-05
2.264248431097383e-08,1.732955254598611e-05
2.265e-08,1.379325843157809e-05
2.265314694399514e-08,1.213290844713232e-05
2.265729635294408e-08,1.025769243994897e-05
2.266124568196965e-08,8.866398560153447e-06
2.266914434002077e-08,6.995829396744699e-06
2.267905287218157e-08,5.803449887953201e-06
2.269281223155229e-08,5.185629923186424e-06
2.270794452728251e-08,5.008840667115926e-06
2.272562715297104e-08,4.967243685753441e-06
2.274610308964884e-08,4.960506073831734e-06
2.277232607173803e-08,4.959764055362456e-06
2.280710315179695e-08,4.959734232979063e-06
2.285925405551404e-08,4.95973142328176e-06
2.294465367002435e-08,4.959732108568552e-06
2.311545289904498e-08,4.959733452602937e-06
2.345705135708624e-08,4.959736149938199e-06
