"delay (d0=0,d2=0,d1=0,d3=0) X","delay (d0=0,d2=0,d1=0,d3=0) Y","delay (d0=0,d2=0,d1=0,d3=1) X","delay (d0=0,d2=0,d1=0,d3=1) Y","delay (d0=0,d2=0,d1=1,d3=0) X","delay (d0=0,d2=0,d1=1,d3=0) Y","delay (d0=0,d2=0,d1=1,d3=1) X","delay (d0=0,d2=0,d1=1,d3=1) Y","delay (d0=0,d2=1,d1=0,d3=0) X","delay (d0=0,d2=1,d1=0,d3=0) Y","delay (d0=0,d2=1,d1=0,d3=1) X","delay (d0=0,d2=1,d1=0,d3=1) Y","delay (d0=0,d2=1,d1=1,d3=0) X","delay (d0=0,d2=1,d1=1,d3=0) Y","delay (d0=0,d2=1,d1=1,d3=1) X","delay (d0=0,d2=1,d1=1,d3=1) Y","delay (d0=1,d2=0,d1=0,d3=0) X","delay (d0=1,d2=0,d1=0,d3=0) Y","delay (d0=1,d2=0,d1=0,d3=1) X","delay (d0=1,d2=0,d1=0,d3=1) Y","delay (d0=1,d2=0,d1=1,d3=0) X","delay (d0=1,d2=0,d1=1,d3=0) Y","delay (d0=1,d2=0,d1=1,d3=1) X","delay (d0=1,d2=0,d1=1,d3=1) Y","delay (d0=1,d2=1,d1=0,d3=0) X","delay (d0=1,d2=1,d1=0,d3=0) Y","delay (d0=1,d2=1,d1=0,d3=1) X","delay (d0=1,d2=1,d1=0,d3=1) Y","delay (d0=1,d2=1,d1=1,d3=0) X","delay (d0=1,d2=1,d1=1,d3=0) Y","delay (d0=1,d2=1,d1=1,d3=1) X","delay (d0=1,d2=1,d1=1,d3=1) Y"
0,3.63E-08,0,5.16E-08,0,4.02E-08,0,5.53E-08,0,4.40E-08,0,5.90E-08,0,4.78E-08,0,6.27E-08,0,3.82E-08,0,5.34E-08,0,4.21E-08,0,5.71E-08,0,4.59E-08,0,6.09E-08,0,4.96E-08,0,6.45E-08
1,7.23E-09,1,2.27E-08,1,1.11E-08,1,2.66E-08,1,1.49E-08,1,3.05E-08,1,1.88E-08,1,3.43E-08,1,9.24E-09,1,2.46E-08,1,1.30E-08,1,2.85E-08,1,1.69E-08,1,3.25E-08,1,2.08E-08,1,3.63E-08
