"Pavg (b0=0,b1=0,b2=0,b3=0) X","Pavg (b0=0,b1=0,b2=0,b3=0) Y","Pavg (b0=0,b1=0,b2=0,b3=1) X","Pavg (b0=0,b1=0,b2=0,b3=1) Y","Pavg (b0=0,b1=0,b2=1,b3=0) X","Pavg (b0=0,b1=0,b2=1,b3=0) Y","Pavg (b0=0,b1=0,b2=1,b3=1) X","Pavg (b0=0,b1=0,b2=1,b3=1) Y","Pavg (b0=0,b1=1,b2=0,b3=0) X","Pavg (b0=0,b1=1,b2=0,b3=0) Y","Pavg (b0=0,b1=1,b2=0,b3=1) X","Pavg (b0=0,b1=1,b2=0,b3=1) Y","Pavg (b0=0,b1=1,b2=1,b3=0) X","Pavg (b0=0,b1=1,b2=1,b3=0) Y","Pavg (b0=0,b1=1,b2=1,b3=1) X","Pavg (b0=0,b1=1,b2=1,b3=1) Y","Pavg (b0=1,b1=0,b2=0,b3=0) X","Pavg (b0=1,b1=0,b2=0,b3=0) Y","Pavg (b0=1,b1=0,b2=0,b3=1) X","Pavg (b0=1,b1=0,b2=0,b3=1) Y","Pavg (b0=1,b1=0,b2=1,b3=0) X","Pavg (b0=1,b1=0,b2=1,b3=0) Y","Pavg (b0=1,b1=0,b2=1,b3=1) X","Pavg (b0=1,b1=0,b2=1,b3=1) Y","Pavg (b0=1,b1=1,b2=0,b3=0) X","Pavg (b0=1,b1=1,b2=0,b3=0) Y","Pavg (b0=1,b1=1,b2=0,b3=1) X","Pavg (b0=1,b1=1,b2=0,b3=1) Y","Pavg (b0=1,b1=1,b2=1,b3=0) X","Pavg (b0=1,b1=1,b2=1,b3=0) Y","Pavg (b0=1,b1=1,b2=1,b3=1) X","Pavg (b0=1,b1=1,b2=1,b3=1) Y"
0,2.05735982082536e-08,0,6.008959225590018e-07,0,3.083853158801831e-07,0,8.740607066351733e-07,0,1.600730475942966e-07,0,7.398079648121292e-07,0,4.523229425029469e-07,0,1.008020419331943e-06,0,8.727526329631556e-08,0,6.697476219775162e-07,0,3.793955710012897e-07,0,9.387654180522013e-07,0,2.321644678651442e-07,0,8.070860504384987e-07,0,5.245330803480972e-07,0,1.065538349703554e-06
1,1.126410417418112e-06,1,1.541248168140415e-06,1,1.344344559398443e-06,1,1.724440622203672e-06,1,1.237007567994189e-06,1,1.634025704323929e-06,1,1.443160078134047e-06,1,1.799551715178684e-06,1,1.182264045701763e-06,1,1.586382667963975e-06,1,1.393400269538086e-06,1,1.762117018653142e-06,1,1.292015117744179e-06,1,1.684981380929908e-06,1,1.491248586483918e-06,1,1.836301410653928e-06
