"Pavg (b0=0,b1=0,b2=0,b3=0) X","Pavg (b0=0,b1=0,b2=0,b3=0) Y","Pavg (b0=0,b1=0,b2=0,b3=1) X","Pavg (b0=0,b1=0,b2=0,b3=1) Y","Pavg (b0=0,b1=0,b2=1,b3=0) X","Pavg (b0=0,b1=0,b2=1,b3=0) Y","Pavg (b0=0,b1=0,b2=1,b3=1) X","Pavg (b0=0,b1=0,b2=1,b3=1) Y","Pavg (b0=0,b1=1,b2=0,b3=0) X","Pavg (b0=0,b1=1,b2=0,b3=0) Y","Pavg (b0=0,b1=1,b2=0,b3=1) X","Pavg (b0=0,b1=1,b2=0,b3=1) Y","Pavg (b0=0,b1=1,b2=1,b3=0) X","Pavg (b0=0,b1=1,b2=1,b3=0) Y","Pavg (b0=0,b1=1,b2=1,b3=1) X","Pavg (b0=0,b1=1,b2=1,b3=1) Y","Pavg (b0=1,b1=0,b2=0,b3=0) X","Pavg (b0=1,b1=0,b2=0,b3=0) Y","Pavg (b0=1,b1=0,b2=0,b3=1) X","Pavg (b0=1,b1=0,b2=0,b3=1) Y","Pavg (b0=1,b1=0,b2=1,b3=0) X","Pavg (b0=1,b1=0,b2=1,b3=0) Y","Pavg (b0=1,b1=0,b2=1,b3=1) X","Pavg (b0=1,b1=0,b2=1,b3=1) Y","Pavg (b0=1,b1=1,b2=0,b3=0) X","Pavg (b0=1,b1=1,b2=0,b3=0) Y","Pavg (b0=1,b1=1,b2=0,b3=1) X","Pavg (b0=1,b1=1,b2=0,b3=1) Y","Pavg (b0=1,b1=1,b2=1,b3=0) X","Pavg (b0=1,b1=1,b2=1,b3=0) Y","Pavg (b0=1,b1=1,b2=1,b3=1) X","Pavg (b0=1,b1=1,b2=1,b3=1) Y"
0,1.367505401156695e-06,0,8.037892082778661e-06,0,4.896797581318588e-06,0,1.096897081454565e-05,0,3.233351264323329e-06,0,9.527768501920802e-06,0,6.495837753116052e-06,0,1.236433105847545e-05,0,2.370128694575606e-06,0,8.789113043770469e-06,0,5.703811450625e-06,0,1.167222581855016e-05,0,4.073780688260021e-06,0,1.02542676383359e-05,0,7.27365051304539e-06,0,1.304556923814817e-05
1,1.371620418755606e-05,1,1.872698463928016e-05,1,1.629750721162019e-05,1,2.101655937373204e-05,1,1.50266578532125e-05,1,1.988857289000526e-05,1,1.753043580312717e-05,1,2.211222035535569e-05,1,1.437649388033641e-05,1,1.931206880636174e-05,1,1.691861445061322e-05,1,2.15683650965121e-05,1,1.566692205750235e-05,1,2.045668626176853e-05,1,1.813317048475655e-05,1,2.264829826566314e-05
