"P_avg (d0=0,d1=0,d2=0) X","P_avg (d0=0,d1=0,d2=0) Y","P_avg (d0=0,d1=0,d2=1) X","P_avg (d0=0,d1=0,d2=1) Y","P_avg (d0=0,d1=1,d2=0) X","P_avg (d0=0,d1=1,d2=0) Y","P_avg (d0=0,d1=1,d2=1) X","P_avg (d0=0,d1=1,d2=1) Y","P_avg (d0=1,d1=0,d2=0) X","P_avg (d0=1,d1=0,d2=0) Y","P_avg (d0=1,d1=0,d2=1) X","P_avg (d0=1,d1=0,d2=1) Y","P_avg (d0=1,d1=1,d2=0) X","P_avg (d0=1,d1=1,d2=0) Y","P_avg (d0=1,d1=1,d2=1) X","P_avg (d0=1,d1=1,d2=1) Y"
0,1.990328510102523e-05,0,1.387919890757903e-05,0,1.659907209264383e-05,0,1.164008927463881e-05,0,1.815481088323583e-05,0,1.27714214442891e-05,0,1.513343333090702e-05,0,1.061028653034289e-05
1,9.559049164842771e-06,1,5.448914884809056e-06,1,7.479863063416538e-06,1,3.420953532750563e-06,1,8.543079083427179e-06,1,4.433065751464963e-06,1,6.494136400682773e-06,1,2.412155802167752e-06
