"P_avg (d0=0,d2=0,d1=0,d3=0) X","P_avg (d0=0,d2=0,d1=0,d3=0) Y","P_avg (d0=0,d2=0,d1=0,d3=1) X","P_avg (d0=0,d2=0,d1=0,d3=1) Y","P_avg (d0=0,d2=0,d1=1,d3=0) X","P_avg (d0=0,d2=0,d1=1,d3=0) Y","P_avg (d0=0,d2=0,d1=1,d3=1) X","P_avg (d0=0,d2=0,d1=1,d3=1) Y","P_avg (d0=0,d2=1,d1=0,d3=0) X","P_avg (d0=0,d2=1,d1=0,d3=0) Y","P_avg (d0=0,d2=1,d1=0,d3=1) X","P_avg (d0=0,d2=1,d1=0,d3=1) Y","P_avg (d0=0,d2=1,d1=1,d3=0) X","P_avg (d0=0,d2=1,d1=1,d3=0) Y","P_avg (d0=0,d2=1,d1=1,d3=1) X","P_avg (d0=0,d2=1,d1=1,d3=1) Y","P_avg (d0=1,d2=0,d1=0,d3=0) X","P_avg (d0=1,d2=0,d1=0,d3=0) Y","P_avg (d0=1,d2=0,d1=0,d3=1) X","P_avg (d0=1,d2=0,d1=0,d3=1) Y","P_avg (d0=1,d2=0,d1=1,d3=0) X","P_avg (d0=1,d2=0,d1=1,d3=0) Y","P_avg (d0=1,d2=0,d1=1,d3=1) X","P_avg (d0=1,d2=0,d1=1,d3=1) Y","P_avg (d0=1,d2=1,d1=0,d3=0) X","P_avg (d0=1,d2=1,d1=0,d3=0) Y","P_avg (d0=1,d2=1,d1=0,d3=1) X","P_avg (d0=1,d2=1,d1=0,d3=1) Y","P_avg (d0=1,d2=1,d1=1,d3=0) X","P_avg (d0=1,d2=1,d1=1,d3=0) Y","P_avg (d0=1,d2=1,d1=1,d3=1) X","P_avg (d0=1,d2=1,d1=1,d3=1) Y"
0,1.353293681340878e-06,0,1.442233104916867e-06,0,1.304906011260168e-06,0,1.484330331987859e-06,0,1.513372046118871e-06,0,1.526808574832701e-06,0,1.744794689101095e-06,0,1.590728587486132e-06,0,1.404827047221687e-06,0,1.446893911086223e-06,0,1.327500531317616e-06,0,1.524578637636668e-06,0,1.372448899690473e-06,0,1.551666312361043e-06,0,1.520671071675551e-06,0,1.642626202447782e-06
1,1.012775157637314e-06,1,1.085796244240828e-06,1,1.066456928879193e-06,1,1.196197313537388e-06,1,1.070917561101707e-06,1,1.321447385980308e-06,1,1.071556834298337e-06,1,1.264131592447479e-06,1,1.066579663866869e-06,1,1.190533494583845e-06,1,1.081373693054535e-06,1,1.180343167952093e-06,1,1.029584266524409e-06,1,1.180120884194891e-06,1,1.058317977257323e-06,1,1.353293499210999e-06
