delay_tt_mc X,
8.29052736901071e-09,1
8.296028825399881e-09,3
8.29737798253686e-09,2
8.30005323536177e-09,3
8.30205344073236e-09,2
8.3022962611037e-09,5
8.302749054686319e-09,6
8.30566110140129e-09,1
8.30579725726445e-09,7
8.306943672774339e-09,4
8.309196286013019e-09,8
8.309829648876699e-09,12
8.31058758620949e-09,3
8.311227847942721e-09,9
8.31205739053718e-09,10
8.312215091105621e-09,2
8.312633908476951e-09,6
8.313009691474241e-09,11
8.31408288217404e-09,4
8.31541292160158e-09,7
8.31554173932827e-09,1
8.31614249828433e-09,5
8.31701626574241e-09,8
8.317115147573499e-09,23
8.31813581693458e-09,13
8.318680813492079e-09,9
8.31917941964495e-09,7
8.319330534279271e-09,3
8.31949644209583e-09,19
8.3195301727534e-09,21
8.31981001614822e-09,17
8.320146600270091e-09,1
8.32062500825333e-09,16
8.32097087095393e-09,18
8.32100626461579e-09,24
8.321787227266891e-09,10
8.32201699385025e-09,22
8.32277498661313e-09,15
8.322807621995571e-09,12
8.323087388466951e-09,20
8.32361066624227e-09,11
8.32366334503533e-09,5
8.32395735060081e-09,14
8.32447572874988e-09,2
8.324646973286369e-09,4
8.324745010256589e-09,6
8.324858262018371e-09,24
8.32506562909308e-09,37
8.32519733346789e-09,2
8.325894081809151e-09,34
8.32644032454304e-09,26
8.326647363511491e-09,38
8.327120948549509e-09,4
8.327219993776089e-09,13
8.327348387911271e-09,31
8.32746249715068e-09,21
8.327645339387171e-09,15
8.327743350070291e-09,10
8.32778618767119e-09,27
8.327927065764579e-09,32
8.32800511254161e-09,12
8.3280637778237e-09,22
8.328189816703229e-09,30
8.32819766638368e-09,28
8.32861113544055e-09,9
8.328939775721401e-09,8
8.32913658154209e-09,40
8.32917691917378e-09,17
8.329233431976249e-09,19
8.329435699915789e-09,1
8.32962319966928e-09,36
8.329901764582739e-09,20
8.329941818649399e-09,14
8.33053414789952e-09,5
8.33131502030821e-09,11
8.33158400878115e-09,18
8.3317499999248e-09,39
8.331882082019741e-09,7
8.33194929053618e-09,29
8.33196632505884e-09,16
8.33223572368752e-09,33
8.332288637046649e-09,35
8.332589463426059e-09,6
8.332649369295689e-09,3
8.33266816113734e-09,25
8.332871518972409e-09,23
8.33352937927212e-09,12
8.33372376842664e-09,32
8.333803673728739e-09,28
8.33415644386289e-09,3
8.33420101470584e-09,33
8.334360429701321e-09,20
8.33463873892644e-09,8
8.335312921925561e-09,4
8.335351592536739e-09,24
8.3355048336893e-09,17
8.33572131408202e-09,27
8.335779142549941e-09,18
8.33635220221679e-09,15
8.337275418538089e-09,5
8.33737902277328e-09,31
8.337711367916149e-09,11
8.33775668323044e-09,29
8.337767110035531e-09,19
8.33782911114898e-09,21
8.33783534711913e-09,2
8.3384826143404e-09,23
8.338488670022389e-09,35
8.33880300224804e-09,34
8.338804525779699e-09,36
8.33897814963453e-09,37
8.33898793431109e-09,6
8.33903384776572e-09,14
8.33916814177254e-09,26
8.33958181275191e-09,7
8.33961240999342e-09,25
8.339811008154629e-09,30
8.33983637331666e-09,1
8.34073444690638e-09,13
8.34126803889341e-09,16
8.341354569813411e-09,9
8.34142321785302e-09,10
8.34173945492149e-09,22
8.341975540108899e-09,5
8.34204004499723e-09,15
8.342120902611901e-09,21
8.342485746124161e-09,31
8.34256283459726e-09,12
8.3426624848597e-09,9
8.343688670664769e-09,13
8.34386380079606e-09,6
8.34394321479438e-09,7
8.34396380527818e-09,23
8.344043640279069e-09,30
8.344379621186759e-09,3
8.34470522700933e-09,17
8.34479542537842e-09,33
8.34484414142622e-09,1
8.34488810841119e-09,10
8.345249915212181e-09,4
8.34574525403629e-09,25
8.34606151858148e-09,16
8.346308138298609e-09,20
8.34633347275141e-09,24
8.34741464958632e-09,27
8.34750951687986e-09,11
8.34753081257155e-09,14
8.347540975978431e-09,18
8.34791994854266e-09,8
8.34829601801512e-09,26
8.34842704755421e-09,2
8.348750432239889e-09,32
8.34887530946148e-09,29
8.349056483670541e-09,28
8.349114411934631e-09,22
8.34945493708006e-09,19
8.35074850193621e-09,21
8.35084169633608e-09,17
8.3518279434782e-09,26
8.351841552492549e-09,25
8.35199898107682e-09,3
8.352171238478511e-09,11
8.352388193617339e-09,7
8.35250266771938e-09,13
8.35274891195018e-09,6
8.353023428873191e-09,5
8.353331906461379e-09,12
8.353335415706691e-09,23
8.353527051467809e-09,14
8.353992317648109e-09,18
8.354134063012979e-09,24
8.35471062931894e-09,8
8.35513556033454e-09,1
8.3551511865305e-09,10
8.355841710280539e-09,2
8.355863135500219e-09,28
8.3561178779337e-09,27
8.356186226098641e-09,22
8.35642133350428e-09,15
8.35650270832935e-09,16
8.35655851957802e-09,19
8.35684442100622e-09,20
8.356967159352571e-09,4
8.35852195760035e-09,9
8.35934306508719e-09,2
8.36018516315913e-09,4
8.36040383792026e-09,8
8.361353163995519e-09,5
8.36166719386143e-09,10
8.36280064638496e-09,6
8.3638818965552e-09,1
8.365058038184279e-09,3
8.365223306147351e-09,9
8.3652323278767e-09,7
8.371193283777679e-09,3
8.37231120585703e-09,2
8.3725249289834e-09,4
8.373174161741601e-09,6
8.375294345528019e-09,5
8.376121486236069e-09,1
