Point,Corner,d0,d2,d1,d3,d4,mc_iteration,delay,P_avg,P_out
322,tt_mc,1,0,0,0,1,2,4.49946E-09,8.97279E-07,4.26123E-08
2,tt_mc,0,0,0,0,1,2,4.20752E-09,8.20726E-07,3.86358E-08
623,tt_mc,1,1,1,1,0,3,1.33891E-08,8.75535E-07,1.67149E-08
303,tt_mc,0,1,1,1,0,3,1.30929E-08,9.27353E-07,1.92756E-08
543,tt_mc,1,1,0,1,0,3,1.27737E-08,8.62823E-07,1.96385E-08
223,tt_mc,0,1,0,1,0,3,1.24634E-08,8.70142E-07,1.60498E-08
463,tt_mc,1,0,1,1,0,3,1.21593E-08,9.24737E-07,2.4064E-08
143,tt_mc,0,0,1,1,0,3,1.18339E-08,8.62147E-07,1.83288E-08
383,tt_mc,1,0,0,1,0,3,1.15237E-08,9.11348E-07,2.25895E-08
63,tt_mc,0,0,0,1,0,3,1.11968E-08,8.73735E-07,1.99563E-08
583,tt_mc,1,1,1,0,0,3,1.08764E-08,8.80502E-07,2.12627E-08
263,tt_mc,0,1,1,0,0,3,1.05628E-08,9.01242E-07,2.03678E-08
503,tt_mc,1,1,0,0,0,3,1.02402E-08,8.75495E-07,2.56316E-08
183,tt_mc,0,1,0,0,0,3,9.91575E-09,9.41416E-07,3.61207E-08
423,tt_mc,1,0,1,0,0,3,9.59346E-09,8.55008E-07,2.66426E-08
103,tt_mc,0,0,1,0,0,3,9.2756E-09,9.40454E-07,3.33067E-08
343,tt_mc,1,0,0,0,0,3,8.96937E-09,9.18505E-07,2.87098E-08
23,tt_mc,0,0,0,0,0,3,8.6537E-09,8.09285E-07,2.64992E-08
603,tt_mc,1,1,1,1,1,3,8.64866E-09,8.08081E-07,2.45774E-08
283,tt_mc,0,1,1,1,1,3,8.34123E-09,8.39958E-07,2.41408E-08
523,tt_mc,1,1,0,1,1,3,8.02805E-09,8.85656E-07,2.7093E-08
203,tt_mc,0,1,0,1,1,3,7.72026E-09,8.66833E-07,2.91948E-08
443,tt_mc,1,0,1,1,1,3,7.42417E-09,9.53013E-07,3.52587E-08
123,tt_mc,0,0,1,1,1,3,7.12667E-09,8.82614E-07,3.07476E-08
363,tt_mc,1,0,0,1,1,3,6.80938E-09,8.11094E-07,2.3842E-08
43,tt_mc,0,0,0,1,1,3,6.53528E-09,8.79257E-07,2.62134E-08
563,tt_mc,1,1,1,0,1,3,6.20821E-09,8.56667E-07,2.71183E-08
243,tt_mc,0,1,1,0,1,3,5.95126E-09,9.03221E-07,3.03488E-08
483,tt_mc,1,1,0,0,1,3,5.65837E-09,8.48446E-07,2.87015E-08
163,tt_mc,0,1,0,0,1,3,5.3601E-09,9.61068E-07,4.70932E-08
403,tt_mc,1,0,1,0,1,3,5.04243E-09,8.72553E-07,3.55595E-08
83,tt_mc,0,0,1,0,1,3,4.7798E-09,8.85979E-07,4.13081E-08
323,tt_mc,1,0,0,0,1,3,4.48329E-09,9.78715E-07,4.62281E-08
3,tt_mc,0,0,0,0,1,3,4.16137E-09,7.89879E-07,2.82979E-08
624,tt_mc,1,1,1,1,0,4,1.33979E-08,9.12739E-07,1.87069E-08
304,tt_mc,0,1,1,1,0,4,1.30937E-08,8.84076E-07,1.7691E-08
544,tt_mc,1,1,0,1,0,4,1.27718E-08,8.58797E-07,1.80869E-08
224,tt_mc,0,1,0,1,0,4,1.24613E-08,8.70707E-07,1.81391E-08
464,tt_mc,1,0,1,1,0,4,1.21518E-08,8.75374E-07,2.21139E-08
144,tt_mc,0,0,1,1,0,4,1.18326E-08,8.78412E-07,2.37383E-08
384,tt_mc,1,0,0,1,0,4,1.15204E-08,8.74425E-07,2.09244E-08
64,tt_mc,0,0,0,1,0,4,1.11932E-08,8.55267E-07,2.18269E-08
584,tt_mc,1,1,1,0,0,4,1.08862E-08,9.75011E-07,3.22295E-08
264,tt_mc,0,1,1,0,0,4,1.05546E-08,8.89302E-07,2.82752E-08
504,tt_mc,1,1,0,0,0,4,1.02338E-08,8.81786E-07,2.56354E-08
