"P_avg (d0=0,d2=0,d1=0,d3=0) X","P_avg (d0=0,d2=0,d1=0,d3=0) Y","P_avg (d0=0,d2=0,d1=0,d3=1) X","P_avg (d0=0,d2=0,d1=0,d3=1) Y","P_avg (d0=0,d2=0,d1=1,d3=0) X","P_avg (d0=0,d2=0,d1=1,d3=0) Y","P_avg (d0=0,d2=0,d1=1,d3=1) X","P_avg (d0=0,d2=0,d1=1,d3=1) Y","P_avg (d0=0,d2=1,d1=0,d3=0) X","P_avg (d0=0,d2=1,d1=0,d3=0) Y","P_avg (d0=0,d2=1,d1=0,d3=1) X","P_avg (d0=0,d2=1,d1=0,d3=1) Y","P_avg (d0=0,d2=1,d1=1,d3=0) X","P_avg (d0=0,d2=1,d1=1,d3=0) Y","P_avg (d0=0,d2=1,d1=1,d3=1) X","P_avg (d0=0,d2=1,d1=1,d3=1) Y","P_avg (d0=1,d2=0,d1=0,d3=0) X","P_avg (d0=1,d2=0,d1=0,d3=0) Y","P_avg (d0=1,d2=0,d1=0,d3=1) X","P_avg (d0=1,d2=0,d1=0,d3=1) Y","P_avg (d0=1,d2=0,d1=1,d3=0) X","P_avg (d0=1,d2=0,d1=1,d3=0) Y","P_avg (d0=1,d2=0,d1=1,d3=1) X","P_avg (d0=1,d2=0,d1=1,d3=1) Y","P_avg (d0=1,d2=1,d1=0,d3=0) X","P_avg (d0=1,d2=1,d1=0,d3=0) Y","P_avg (d0=1,d2=1,d1=0,d3=1) X","P_avg (d0=1,d2=1,d1=0,d3=1) Y","P_avg (d0=1,d2=1,d1=1,d3=0) X","P_avg (d0=1,d2=1,d1=1,d3=0) Y","P_avg (d0=1,d2=1,d1=1,d3=1) X","P_avg (d0=1,d2=1,d1=1,d3=1) Y"
0,2.91E-07,0,4.66E-07,0,3.34E-07,0,5.13E-07,0,3.73E-07,0,5.62E-07,0,4.20E-07,0,6.29E-07,0,3.10E-07,0,4.92E-07,0,3.56E-07,0,5.36E-07,0,4.00E-07,0,5.86E-07,0,4.44E-07,0,6.68E-07
1,5.22E-07,1,3.41E-07,1,4.65E-07,1,3.13E-07,1,4.11E-07,1,2.90E-07,1,3.67E-07,1,2.74E-07,1,4.97E-07,1,3.26E-07,1,4.42E-07,1,2.98E-07,1,3.88E-07,1,2.77E-07,1,3.54E-07,1,2.91E-07
