"delay (d0=0,d2=0,d1=0,d3=0) X","delay (d0=0,d2=0,d1=0,d3=0) Y","delay (d0=0,d2=0,d1=0,d3=1) X","delay (d0=0,d2=0,d1=0,d3=1) Y","delay (d0=0,d2=0,d1=1,d3=0) X","delay (d0=0,d2=0,d1=1,d3=0) Y","delay (d0=0,d2=0,d1=1,d3=1) X","delay (d0=0,d2=0,d1=1,d3=1) Y","delay (d0=0,d2=1,d1=0,d3=0) X","delay (d0=0,d2=1,d1=0,d3=0) Y","delay (d0=0,d2=1,d1=0,d3=1) X","delay (d0=0,d2=1,d1=0,d3=1) Y","delay (d0=0,d2=1,d1=1,d3=0) X","delay (d0=0,d2=1,d1=1,d3=0) Y","delay (d0=0,d2=1,d1=1,d3=1) X","delay (d0=0,d2=1,d1=1,d3=1) Y","delay (d0=1,d2=0,d1=0,d3=0) X","delay (d0=1,d2=0,d1=0,d3=0) Y","delay (d0=1,d2=0,d1=0,d3=1) X","delay (d0=1,d2=0,d1=0,d3=1) Y","delay (d0=1,d2=0,d1=1,d3=0) X","delay (d0=1,d2=0,d1=1,d3=0) Y","delay (d0=1,d2=0,d1=1,d3=1) X","delay (d0=1,d2=0,d1=1,d3=1) Y","delay (d0=1,d2=1,d1=0,d3=0) X","delay (d0=1,d2=1,d1=0,d3=0) Y","delay (d0=1,d2=1,d1=0,d3=1) X","delay (d0=1,d2=1,d1=0,d3=1) Y","delay (d0=1,d2=1,d1=1,d3=0) X","delay (d0=1,d2=1,d1=1,d3=0) Y","delay (d0=1,d2=1,d1=1,d3=1) X","delay (d0=1,d2=1,d1=1,d3=1) Y"
0,1.017651455094041e-08,0,1.315846159751347e-08,0,1.092210885989262e-08,0,1.390357959356072e-08,0,1.166828690454201e-08,0,1.464855337118321e-08,0,1.241351706256327e-08,0,1.539291426381113e-08,0,1.054871090551346e-08,0,1.353100667405663e-08,0,1.129564462702226e-08,0,1.42750464288501e-08,0,1.204082402515414e-08,0,1.502138166622177e-08,0,1.278576955532682e-08,0,1.576699689256552e-08
1,4.568147487788376e-09,1,7.562672784677771e-09,1,5.31806553791708e-09,1,8.30970667920559e-09,1,6.066379201485839e-09,1,9.057000619106572e-09,1,6.813469073693802e-09,1,9.803657543077635e-09,1,4.943015757709956e-09,1,7.936869618991853e-09,1,5.692474589536911e-09,1,8.683702826653577e-09,1,6.442246300464124e-09,1,9.430375550566369e-09,1,7.18774175955886e-09,1,1.017651455461723e-08
