"delay (d0=0,d1=0,d2=0) X","delay (d0=0,d1=0,d2=0) Y","delay (d0=0,d1=0,d2=1) X","delay (d0=0,d1=0,d2=1) Y","delay (d0=0,d1=1,d2=0) X","delay (d0=0,d1=1,d2=0) Y","delay (d0=0,d1=1,d2=1) X","delay (d0=0,d1=1,d2=1) Y","delay (d0=1,d1=0,d2=0) X","delay (d0=1,d1=0,d2=0) Y","delay (d0=1,d1=0,d2=1) X","delay (d0=1,d1=0,d2=1) Y","delay (d0=1,d1=1,d2=0) X","delay (d0=1,d1=1,d2=0) Y","delay (d0=1,d1=1,d2=1) X","delay (d0=1,d1=1,d2=1) Y"
0,5.282704438115583e-10,0,1.152707551751498e-09,0,8.16093052882178e-10,0,1.505111653077932e-09,0,6.638300363724986e-10,0,1.328269706550991e-09,0,9.805737869809915e-10,0,1.682657311851706e-09
1,1.85998683006208e-09,1,2.571409405853459e-09,1,2.214647042318302e-09,1,2.925144588793547e-09,1,2.036612821493444e-09,1,2.747092357694954e-09,1,2.393297671188695e-09,1,3.103206204827791e-09
