Edge Phase Noise; dBc/Hz; pm0 X,Edge Phase Noise; dBc/Hz; pm0 Y
10,-95.39618588028017
13.42637584296065,-96.63834880454209
18.02675682764374,-97.8782132736271
24.2034012397602,-99.11583739971846
32.49639617230002,-100.3512743503209
43.63088285510481,-101.5845706296946
58.58046315728254,-102.8157638922704
78.65233154043848,-104.0448801355154
105.6015764187076,-105.2719300722262
141.7846454606699,-106.4969044207167
190.3653938715879,-107.7197677721218
255.5917325613177,-108.9404505927056
343.1670663721736,-110.1588387908577
460.7490010039027,-111.374760118669
618.6189256747053,-112.5879664831726
830.5810199677136,-113.7981110126122
1115.169294211613,-115.0047184664308
1497.268207261428,-116.2071473172892
2010.288568840785,-117.4045416207501
2699.088987806386,-118.5957707238328
3623.898318388478,-119.779355129214
4865.582083935679,-120.9533777370026
6532.713375369616,-122.1153817282369
8771.066505204857,-123.2622602819164
11776.36354424838,-124.3901501626163
15811.3883008419,-125.494352227774
21228.96419260944,-126.5693182690008
28502.80520067281,-127.608765828399
38268.93752029267,-128.606009583997
51381.31382582281,-129.5546257403304
68986.48307306076,-130.4495871368482
92623.8449822957,-131.2890076777704
124360.2554752427,-132.0765795496035
166970.7529937215,-132.8245605457992
224181.2084475852,-133.5564479291031
300994.1161546385,-134.3066745099197
404126.0130011931,-135.1118467528471
542594.7738471222,-135.9883198754258
728508.1364097701,-136.9039505613116
978122.4044092422,-137.7743183047266
1313263.902201884,-138.5051094518252
1763237.473195562,-139.0471114024722
2367388.901551588,-139.4102586790389
3178545.31586854,-139.6370939165614
4267634.40447331,-139.7731036738224
5729886.347480823,-139.8531173349649
7693160.763872658,-139.8999531556605
10329126.78360726,-139.9273977333101
13868273.83263024,-139.9433838713994
18620065.676999,-139.9521818268757
25000000,-139.9553366554915
