leafValue(clip(abs(P_inst) 2e-08 ((256 * 5e-08) + 2e-08)) "delay" 1.25e-08) X,leafValue(clip(abs(P_inst) 2e-08 ((256 * 5e-08) + 2e-08)) "delay" 1.25e-08) Y
5.783027181442668e-08,1.311819425404692e-06
5.791526090744061e-08,1.03611987049426e-05
5.794726114826977e-08,1.605344147919253e-05
5.797375557436215e-08,1.944834044828011e-05
5.800025000045454e-08,2.157596494173892e-05
5.800275000045454e-08,3.410244558069766e-05
5.80054086753074e-08,3.021244055915782e-05
5.80068762409936e-08,2.242972979558578e-06
5.800859999290352e-08,6.187536673846025e-05
5.800942499667903e-08,2.546906297160727e-05
5.801025000045454e-08,8.282745286272253e-05
5.801054857166946e-08,7.532472526597874e-05
5.801095235206748e-08,7.475313785699675e-05
5.801132464598748e-08,7.514368706332698e-05
5.801206923382747e-08,7.424997901443967e-05
5.801312855921811e-08,7.195137422575113e-05
5.801427705652957e-08,6.775450934399576e-05
5.801540969555269e-08,6.584558431630288e-05
5.801657200065168e-08,6.702315873571367e-05
5.801772716808197e-08,6.527648941398776e-05
5.801858750584027e-08,6.301720813400798e-05
5.801956439018285e-08,6.388340214350892e-05
5.802036582598104e-08,6.642538693552884e-05
5.802103389904329e-08,6.869279412120529e-05
5.802182273600522e-08,6.914825194912775e-05
5.802313561038045e-08,6.856810093753341e-05
5.802407969358321e-08,6.676168759950249e-05
5.802515943855444e-08,6.550896693680436e-05
5.802641252992694e-08,6.363732405651265e-05
5.802832664042542e-08,6.235300693612106e-05
5.803053548264283e-08,6.268513096604216e-05
5.803299158399264e-08,6.904247907870934e-05
5.803605691128204e-08,7.554892894530569e-05
5.803854943816874e-08,7.555456190503066e-05
5.804114930260962e-08,7.157794333578635e-05
5.80436169664096e-08,6.792066786238275e-05
5.804668562535489e-08,6.409147706045557e-05
5.804980205835721e-08,6.304869080902039e-05
5.80534556777644e-08,6.377003422453828e-05
5.805731195614803e-08,6.713744397359289e-05
5.806176396320853e-08,7.153975883554995e-05
5.806724169729585e-08,7.846432098184765e-05
5.80707874913667e-08,8.464991992015701e-05
5.80732682193868e-08,9.216132009584145e-05
5.807565485896995e-08,0.000101016738680699
5.807830332435574e-08,0.0001139311706883512
5.80805900219867e-08,0.0001285945057774538
5.808212928562527e-08,0.0001520833544336072
5.808400513185321e-08,0.0001857647780178498
5.808548718792531e-08,0.0002147070384120853
5.808751574382263e-08,0.0002374710864162598
5.808948912347293e-08,0.0002468861967070009
5.809117381672492e-08,0.0002404677358889369
5.809273662272556e-08,0.0002331206724890118
5.809472331133368e-08,0.0002261190783569711
5.809650955864848e-08,0.0002387627908668154
5.809826260924546e-08,0.0002606019354513059
5.810041673493888e-08,0.0003012909053190243
5.810275484394849e-08,0.0003220636902552825
5.810515050107035e-08,0.0003303946024605147
