Point,Corner,d0,d1,d2,d3,d4,temperature,delay,P_avg
30,sf_0,1,1,1,0,1,-55,3.90E-09,6.19E-06
8,sf_2,0,0,1,1,1,80,3.91E-09,3.12E-06
5,ff_2,0,0,1,0,0,80,3.92E-09,4.37E-06
10,fs_2,0,1,0,0,1,80,3.97E-09,8.36E-06
1,ff_0,0,0,0,0,0,-55,3.98E-09,2.65E-06
9,ff_1,0,1,0,0,0,0,3.98E-09,2.99E-06
6,tt_1,0,0,1,0,1,0,3.99E-09,7.14E-06
10,tt_0,0,1,0,0,1,-55,4.00E-09,9.36E-06
30,tt_2,1,1,1,0,1,80,4.00E-09,5.61E-06
12,sf_1,0,1,0,1,1,0,4.07E-09,3.83E-06
21,ff_2,1,0,1,0,0,80,4.07E-09,4.76E-06
24,sf_2,1,0,1,1,1,80,4.07E-09,2.62E-06
4,sf_0,0,0,0,1,1,-55,4.07E-09,5.67E-06
17,ff_0,1,0,0,0,0,-55,4.11E-09,2.85E-06
2,fs_1,0,0,0,0,1,0,4.13E-09,9.86E-06
22,tt_1,1,0,1,0,1,0,4.16E-09,6.64E-06
4,tt_2,0,0,0,1,1,80,4.17E-09,5.10E-06
13,ff_2,0,1,1,0,0,80,4.23E-09,5.14E-06
20,sf_0,1,0,0,1,1,-55,4.23E-09,5.16E-06
9,ff_0,0,1,0,0,0,-55,4.23E-09,3.21E-06
28,sf_1,1,1,0,1,1,0,4.24E-09,3.29E-06
16,sf_2,0,1,1,1,1,80,4.24E-09,2.13E-06
5,ff_1,0,0,1,0,0,0,4.24E-09,3.68E-06
18,fs_1,1,0,0,0,1,0,4.30E-09,9.37E-06
6,fs_2,0,0,1,0,1,80,4.31E-09,7.28E-06
14,tt_1,0,1,1,0,1,0,4.33E-09,6.12E-06
6,tt_0,0,0,1,0,1,-55,4.33E-09,8.35E-06
20,tt_2,1,0,0,1,1,80,4.33E-09,4.59E-06
21,ff_1,1,0,1,0,0,0,4.38E-09,4.09E-06
1,sf_2,0,0,0,0,0,80,4.40E-09,1.68E-06
8,sf_1,0,0,1,1,1,0,4.40E-09,2.80E-06
12,sf_0,0,1,0,1,1,-55,4.41E-09,4.67E-06
2,fs_0,0,0,0,0,1,-55,4.46E-09,1.05E-05
10,fs_1,0,1,0,0,1,0,4.46E-09,8.84E-06
22,fs_2,1,0,1,0,1,80,4.48E-09,6.79E-06
2,ss_2,0,0,0,0,1,80,4.48E-09,1.07E-05
5,ff_0,0,0,1,0,0,-55,4.49E-09,3.93E-06
22,tt_0,1,0,1,0,1,-55,4.49E-09,7.83E-06
30,tt_1,1,1,1,0,1,0,4.49E-09,5.61E-06
12,tt_2,0,1,0,1,1,80,4.50E-09,4.06E-06
13,ff_1,0,1,1,0,0,0,4.50E-09,4.44E-06
24,sf_1,1,0,1,1,1,0,4.57E-09,2.29E-06
28,sf_0,1,1,0,1,1,-55,4.57E-09,4.13E-06
17,sf_2,1,0,0,0,0,80,4.58E-09,2.04E-06
3,ff_2,0,0,0,1,0,80,4.60E-09,5.96E-06
21,ff_0,1,0,1,0,0,-55,4.62E-09,4.29E-06
18,fs_0,1,0,0,0,1,-55,4.62E-09,9.95E-06
14,fs_2,0,1,1,0,1,80,4.64E-09,6.28E-06
4,tt_1,0,0,0,1,1,0,4.66E-09,5.07E-06
14,tt_0,0,1,1,0,1,-55,4.66E-09,7.32E-06
28,tt_2,1,1,0,1,1,80,4.67E-09,3.54E-06
18,ss_2,1,0,0,0,1,80,4.68E-09,1.00E-05
16,sf_1,0,1,1,1,1,0,4.74E-09,1.79E-06
8,sf_0,0,0,1,1,1,-55,4.75E-09,3.62E-06
13,ff_0,0,1,1,0,0,-55,4.75E-09,4.67E-06
9,sf_2,0,1,0,0,0,80,4.75E-09,2.57E-06
3,ff_1,0,0,0,1,0,0,4.78E-09,5.20E-06
10,fs_0,0,1,0,0,1,-55,4.79E-09,9.45E-06
6,fs_1,0,0,1,0,1,0,4.80E-09,7.82E-06
19,ff_2,1,0,0,1,0,80,4.80E-09,6.33E-06
30,fs_2,1,1,1,0,1,80,4.82E-09,5.77E-06
20,tt_1,1,0,0,1,1,0,4.83E-09,4.55E-06
30,tt_0,1,1,1,0,1,-55,4.83E-09,6.80E-06
8,tt_2,0,0,1,1,1,80,4.84E-09,3.05E-06
10,ss_2,0,1,0,0,1,80,4.89E-09,9.38E-06
24,sf_0,1,0,1,1,1,-55,4.91E-09,3.15E-06
1,sf_1,0,0,0,0,0,0,4.91E-09,1.33E-06
19,ff_1,1,0,0,1,0,0,4.93E-09,5.60E-06
22,fs_1,1,0,1,0,1,0,4.97E-09,7.29E-06
4,fs_2,0,0,0,1,1,80,4.99E-09,5.22E-06
