Point,Corner,d0,d1,d2,d3,d4,temperature,delay,P_avg
25,ff_2,1,1,0,0,0,80,3.78E-09,4.02E-06
25,fs_0,1,1,0,0,0,-55,7.46E-09,4.20E-06
25,fs_1,1,1,0,0,0,0,7.14E-09,3.62E-06
25,fs_2,1,1,0,0,0,80,6.66E-09,3.08E-06
25,sf_0,1,1,0,0,0,-55,5.75E-09,3.54E-06
25,sf_1,1,1,0,0,0,0,5.41E-09,2.72E-06
25,sf_2,1,1,0,0,0,80,4.94E-09,3.02E-06
25,ss_0,1,1,0,0,0,-55,9.22E-09,4.55E-06
25,ss_1,1,1,0,0,0,0,8.81E-09,3.89E-06
25,ss_2,1,1,0,0,0,80,8.21E-09,2.90E-06
25,tt_0,1,1,0,0,0,-55,6.66E-09,4.16E-06
25,tt_1,1,1,0,0,0,0,6.34E-09,2.93E-06
25,tt_2,1,1,0,0,0,80,5.86E-09,2.97E-06
26,ff_0,1,1,0,0,1,-55,2.44E-09,7.14E-06
26,ff_1,1,1,0,0,1,0,2.18E-09,6.93E-06
26,ff_2,1,1,0,0,1,80,1.82E-09,7.72E-06
26,fs_0,1,1,0,0,1,-55,4.96E-09,8.94E-06
26,fs_1,1,1,0,0,1,0,4.63E-09,8.33E-06
26,fs_2,1,1,0,0,1,80,4.14E-09,7.80E-06
26,sf_0,1,1,0,0,1,-55,3.23E-09,8.25E-06
26,sf_1,1,1,0,0,1,0,2.90E-09,7.43E-06
26,sf_2,1,1,0,0,1,80,2.41E-09,7.81E-06
26,ss_0,1,1,0,0,1,-55,6.12E-09,1.04E-05
26,ss_1,1,1,0,0,1,0,5.71E-09,9.75E-06
26,ss_2,1,1,0,0,1,80,5.10E-09,8.74E-06
26,tt_0,1,1,0,0,1,-55,4.16E-09,8.85E-06
26,tt_1,1,1,0,0,1,0,3.83E-09,7.65E-06
26,tt_2,1,1,0,0,1,80,3.33E-09,7.70E-06
27,ff_0,1,1,0,1,0,-55,5.40E-09,6.58E-06
27,ff_1,1,1,0,1,0,0,5.25E-09,6.36E-06
27,ff_2,1,1,0,1,0,80,5.26E-09,7.13E-06
29,ff_0,1,1,1,0,0,-55,4.87E-09,5.08E-06
29,ff_1,1,1,1,0,0,0,4.64E-09,4.88E-06
29,ff_2,1,1,1,0,0,80,4.41E-09,5.49E-06
29,fs_0,1,1,1,0,0,-55,8.13E-09,6.27E-06
30,ff_0,1,1,1,0,1,-55,2.95E-09,5.62E-06
30,ff_1,1,1,1,0,1,0,2.70E-09,5.33E-06
30,ff_2,1,1,1,0,1,80,2.33E-09,6.11E-06
30,fs_0,1,1,1,0,1,-55,5.63E-09,6.88E-06
31,ff_0,1,1,1,1,0,-55,6.04E-09,8.28E-06
31,ff_1,1,1,1,1,0,0,6.09E-09,8.03E-06
31,ff_2,1,1,1,1,0,80,6.07E-09,8.88E-06
31,fs_0,1,1,1,1,0,-55,9.47E-09,1.01E-05
31,fs_1,1,1,1,1,0,0,9.16E-09,9.66E-06
31,fs_2,1,1,1,1,0,80,8.83E-09,9.04E-06
31,sf_0,1,1,1,1,0,-55,7.83E-09,9.54E-06
31,sf_1,1,1,1,1,0,0,7.81E-09,8.69E-06
31,sf_2,1,1,1,1,0,80,8.02E-09,8.99E-06
31,ss_0,1,1,1,1,0,-55,1.78E-08,1.20E-05
31,ss_1,1,1,1,1,0,0,1.30E-08,1.14E-05
31,ss_2,1,1,1,1,0,80,1.11E-08,1.04E-05
31,tt_0,1,1,1,1,0,-55,8.68E-09,1.02E-05
31,tt_1,1,1,1,1,0,0,8.42E-09,9.00E-06
31,tt_2,1,1,1,1,0,80,8.34E-09,8.91E-06
32,ff_0,1,1,1,1,1,-55,3.98E-09,2.65E-06
32,ff_1,1,1,1,1,1,0,3.73E-09,2.32E-06
32,ff_2,1,1,1,1,1,80,3.37E-09,3.06E-06
32,fs_0,1,1,1,1,1,-55,6.96E-09,2.82E-06
32,fs_1,1,1,1,1,1,0,6.64E-09,2.23E-06
32,fs_2,1,1,1,1,1,80,6.16E-09,1.68E-06
32,sf_0,1,1,1,1,1,-55,5.24E-09,2.20E-06
32,sf_1,1,1,1,1,1,0,4.91E-09,1.33E-06
32,sf_2,1,1,1,1,1,80,4.40E-09,1.68E-06
32,ss_0,1,1,1,1,1,-55,8.60E-09,2.83E-06
32,ss_1,1,1,1,1,1,0,8.19E-09,2.13E-06
32,ss_2,1,1,1,1,1,80,7.59E-09,1.12E-06
32,tt_0,1,1,1,1,1,-55,6.16E-09,2.78E-06
32,tt_1,1,1,1,1,1,0,5.84E-09,1.55E-06
32,tt_2,1,1,1,1,1,80,5.35E-09,1.59E-06
23,ff_1,1,0,1,1,0,0,5.64E-09,7.10E-06
