P_avg_tt_mc X,
8.711824228009359e-06,1
8.724809091767459e-06,4
8.72777987646552e-06,3
8.73204058939779e-06,7
8.73296966065406e-06,5
8.7331724482025e-06,2
8.73356932243686e-06,6
8.738323019582281e-06,13
8.73857635784996e-06,17
8.73988144452021e-06,4
8.742132286973339e-06,7
8.742257579908741e-06,14
8.74306598556643e-06,5
8.74326527589235e-06,9
8.748368149669539e-06,10
8.74902183175962e-06,15
8.749022410328131e-06,19
8.74974370377902e-06,8
8.75047268996802e-06,12
8.751436560073159e-06,3
8.751438276362151e-06,2
8.75225672000705e-06,11
8.75477799091615e-06,16
8.75515101102013e-06,1
8.759229651516471e-06,18
8.759963667812251e-06,6
8.76060412876326e-06,21
8.763696896053981e-06,8
8.763902753229681e-06,25
8.765069090584401e-06,35
8.76521158931335e-06,22
8.766015686091851e-06,4
8.766245670602429e-06,7
8.766565718937519e-06,19
8.768236208189709e-06,38
8.76845614358515e-06,39
8.768597583914079e-06,17
8.76866235961348e-06,23
8.7687974385142e-06,40
8.76906848581062e-06,6
8.76921504055514e-06,26
8.76925532972802e-06,3
8.76934270859182e-06,24
8.769505676119761e-06,16
8.7701811751078e-06,9
8.77027010435828e-06,10
8.770555413627769e-06,28
8.773248492461239e-06,27
8.773561782693429e-06,36
8.774729591947961e-06,32
8.775422305240339e-06,2
8.7761271038968e-06,31
8.776131650850669e-06,15
8.777529616015059e-06,1
8.77782142959054e-06,30
8.77883892763273e-06,12
8.77945963825781e-06,29
8.78049023089513e-06,5
8.780572629116221e-06,34
8.78124523213451e-06,20
8.78154681699804e-06,37
8.78195074708195e-06,11
8.78299688996926e-06,14
8.783218436040051e-06,41
8.78463340454354e-06,33
8.784707312582661e-06,18
8.78486438301142e-06,13
8.78510475581814e-06,34
8.785500540505519e-06,25
8.785638892505809e-06,45
8.78576387165234e-06,22
8.785924004483121e-06,6
8.78620587610316e-06,31
8.78621034837493e-06,19
8.786740450473551e-06,11
8.7887709805485e-06,14
8.78918134560512e-06,30
8.789673486590121e-06,47
8.790093121157931e-06,28
8.79036559360345e-06,7
8.790912404652451e-06,50
8.791025059330239e-06,44
8.79147290892956e-06,33
8.79161791970326e-06,13
8.791946883469051e-06,15
8.79203179692312e-06,40
8.79323348001117e-06,17
8.793669667467199e-06,18
8.797341159297521e-06,16
8.79768512116556e-06,43
8.798086715191351e-06,27
8.79849151447743e-06,10
8.79902600120881e-06,24
8.79979605149844e-06,8
8.80179594441496e-06,32
8.801927657308729e-06,9
8.802202020868311e-06,49
8.80245851765015e-06,35
8.802685721714309e-06,3
8.80297416713583e-06,37
8.803531783898409e-06,38
8.803844240661339e-06,23
8.80456856607904e-06,29
8.804739921809299e-06,39
8.805104369087189e-06,1
8.805548327132559e-06,26
8.8059803083641e-06,2
8.8060120373686e-06,42
8.806269856100759e-06,46
8.80644914773278e-06,5
8.806817091855931e-06,20
8.80727788806841e-06,41
8.80730434101627e-06,48
8.807436619389321e-06,4
8.80781703518006e-06,21
8.80867675104464e-06,12
8.80893186232305e-06,36
8.810872662583109e-06,23
8.81092894045993e-06,24
8.8117287751743e-06,11
8.81185085001828e-06,3
8.812584753385011e-06,15
8.81282109785274e-06,22
8.81338868312362e-06,21
8.814278102354831e-06,9
8.814307037965079e-06,26
8.816110570468979e-06,17
8.81727600354568e-06,18
8.817450584905379e-06,29
8.81748572159378e-06,31
8.818780008430149e-06,8
8.819085335058691e-06,25
8.81908730333955e-06,6
8.81946187097151e-06,7
8.81975085278992e-06,28
8.820344167806259e-06,19
8.822296876052841e-06,13
8.82248654697248e-06,2
8.824827582081031e-06,30
8.825927535203519e-06,27
8.82631796848723e-06,14
8.826379632051189e-06,1
8.8274253823992e-06,12
8.82853624655758e-06,16
8.83014780988235e-06,5
8.83077816972279e-06,4
8.831832337352e-06,20
8.832250298246389e-06,10
8.833983146660781e-06,7
8.8369376830425e-06,11
8.838537112122451e-06,15
8.83912738380391e-06,3
8.839528929960491e-06,9
8.83959473911409e-06,20
8.839705558936161e-06,24
8.840024821283119e-06,16
8.84151677927297e-06,4
8.841562698257369e-06,1
8.844274925131419e-06,14
8.84508820892062e-06,19
8.847602856705871e-06,10
8.851444783530581e-06,5
8.852114431911679e-06,12
8.852595595130081e-06,13
8.852854842577851e-06,8
8.85371261709514e-06,18
8.853995063453051e-06,21
8.855173278788761e-06,6
8.85546212746962e-06,17
8.85712997542087e-06,22
8.8579529749715e-06,2
8.858048649917881e-06,23
8.85827508425104e-06,5
8.85831119258933e-06,13
8.859008332220291e-06,2
8.85957586936727e-06,8
8.861296314876529e-06,10
8.86962161289192e-06,9
8.870131113618929e-06,7
8.873454503943621e-06,12
8.87372951041242e-06,3
8.874366682393479e-06,11
8.876279830964581e-06,6
8.878463984198951e-06,4
8.881779656396e-06,1
8.882592213912911e-06,2
8.88547287986401e-06,8
8.88557815646645e-06,3
8.888524329860049e-06,5
8.88933152845634e-06,6
8.89052677153231e-06,1
8.89165627118855e-06,7
8.893121091669601e-06,4
8.89478904548296e-06,9
8.90039964379537e-06,10
8.913059395435299e-06,2
8.91822465095053e-06,1
8.918686059977879e-06,3
8.93778218284062e-06,1
8.95557260454889e-06,2
