"delay (modelFiles=toplevel.scs:top_tt,temperature=-55,Vdd=0.88) X","delay (modelFiles=toplevel.scs:top_tt,temperature=-55,Vdd=0.88) Y","delay (modelFiles=toplevel.scs:top_tt,temperature=0,Vdd=0.88) X","delay (modelFiles=toplevel.scs:top_tt,temperature=0,Vdd=0.88) Y","delay (modelFiles=toplevel.scs:top_tt,temperature=27,Vdd=0.88) X","delay (modelFiles=toplevel.scs:top_tt,temperature=27,Vdd=0.88) Y","delay (modelFiles=toplevel.scs:top_tt,temperature=-55,Vdd=1.1) X","delay (modelFiles=toplevel.scs:top_tt,temperature=-55,Vdd=1.1) Y","delay (modelFiles=toplevel.scs:top_tt,temperature=0,Vdd=1.1) X","delay (modelFiles=toplevel.scs:top_tt,temperature=0,Vdd=1.1) Y","delay (modelFiles=toplevel.scs:top_tt,temperature=27,Vdd=1.1) X","delay (modelFiles=toplevel.scs:top_tt,temperature=27,Vdd=1.1) Y","delay (modelFiles=toplevel.scs:top_tt,temperature=-55,Vdd=1.32) X","delay (modelFiles=toplevel.scs:top_tt,temperature=-55,Vdd=1.32) Y","delay (modelFiles=toplevel.scs:top_tt,temperature=0,Vdd=1.32) X","delay (modelFiles=toplevel.scs:top_tt,temperature=0,Vdd=1.32) Y","delay (modelFiles=toplevel.scs:top_tt,temperature=27,Vdd=1.32) X","delay (modelFiles=toplevel.scs:top_tt,temperature=27,Vdd=1.32) Y","delay (modelFiles=toplevel.scs:top_ss,temperature=-55,Vdd=0.88) X","delay (modelFiles=toplevel.scs:top_ss,temperature=-55,Vdd=0.88) Y","delay (modelFiles=toplevel.scs:top_ss,temperature=0,Vdd=0.88) X","delay (modelFiles=toplevel.scs:top_ss,temperature=0,Vdd=0.88) Y","delay (modelFiles=toplevel.scs:top_ss,temperature=27,Vdd=0.88) X","delay (modelFiles=toplevel.scs:top_ss,temperature=27,Vdd=0.88) Y","delay (modelFiles=toplevel.scs:top_ss,temperature=-55,Vdd=1.1) X","delay (modelFiles=toplevel.scs:top_ss,temperature=-55,Vdd=1.1) Y","delay (modelFiles=toplevel.scs:top_ss,temperature=0,Vdd=1.1) X","delay (modelFiles=toplevel.scs:top_ss,temperature=0,Vdd=1.1) Y","delay (modelFiles=toplevel.scs:top_ss,temperature=27,Vdd=1.1) X","delay (modelFiles=toplevel.scs:top_ss,temperature=27,Vdd=1.1) Y","delay (modelFiles=toplevel.scs:top_ss,temperature=-55,Vdd=1.32) X","delay (modelFiles=toplevel.scs:top_ss,temperature=-55,Vdd=1.32) Y","delay (modelFiles=toplevel.scs:top_ss,temperature=0,Vdd=1.32) X","delay (modelFiles=toplevel.scs:top_ss,temperature=0,Vdd=1.32) Y","delay (modelFiles=toplevel.scs:top_ss,temperature=27,Vdd=1.32) X","delay (modelFiles=toplevel.scs:top_ss,temperature=27,Vdd=1.32) Y","delay (modelFiles=toplevel.scs:top_ff,temperature=-55,Vdd=0.88) X","delay (modelFiles=toplevel.scs:top_ff,temperature=-55,Vdd=0.88) Y","delay (modelFiles=toplevel.scs:top_ff,temperature=0,Vdd=0.88) X","delay (modelFiles=toplevel.scs:top_ff,temperature=0,Vdd=0.88) Y","delay (modelFiles=toplevel.scs:top_ff,temperature=27,Vdd=0.88) X","delay (modelFiles=toplevel.scs:top_ff,temperature=27,Vdd=0.88) Y","delay (modelFiles=toplevel.scs:top_ff,temperature=-55,Vdd=1.1) X","delay (modelFiles=toplevel.scs:top_ff,temperature=-55,Vdd=1.1) Y","delay (modelFiles=toplevel.scs:top_ff,temperature=0,Vdd=1.1) X","delay (modelFiles=toplevel.scs:top_ff,temperature=0,Vdd=1.1) Y","delay (modelFiles=toplevel.scs:top_ff,temperature=27,Vdd=1.1) X","delay (modelFiles=toplevel.scs:top_ff,temperature=27,Vdd=1.1) Y","delay (modelFiles=toplevel.scs:top_ff,temperature=-55,Vdd=1.32) X","delay (modelFiles=toplevel.scs:top_ff,temperature=-55,Vdd=1.32) Y","delay (modelFiles=toplevel.scs:top_ff,temperature=0,Vdd=1.32) X","delay (modelFiles=toplevel.scs:top_ff,temperature=0,Vdd=1.32) Y","delay (modelFiles=toplevel.scs:top_ff,temperature=27,Vdd=1.32) X","delay (modelFiles=toplevel.scs:top_ff,temperature=27,Vdd=1.32) Y"
6.0250000000E-06,1.0406787077E-08,6.0250000000E-06,8.8011604080E-09,6.0250000000E-06,8.1470338910E-09,6.0250000000E-06,8.3482517292E-09,6.0250000000E-06,7.2942528490E-09,6.0250000000E-06,6.8505447415E-09,6.0250000000E-06,7.9402856693E-09,6.0250000000E-06,7.0379241295E-09,6.0250000000E-06,6.6505678858E-09,6.0250000000E-06,1.7038981271E-08,6.0250000000E-06,1.4484722177E-08,6.0250000000E-06,1.3453153885E-08,6.0250000000E-06,1.3672176512E-08,6.0250000000E-06,1.1942456611E-08,6.0250000000E-06,1.1214877248E-08,6.0250000000E-06,1.2826148154E-08,6.0250000000E-06,1.1320568876E-08,6.0250000000E-06,1.0680156239E-08,6.0250000000E-06,5.4667350404E-09,6.0250000000E-06,4.6537516930E-09,6.0250000000E-06,4.3157166049E-09,6.0250000000E-06,4.5920133111E-09,6.0250000000E-06,4.0258081554E-09,6.0250000000E-06,3.7795435732E-09,6.0250000000E-06,4.4327481711E-09,6.0250000000E-06,3.9607464531E-09,6.0250000000E-06,3.7653425776E-09
6.0750000000E-06,1.0437150305E-08,6.0750000000E-06,8.8315066525E-09,6.0750000000E-06,8.1779694998E-09,6.0750000000E-06,8.3849412368E-09,6.0750000000E-06,7.3309545138E-09,6.0750000000E-06,6.8865235518E-09,6.0750000000E-06,7.9849035232E-09,6.0750000000E-06,7.0817900513E-09,6.0750000000E-06,6.6958865949E-09,6.0750000000E-06,1.7087448952E-08,6.0750000000E-06,1.4526656212E-08,6.0750000000E-06,1.3494077745E-08,6.0750000000E-06,1.3719576001E-08,6.0750000000E-06,1.1986812883E-08,6.0750000000E-06,1.1258206647E-08,6.0750000000E-06,1.2883930374E-08,6.0750000000E-06,1.1375556469E-08,6.0750000000E-06,1.0733174290E-08,6.0750000000E-06,5.4911823203E-09,6.0750000000E-06,4.6780197886E-09,6.0750000000E-06,4.3383699040E-09,6.0750000000E-06,4.6194322030E-09,6.0750000000E-06,4.0521707166E-09,6.0750000000E-06,3.8062314109E-09,6.0750000000E-06,4.4651324289E-09,6.0750000000E-06,3.9944952109E-09,6.0750000000E-06,3.8006424684E-09
6.1250000000E-06,1.0468710583E-08,6.1250000000E-06,8.8623991547E-09,6.1250000000E-06,8.2082000943E-09,6.1250000000E-06,8.4218172022E-09,6.1250000000E-06,7.3673156642E-09,6.1250000000E-06,6.9229337133E-09,6.1250000000E-06,8.0293112240E-09,6.1250000000E-06,7.1265291138E-09,6.1250000000E-06,6.7405214279E-09,6.1250000000E-06,1.7133804308E-08,6.1250000000E-06,1.4568590840E-08,6.1250000000E-06,1.3534722637E-08,6.1250000000E-06,1.3762987777E-08,6.1250000000E-06,1.2029366158E-08,6.1250000000E-06,1.1302176650E-08,6.1250000000E-06,1.2941406518E-08,6.1250000000E-06,1.1436421110E-08,6.1250000000E-06,1.0791805877E-08,6.1250000000E-06,5.5176730546E-09,6.1250000000E-06,4.7007415050E-09,6.1250000000E-06,4.3611111940E-09,6.1250000000E-06,4.6472928331E-09,6.1250000000E-06,4.0789696301E-09,6.1250000000E-06,3.8338989692E-09,6.1250000000E-06,4.4967519394E-09,6.1250000000E-06,4.0280741628E-09,6.1250000000E-06,3.8359334113E-09
6.1750000000E-06,1.0501469852E-08,6.1750000000E-06,8.8928737719E-09,6.1750000000E-06,8.2381638479E-09,6.1750000000E-06,8.4588896972E-09,6.1750000000E-06,7.4037283640E-09,6.1750000000E-06,6.9595299831E-09,6.1750000000E-06,8.0723082242E-09,6.1750000000E-06,7.1686130676E-09,6.1750000000E-06,6.7841358927E-09,6.1750000000E-06,1.7175461497E-08,6.1750000000E-06,1.4610372498E-08,6.1750000000E-06,1.3573668539E-08,6.1750000000E-06,1.3811773075E-08,6.1750000000E-06,1.2074964583E-08,6.1750000000E-06,1.1348445777E-08,6.1750000000E-06,1.2999009181E-08,6.1750000000E-06,1.1495074727E-08,6.1750000000E-06,1.0849192172E-08,6.1750000000E-06,5.5427917891E-09,6.1750000000E-06,4.7240714317E-09,6.1750000000E-06,4.3849829855E-09,6.1750000000E-06,4.6728239241E-09,6.1750000000E-06,4.1067381322E-09,6.1750000000E-06,3.8606551640E-09,6.1750000000E-06,4.5292893299E-09,6.1750000000E-06,4.0626335581E-09,6.1750000000E-06,3.8715411848E-09
6.2250000000E-06,1.0533521524E-08,6.2250000000E-06,8.9240363456E-09,6.2250000000E-06,8.2685440797E-09,6.2250000000E-06,8.4959322094E-09,6.2250000000E-06,7.4398518453E-09,6.2250000000E-06,6.9960516792E-09,6.2250000000E-06,8.1168650072E-09,6.2250000000E-06,7.2131821976E-09,6.2250000000E-06,6.8277506013E-09,6.2250000000E-06,1.7219130966E-08,6.2250000000E-06,1.4652456108E-08,6.2250000000E-06,1.3612975278E-08,6.2250000000E-06,1.3857486511E-08,6.2250000000E-06,1.2120569682E-08,6.2250000000E-06,1.1395273291E-08,6.2250000000E-06,1.3056239469E-08,6.2250000000E-06,1.1547858078E-08,6.2250000000E-06,1.0904703728E-08,6.2250000000E-06,5.5660447320E-09,6.2250000000E-06,4.7478318916E-09,6.2250000000E-06,4.4098228128E-09,6.2250000000E-06,4.6993297226E-09,6.2250000000E-06,4.1345038953E-09,6.2250000000E-06,3.8877339209E-09,6.2250000000E-06,4.5615223248E-09,6.2250000000E-06,4.0963527351E-09,6.2250000000E-06,3.9074798321E-09
6.2750000000E-06,1.0565616263E-08,6.2750000000E-06,8.9552180277E-09,6.2750000000E-06,8.2986606148E-09,6.2750000000E-06,8.5330814523E-09,6.2750000000E-06,7.4760400600E-09,6.2750000000E-06,7.0317296473E-09,6.2750000000E-06,8.1631990016E-09,6.2750000000E-06,7.2563101073E-09,6.2750000000E-06,6.8713660462E-09,6.2750000000E-06,1.7262809520E-08,6.2750000000E-06,1.4694157508E-08,6.2750000000E-06,1.3653560754E-08,6.2750000000E-06,1.3905503236E-08,6.2750000000E-06,1.2166251783E-08,6.2750000000E-06,1.1439643916E-08,6.2750000000E-06,1.3113256129E-08,6.2750000000E-06,1.1603699954E-08,6.2750000000E-06,1.0961574178E-08,6.2750000000E-06,5.5902898527E-09,6.2750000000E-06,4.7722512458E-09,6.2750000000E-06,4.4336146212E-09,6.2750000000E-06,4.7280475375E-09,6.2750000000E-06,4.1608728220E-09,6.2750000000E-06,3.9142823478E-09,6.2750000000E-06,4.5948253421E-09,6.2750000000E-06,4.1304872743E-09,6.2750000000E-06,3.9437897214E-09
6.3250000000E-06,1.0596441101E-08,6.3250000000E-06,8.9859867099E-09,6.3250000000E-06,8.3280621456E-09,6.3250000000E-06,8.5702461062E-09,6.3250000000E-06,7.5128728836E-09,6.3250000000E-06,7.0670790119E-09,6.3250000000E-06,8.2083492167E-09,6.3250000000E-06,7.2999206222E-09,6.3250000000E-06,6.9153898984E-09,6.3250000000E-06,1.7308169414E-08,6.3250000000E-06,1.4735673802E-08,6.3250000000E-06,1.3694033492E-08,6.3250000000E-06,1.3954725475E-08,6.3250000000E-06,1.2211624465E-08,6.3250000000E-06,1.1482918393E-08,6.3250000000E-06,1.3169474149E-08,6.3250000000E-06,1.1657823534E-08,6.3250000000E-06,1.1017342190E-08,6.3250000000E-06,5.6150129708E-09,6.3250000000E-06,4.7965163797E-09,6.3250000000E-06,4.4565880961E-09,6.3250000000E-06,4.7571454992E-09,6.3250000000E-06,4.1874180654E-09,6.3250000000E-06,3.9417016579E-09,6.3250000000E-06,4.6276690731E-09,6.3250000000E-06,4.1650512005E-09,6.3250000000E-06,3.9799595245E-09
6.3750000000E-06,1.0627904440E-08,6.3750000000E-06,9.0169466641E-09,6.3750000000E-06,8.3581080990E-09,6.3750000000E-06,8.6101870768E-09,6.3750000000E-06,7.5499627008E-09,6.3750000000E-06,7.1042235121E-09,6.3750000000E-06,8.2502156807E-09,6.3750000000E-06,7.3453751533E-09,6.3750000000E-06,6.9583284415E-09,6.3750000000E-06,1.7337000523E-08,6.3750000000E-06,1.4761194583E-08,6.3750000000E-06,1.3724928469E-08,6.3750000000E-06,1.3983968345E-08,6.3750000000E-06,1.2257738009E-08,6.3750000000E-06,1.1527937952E-08,6.3750000000E-06,1.3210941539E-08,6.3750000000E-06,1.1711087467E-08,6.3750000000E-06,1.1073021733E-08,6.3750000000E-06,5.6382953981E-09,6.3750000000E-06,4.8197954377E-09,6.3750000000E-06,4.4814385098E-09,6.3750000000E-06,4.7849856548E-09,6.3750000000E-06,4.2156966020E-09,6.3750000000E-06,3.9689780163E-09,6.3750000000E-06,4.6599070311E-09,6.3750000000E-06,4.1996454448E-09,6.3750000000E-06,4.0162600108E-09
6.4250000000E-06,1.0640334316E-08,6.4250000000E-06,9.0279924033E-09,6.4250000000E-06,8.3687080987E-09,6.4250000000E-06,8.6274735265E-09,6.4250000000E-06,7.5651025713E-09,6.4250000000E-06,7.1199174847E-09,6.4250000000E-06,8.2665681388E-09,6.4250000000E-06,7.3638209226E-09,6.4250000000E-06,6.9755967279E-09,6.4250000000E-06,1.7291774511E-08,6.4250000000E-06,1.4708484999E-08,6.4250000000E-06,1.3668242158E-08,6.4250000000E-06,1.4010418454E-08,6.4250000000E-06,1.2275269986E-08,6.4250000000E-06,1.1544004522E-08,6.4250000000E-06,1.3240460130E-08,6.4250000000E-06,1.1735743972E-08,6.4250000000E-06,1.1093918408E-08,6.4250000000E-06,5.6474836956E-09,6.4250000000E-06,4.8302504783E-09,6.4250000000E-06,4.4894393762E-09,6.4250000000E-06,4.7959606634E-09,6.4250000000E-06,4.2265707201E-09,6.4250000000E-06,3.9798707437E-09,6.4250000000E-06,4.6730923082E-09,6.4250000000E-06,4.2139472739E-09,6.4250000000E-06,4.0325420109E-09
6.4750000000E-06,1.0659914129E-08,6.4750000000E-06,9.0462132554E-09,6.4750000000E-06,8.3867317881E-09,6.4750000000E-06,8.6493180918E-09,6.4750000000E-06,7.5869146531E-09,6.4750000000E-06,7.1390739239E-09,6.4750000000E-06,8.2958972234E-09,6.4750000000E-06,7.3897351659E-09,6.4750000000E-06,7.0017096605E-09,6.4750000000E-06,1.7354794689E-08,6.4750000000E-06,1.4768310701E-08,6.4750000000E-06,1.3720833528E-08,6.4750000000E-06,1.4049526748E-08,6.4750000000E-06,1.2311950369E-08,6.4750000000E-06,1.1570764552E-08,6.4750000000E-06,1.3285052201E-08,6.4750000000E-06,1.1770541590E-08,6.4750000000E-06,1.1124377323E-08,6.4750000000E-06,5.6625526869E-09,6.4750000000E-06,4.8438996105E-09,6.4750000000E-06,4.5041176250E-09,6.4750000000E-06,4.8124165039E-09,6.4750000000E-06,4.2415414345E-09,6.4750000000E-06,3.9957751331E-09,6.4750000000E-06,4.6925193890E-09,6.4750000000E-06,4.2345698976E-09,6.4750000000E-06,4.0545251770E-09
