T [C] X, Delay Y
-55,7.649086553367286e-12
-40,7.636603037570355e-12
-20,7.628979278072162e-12
0,7.599967841849732e-12
27,7.580617618786977e-12
50,7.569951754537175e-12
80,7.569156899662324e-12
100,7.577573539552545e-12
