digital_code,post_layout_power_uW
0,11.5375
1,12.0729
2,11.9232
3,11.5078
4,11.4712
5,11.0814
6,11.1223
7,11.1669
8,10.9608
9,10.5956
10,10.5142
11,10.0907
12,9.8943
13,9.4759
14,9.5468
15,11.7944
16,9.6114
17,10.2258
18,10.1544
19,10.3194
20,10.7238
21,11.6734
22,11.124
23,10.8968
24,11.3167
25,12.0485
26,11.8494
27,11.9162
28,12.3761
29,13.4725
