Point,Corner,Vdd,d0,d1,d2,d3,d4,temperature,delay,P_avg
3,tt_0,8.80E-01,1,1,1,1,0,-55,8.33E-09,6.33E-06
3,tt_1,8.80E-01,1,1,1,1,0,0,8.03E-09,5.52E-06
3,tt_2,8.80E-01,1,1,1,1,0,80,7.76E-09,5.45E-06
3,tt_3,1.1,1,1,1,1,0,-55,8.68E-09,1.02E-05
3,tt_4,1.1,1,1,1,1,0,0,8.42E-09,9.00E-06
3,tt_5,1.1,1,1,1,1,0,80,8.34E-09,8.91E-06
3,tt_6,1.32,1,1,1,1,0,-55,9.05E-09,1.57E-05
3,tt_7,1.32,1,1,1,1,0,0,8.90E-09,1.45E-05
3,tt_8,1.32,1,1,1,1,0,80,9.03E-09,1.46E-05
4,ff_0,8.80E-01,1,1,1,1,1,-55,4.14E-09,1.11E-06
4,ff_1,8.80E-01,1,1,1,1,1,0,3.90E-09,9.41E-07
4,ff_2,8.80E-01,1,1,1,1,1,80,3.55E-09,1.19E-06
4,ff_3,1.1,1,1,1,1,1,-55,3.98E-09,2.65E-06
4,ff_4,1.1,1,1,1,1,1,0,3.73E-09,2.32E-06
4,ff_5,1.1,1,1,1,1,1,80,3.37E-09,3.06E-06
4,ff_6,1.32,1,1,1,1,1,-55,3.83E-09,6.27E-06
4,ff_7,1.32,1,1,1,1,1,0,3.57E-09,5.97E-06
4,ff_8,1.32,1,1,1,1,1,80,3.20E-09,7.37E-06
4,ss_0,8.80E-01,1,1,1,1,1,-55,8.74E-09,1.69E-06
4,ss_1,8.80E-01,1,1,1,1,1,0,8.35E-09,1.20E-06
4,ss_2,8.80E-01,1,1,1,1,1,80,7.76E-09,8.31E-07
4,ss_3,1.1,1,1,1,1,1,-55,8.60E-09,2.83E-06
4,ss_4,1.1,1,1,1,1,1,0,8.19E-09,2.13E-06
4,ss_5,1.1,1,1,1,1,1,80,7.59E-09,1.12E-06
4,ss_6,1.32,1,1,1,1,1,-55,8.46E-09,4.58E-06
4,ss_7,1.32,1,1,1,1,1,0,8.04E-09,3.82E-06
4,ss_8,1.32,1,1,1,1,1,80,7.42E-09,2.21E-06
4,tt_0,8.80E-01,1,1,1,1,1,-55,6.32E-09,1.72E-06
4,tt_1,8.80E-01,1,1,1,1,1,0,6.01E-09,7.89E-07
4,tt_2,8.80E-01,1,1,1,1,1,80,5.54E-09,7.66E-07
4,tt_3,1.1,1,1,1,1,1,-55,6.16E-09,2.78E-06
4,tt_4,1.1,1,1,1,1,1,0,5.84E-09,1.55E-06
4,tt_5,1.1,1,1,1,1,1,80,5.35E-09,1.59E-06
4,tt_6,1.32,1,1,1,1,1,-55,6.00E-09,4.98E-06
4,tt_7,1.32,1,1,1,1,1,0,5.68E-09,3.73E-06
4,tt_8,1.32,1,1,1,1,1,80,5.17E-09,3.90E-06
