Vds,cap_im_nmos (Vlow=1.1),cap_im_nmos (Vlow=0)
0.55,4.703137891791944e-17,7.653234786469992e-17
0.5527638190954774,4.697063863347603e-17,7.662689782504591e-17
0.5555276381909549,4.6910203357620525e-17,7.672085753481191e-17
0.5582914572864323,4.6850073090352926e-17,7.68142269939979e-17
0.5610552763819096,4.6790247831673236e-17,7.690700620260388e-17
0.563819095477387,4.6730727581581445e-17,7.699919516062985e-17
0.5665829145728644,4.667151234007757e-17,7.709079386807583e-17
0.5693467336683418,4.66126021071616e-17,7.718180232494178e-17
0.5721105527638192,4.655399688283353e-17,7.727222053122774e-17
0.5748743718592966,4.649569666709337e-17,7.736204848693369e-17
0.5776381909547739,4.643770145994112e-17,7.745128619205962e-17
0.5804020100502513,4.638001126137677e-17,7.753993364660554e-17
0.5831658291457287,4.6322626071400334e-17,7.762799085057148e-17
0.5859296482412061,4.62655458900118e-17,7.771545780395739e-17
0.5886934673366835,4.6208770717211174e-17,7.780233450676329e-17
0.5914572864321609,4.6152300552998453e-17,7.788862095898921e-17
0.5942211055276383,4.6096135397373636e-17,7.79743171606351e-17
0.5969849246231156,4.604027525033673e-17,7.805942311170097e-17
0.599748743718593,4.5984720111887733e-17,7.814393881218686e-17
0.6025125628140704,4.592946998202664e-17,7.822786426209274e-17
0.6052763819095478,4.587452486075346e-17,7.831119946141859e-17
0.6080402010050252,4.581988474806818e-17,7.839394441016446e-17
0.6108040201005026,4.5765549643970805e-17,7.847609910833031e-17
0.6135678391959799,4.5711519548461335e-17,7.855766355591615e-17
0.6163316582914573,4.565779446153978e-17,7.863863775292199e-17
0.6190954773869347,4.560437438320613e-17,7.871902169934782e-17
0.6218592964824121,4.555125931346038e-17,7.879881539519364e-17
0.6246231155778895,4.549844925230254e-17,7.887801884045944e-17
0.6273869346733669,4.5445944199732604e-17,7.895663203514527e-17
0.6301507537688442,4.539374415575058e-17,7.903465497925106e-17
0.6329145728643216,4.534184912035646e-17,7.911208767277684e-17
0.635678391959799,4.5290259093550244e-17,7.918893011572263e-17
0.6384422110552764,4.523897407533194e-17,7.926518230808842e-17
0.6412060301507538,4.5187994065701535e-17,7.934084424987418e-17
0.6439698492462312,4.5137319064659045e-17,7.941591594107995e-17
0.6467336683417086,4.508694907220446e-17,7.949039738170571e-17
0.6494974874371859,4.503688408833778e-17,7.956428857175145e-17
0.6522613065326633,4.4987124113059006e-17,7.96375895112172e-17
0.6550251256281407,4.493766914636814e-17,7.971030020010293e-17
0.6577889447236182,4.488851918826518e-17,7.978242063840866e-17
0.6605527638190956,4.483967423875013e-17,7.985395082613437e-17
0.663316582914573,4.479113429782298e-17,7.992489076328009e-17
