"/V0/PLUS_dcOp (b0=0,b1=0,b2=0) X","/V0/PLUS_dcOp (b0=0,b1=0,b2=0) Y","/V0/PLUS_dcOp (b0=0,b1=0,b2=1) X","/V0/PLUS_dcOp (b0=0,b1=0,b2=1) Y","/V0/PLUS_dcOp (b0=0,b1=1,b2=0) X","/V0/PLUS_dcOp (b0=0,b1=1,b2=0) Y","/V0/PLUS_dcOp (b0=0,b1=1,b2=1) X","/V0/PLUS_dcOp (b0=0,b1=1,b2=1) Y","/V0/PLUS_dcOp (b0=1,b1=0,b2=0) X","/V0/PLUS_dcOp (b0=1,b1=0,b2=0) Y","/V0/PLUS_dcOp (b0=1,b1=0,b2=1) X","/V0/PLUS_dcOp (b0=1,b1=0,b2=1) Y","/V0/PLUS_dcOp (b0=1,b1=1,b2=0) X","/V0/PLUS_dcOp (b0=1,b1=1,b2=0) Y","/V0/PLUS_dcOp (b0=1,b1=1,b2=1) X","/V0/PLUS_dcOp (b0=1,b1=1,b2=1) Y"
0,6.504641103275024e-05,0,8.093036885497785e-05,0,7.297015351880299e-05,0,8.885357289131182e-05,0,6.978106437092356e-05,0,8.566471177538136e-05,0,7.770465203668112e-05,0,9.358776100281679e-05
1,9.678838135732626e-05,1,0.0001126701818180438,1,0.0001047110479147878,1,0.0001205923099944703,1,0.0001015224144096931,1,0.0001174039044983167,1,0.0001094449261696266,1,0.0001253255499526253
