P_avg_tt_mc X,
1.34479952134971e-06,5
1.34909908397316e-06,7
1.34923763324993e-06,2
1.35625488850845e-06,4
1.35655829828706e-06,8
1.36132532073876e-06,6
1.36245952255716e-06,9
1.36452347724527e-06,1
1.36564796478143e-06,3
1.36697137695701e-06,9
1.36719092312589e-06,21
1.36748907279092e-06,3
1.36770449515705e-06,14
1.36888257893355e-06,2
1.36897402932053e-06,18
1.37266122290837e-06,12
1.3741612833916e-06,22
1.37535283703819e-06,16
1.37577295558806e-06,4
1.37814837087274e-06,23
1.37827302493761e-06,17
1.37898708501884e-06,27
1.38037448120525e-06,1
1.38078905928323e-06,24
1.38133789033757e-06,20
1.38139517104168e-06,8
1.38165803357384e-06,29
1.38192274308585e-06,19
1.38207418903489e-06,7
1.38257683763862e-06,13
1.38325687539929e-06,28
1.38406750178893e-06,15
1.3848903574343e-06,26
1.3849640012357e-06,6
1.38496531008104e-06,5
1.38525710523995e-06,25
1.38671679465522e-06,30
1.38708698184475e-06,11
1.38720798519349e-06,10
1.3888795661792e-06,16
1.38895783363002e-06,30
1.39102143644871e-06,26
1.39145011705049e-06,24
1.39364859554195e-06,8
1.39490305384701e-06,3
1.3967967814112e-06,12
1.39716737849434e-06,35
1.39794812829127e-06,33
1.39808234936235e-06,6
1.39839870462134e-06,2
1.39860091775052e-06,38
1.39884897367307e-06,1
1.39958734467767e-06,19
1.40058086871668e-06,22
1.40140352853241e-06,15
1.40249293892899e-06,4
1.40289130245489e-06,37
1.40301308710939e-06,25
1.4030541725645e-06,31
1.40307524320963e-06,29
1.4033275014917e-06,7
1.40333202225031e-06,32
1.40338237326833e-06,11
1.40342099567686e-06,28
1.40376536463176e-06,9
1.40391877583742e-06,13
1.40502835923261e-06,5
1.4050529608034e-06,20
1.40520728940737e-06,27
1.40589571538695e-06,23
1.40627672868938e-06,17
1.4064736603497e-06,10
1.40662155830508e-06,14
1.40707578855281e-06,21
1.40828629903683e-06,36
1.4083876628147e-06,34
1.40840882520255e-06,18
1.40959957192997e-06,21
1.41014062947779e-06,49
1.41031736232913e-06,17
1.4104467644663e-06,31
1.41128945260517e-06,28
1.41135324421338e-06,47
1.41141611042399e-06,13
1.41194796809219e-06,12
1.41197959734528e-06,24
1.41322977808737e-06,30
1.41366661139321e-06,14
1.41415859052892e-06,39
1.41459341635223e-06,50
1.41470810117966e-06,11
1.41518375830301e-06,7
1.41530422327206e-06,37
1.41562331933914e-06,22
1.41595945712396e-06,44
1.41645110365676e-06,38
1.41679798216603e-06,15
1.41689233460442e-06,4
1.41817147995649e-06,46
1.41827342167541e-06,29
1.41878578560443e-06,45
1.41904813872906e-06,41
1.41948303869457e-06,18
1.4199514971447e-06,32
1.42003473040381e-06,5
1.42057688004177e-06,33
1.42149977689329e-06,19
1.4218152981614e-06,10
1.42267010257913e-06,27
1.42275189648881e-06,6
1.42285733141097e-06,48
1.42295622578014e-06,23
1.42331675450763e-06,9
1.42438102781555e-06,34
1.42497756246075e-06,25
1.4251933662637e-06,43
1.4261554767296e-06,16
1.42658496575178e-06,1
1.42682095148753e-06,35
1.4268497533913e-06,8
1.42727760811034e-06,2
1.42748148589792e-06,26
1.42785541260871e-06,42
1.42852633396517e-06,36
1.42878908587672e-06,3
1.42886625218025e-06,40
1.42929757090481e-06,20
1.42988539453028e-06,8
1.43008040918499e-06,3
1.43107322153904e-06,24
1.43274074012348e-06,1
1.43308490681252e-06,37
1.4338436873254e-06,35
1.43420162380818e-06,19
1.43513795033609e-06,38
1.43553018475489e-06,18
1.4357715668143e-06,26
1.4364997129522e-06,9
1.43660483603449e-06,22
1.43712756811886e-06,20
1.43723236237098e-06,34
1.43737950342812e-06,41
1.43766948276068e-06,16
1.43848562026502e-06,27
1.43851325660988e-06,33
1.4385305215213e-06,15
1.4399279868991e-06,40
1.43993951544472e-06,4
1.44056804328087e-06,30
1.44064147518417e-06,39
1.44092521290542e-06,32
1.44112500475575e-06,13
1.44120085817108e-06,10
1.44214571458978e-06,25
1.44266061014019e-06,28
1.44266967642412e-06,12
1.44333137762965e-06,2
1.4443566252544e-06,23
1.44478890600211e-06,36
1.44486157254969e-06,6
1.44507541815828e-06,29
1.44607264804775e-06,5
1.4466395092527e-06,7
1.4467609189825e-06,14
1.4478809876697e-06,17
1.44888461972156e-06,31
1.4501822810757e-06,21
1.45034849788827e-06,11
1.45170434533344e-06,12
1.45171514053623e-06,11
1.45172833431333e-06,8
1.45311990169094e-06,5
1.45684084188928e-06,3
1.45719871318648e-06,1
1.45831519444955e-06,17
1.45860120697278e-06,15
1.45876214350131e-06,4
1.45877806371637e-06,16
1.46011522334626e-06,20
1.46137180803267e-06,18
1.46277331736965e-06,9
1.46285448826087e-06,2
1.46368799290742e-06,13
1.46389298959385e-06,7
1.46401949839701e-06,14
1.47027489674877e-06,19
1.47070844024848e-06,6
1.47094328834255e-06,10
1.47453260681237e-06,9
1.47462117796461e-06,7
1.47754422990406e-06,5
1.48084621642485e-06,3
1.48123817404472e-06,4
1.48379615309162e-06,6
1.48486562322234e-06,2
1.48487282118596e-06,8
1.48928035381294e-06,1
1.50184487711526e-06,1
1.5211327851478e-06,1
1.55703113857589e-06,1
