"Pavg (s0=0,s1=0,s2=0) X","Pavg (s0=0,s1=0,s2=0) Y","Pavg (s0=1,s1=0,s2=0) X","Pavg (s0=1,s1=0,s2=0) Y","Pavg (s0=1,s1=1,s2=0) X","Pavg (s0=1,s1=1,s2=0) Y","Pavg (s0=1,s1=1,s2=1) X","Pavg (s0=1,s1=1,s2=1) Y"
0,7.409681347918851e-05,0,9.120189219091943e-05,0,9.676043846421993e-05,0,9.138897202603337e-05
  ,  ,  ,  ,  ,  ,1,7.410147715586486e-05
