"sample(delay(?wf1 v(""/in_DTC"" ?result ""tran"") ?value1 (VAR(""Vdd"") / 2) ?edge1 ""rising"" ?wf2 v(""/out_DTC"" ?result ""tran"") ?value2 (VAR(""Vdd"") / 2) ?edge2 ""falling"" ?multiple t) (2e-08 + (41 * VAR(""T""))) ((2025 * VAR(""T"")) + 2e-08) ""linear"" VAR(""T"")) X","sample(delay(?wf1 v(""/in_DTC"" ?result ""tran"") ?value1 (VAR(""Vdd"") / 2) ?edge1 ""rising"" ?wf2 v(""/out_DTC"" ?result ""tran"") ?value2 (VAR(""Vdd"") / 2) ?edge2 ""falling"" ?multiple t) (2e-08 + (41 * VAR(""T""))) ((2025 * VAR(""T"")) + 2e-08) ""linear"" VAR(""T"")) Y"
4.14E-06,1.147510081305E-09
4.16E-06,1.148471501434E-09
4.18E-06,1.149285743115E-09
4.20E-06,1.150257799822E-09
4.22E-06,1.151154932551E-09
4.24E-06,1.152101451682E-09
4.26E-06,1.153126158940E-09
4.28E-06,1.153945698231E-09
4.30E-06,1.154914566803E-09
4.32E-06,1.155839072218E-09
4.34E-06,1.156798905245E-09
4.36E-06,1.157664700763E-09
4.38E-06,1.158634554261E-09
4.40E-06,1.159597551614E-09
4.42E-06,1.160522901626E-09
4.44E-06,1.161407881160E-09
4.46E-06,1.162332891941E-09
4.48E-06,1.163187194436E-09
4.50E-06,1.164200540567E-09
4.52E-06,1.165061187151E-09
4.54E-06,1.166226053128E-09
4.56E-06,1.157489220305E-09
4.58E-06,1.158300330847E-09
4.60E-06,1.159153631679E-09
4.62E-06,1.160097895080E-09
4.64E-06,1.161052601918E-09
4.66E-06,1.161999075981E-09
4.68E-06,1.162818847959E-09
4.70E-06,1.163851452528E-09
4.72E-06,1.164786110769E-09
4.74E-06,1.165698607508E-09
4.76E-06,1.166567954282E-09
4.78E-06,1.167517601378E-09
4.80E-06,1.168373760331E-09
4.82E-06,1.169330945138E-09
4.84E-06,1.170248878984E-09
4.86E-06,1.171122407425E-09
4.88E-06,1.172165076874E-09
4.90E-06,1.172986822206E-09
4.92E-06,1.174006358860E-09
4.94E-06,1.174837721275E-09
4.96E-06,1.175866423160E-09
4.98E-06,1.176758939023E-09
5.00E-06,1.177733816770E-09
5.02E-06,1.178639742578E-09
5.04E-06,1.179632384783E-09
5.06E-06,1.180478091949E-09
5.08E-06,1.181432913717E-09
5.10E-06,1.182333153706E-09
5.12E-06,1.183289508373E-09
5.14E-06,1.184134706015E-09
5.16E-06,1.185277786881E-09
5.18E-06,1.175842802394E-09
5.20E-06,1.176600220529E-09
5.22E-06,1.177519314564E-09
5.24E-06,1.178468471265E-09
5.26E-06,1.179408943068E-09
5.28E-06,1.180342970372E-09
5.30E-06,1.181248086412E-09
5.32E-06,1.182178170046E-09
5.34E-06,1.183118371300E-09
5.36E-06,1.184023118928E-09
5.38E-06,1.184904394470E-09
5.40E-06,1.185807267812E-09
5.42E-06,1.186820291367E-09
5.44E-06,1.187694082979E-09
5.46E-06,1.188626566021E-09
5.48E-06,1.189478119936E-09
5.50E-06,1.190550007658E-09
5.52E-06,1.191388097246E-09
5.54E-06,1.192344818437E-09
5.56E-06,1.193207903895E-09
5.58E-06,1.194225622836E-09
5.60E-06,1.195119608615E-09
5.62E-06,1.196113075068E-09
5.64E-06,1.197086316039E-09
5.66E-06,1.197996636320E-09
5.68E-06,1.198858455650E-09
5.70E-06,1.199822418207E-09
5.72E-06,1.200689699240E-09
5.74E-06,1.201658758035E-09
5.76E-06,1.202525921270E-09
5.78E-06,1.203725164133E-09
5.80E-06,1.195891821821E-09
5.82E-06,1.196724171644E-09
5.84E-06,1.197618615246E-09
5.86E-06,1.198559562784E-09
5.88E-06,1.199453888484E-09
5.90E-06,1.200375513544E-09
5.92E-06,1.201257540178E-09
5.94E-06,1.202202162718E-09
5.96E-06,1.203079750751E-09
5.98E-06,1.204080230644E-09
6.00E-06,1.204997305305E-09
6.02E-06,1.205898445226E-09
6.04E-06,1.206806671683E-09
6.06E-06,1.207716472234E-09
6.08E-06,1.208712170469E-09
6.10E-06,1.209442201597E-09
6.12E-06,1.210555682609E-09
6.14E-06,1.211405876638E-09
6.16E-06,1.212433437285E-09
6.18E-06,1.213306771618E-09
6.20E-06,1.214301601859E-09
6.22E-06,1.215093292891E-09
6.24E-06,1.216169265041E-09
6.26E-06,1.217113001647E-09
6.28E-06,1.218003799359E-09
6.30E-06,1.218898102364E-09
6.32E-06,1.219863812163E-09
6.34E-06,1.220654715749E-09
6.36E-06,1.221776861418E-09
6.38E-06,1.222592985975E-09
6.40E-06,1.223805868581E-09
6.42E-06,1.214737542478E-09
6.44E-06,1.215524855335E-09
6.46E-06,1.216375680632E-09
6.48E-06,1.217291500606E-09
6.50E-06,1.218318509841E-09
6.52E-06,1.219217100388E-09
6.54E-06,1.220145495067E-09
6.56E-06,1.221075188064E-09
