delay (Vbp=1.1) X,delay (Vbp=1.1) Y,delay (Vbp=1.2) X,delay (Vbp=1.2) Y,delay (Vbp=1.3) X,delay (Vbp=1.3) Y,delay (Vbp=1.5) X,delay (Vbp=1.5) Y
1.42e-06,1.412430353970579e-09,1.42e-06,1.461251666606601e-09,1.42e-06,1.507498938393334e-09,1.42e-06,1.596371392829664e-09
1.44e-06,1.434635349879551e-09,1.44e-06,1.484158018434927e-09,1.44e-06,1.531009024981637e-09,1.44e-06,1.619959694733243e-09
1.46e-06,1.456656368061574e-09,1.46e-06,1.506412095395928e-09,1.46e-06,1.553955335710083e-09,1.46e-06,1.643509187493336e-09
1.48e-06,1.478831595972101e-09,1.48e-06,1.529159321516068e-09,1.48e-06,1.577140136434522e-09,1.48e-06,1.667650778735582e-09
1.5e-06,1.500769975741597e-09,1.5e-06,1.551722535004496e-09,1.5e-06,1.600614762495501e-09,1.5e-06,1.691662610093323e-09
1.52e-06,1.52302142279378e-09,1.52e-06,1.574601242509325e-09,1.52e-06,1.623313735401392e-09,1.52e-06,1.716233907332364e-09
1.54e-06,1.54488232789363e-09,1.54e-06,1.597005432625167e-09,1.54e-06,1.64662386436139e-09,1.54e-06,1.739395094534326e-09
1.56e-06,1.567084124194125e-09,1.56e-06,1.619567043455065e-09,1.56e-06,1.669356458085346e-09,1.56e-06,1.763332074067992e-09
1.58e-06,1.589338791228598e-09,1.58e-06,1.642340023690244e-09,1.58e-06,1.693203674687431e-09,1.58e-06,1.787277789271685e-09
1.6e-06,1.611148357482681e-09,1.6e-06,1.665182045929917e-09,1.6e-06,1.716426116888628e-09,1.6e-06,1.81129120290476e-09
1.62e-06,1.633131018514561e-09,1.62e-06,1.687883125809909e-09,1.62e-06,1.739388524398666e-09,1.62e-06,1.834734560377555e-09
1.64e-06,1.654876105409883e-09,1.64e-06,1.710031195262599e-09,1.64e-06,1.76200198276975e-09,1.64e-06,1.857009060781908e-09
1.66e-06,1.676779880664771e-09,1.66e-06,1.732428838614348e-09,1.66e-06,1.784563155500911e-09,1.66e-06,1.882744076673834e-09
1.68e-06,1.698923970020074e-09,1.68e-06,1.75514088359549e-09,1.68e-06,1.808058865624297e-09,1.68e-06,1.905643748944502e-09
1.7e-06,1.721607584643564e-09,1.7e-06,1.777533619455042e-09,1.7e-06,1.830825146921599e-09,1.7e-06,1.930052068776596e-09
1.72e-06,1.742952576750058e-09,1.72e-06,1.80006233925282e-09,1.72e-06,1.854021603542716e-09,1.72e-06,1.954069486785573e-09
1.74e-06,1.76507500120046e-09,1.74e-06,1.822582272611638e-09,1.74e-06,1.876897341470504e-09,1.74e-06,1.977510522904544e-09
1.76e-06,1.786718620167163e-09,1.76e-06,1.845203714328934e-09,1.76e-06,1.899988661906982e-09,1.76e-06,2.001791707176824e-09
1.78e-06,1.808584633391737e-09,1.78e-06,1.867629480482079e-09,1.78e-06,1.922960703866205e-09,1.78e-06,2.025326149347503e-09
