P_inst X,P_inst Y
2e-08,1.384350581135867e-05
2.0125e-08,1.386182877353685e-05
2.026179075056034e-08,2.671935135905591e-05
2.02703887628317e-08,2.855024287231543e-05
2.028758478737442e-08,3.576471720141206e-05
2.029620188000625e-08,4.974798683438082e-05
2.030438576739744e-08,7.695604570777407e-05
2.031405883971805e-08,0.000120985889667971
2.032120560677826e-08,0.0001406059809894095
2.032332501945022e-08,0.0001451324168631803
2.032513879019171e-08,0.0001546849502613029
2.032742010292801e-08,0.0001890901705035507
2.032916563762705e-08,0.0002458343600831496
2.033074062989769e-08,0.0003233851391322215
2.03327058225743e-08,0.0004470943216167744
2.033512449505318e-08,0.0006072347959478912
2.033688296280124e-08,0.0007012013836204452
2.033855582723208e-08,0.0007855367105928443
2.034020010986015e-08,0.000878749139031727
2.034160754184402e-08,0.0009376226920433514
2.034312480403061e-08,0.0009383467230183227
2.034420228518353e-08,0.0008885058097321321
2.034528311946423e-08,0.0008248838411648293
2.034620169987702e-08,0.0007710203896875149
2.034730692962821e-08,0.0007080024540762694
2.034842045230452e-08,0.000645297313157992
2.03494279998206e-08,0.0005903811566679324
2.035066698794023e-08,0.0005297297758207278
2.035192041291134e-08,0.0004787040893570561
2.035342440634825e-08,0.0004302565020515463
2.035494478612591e-08,0.0003935907285202814
2.035654021305659e-08,0.0003677601311948813
2.035849515112576e-08,0.0003489793346163556
2.036041232331706e-08,0.0003370029933484229
2.03628472313253e-08,0.0003275743052132764
2.036524565146741e-08,0.0003222272304688428
2.036843486130238e-08,0.0003177200426998803
2.037125012690238e-08,0.00031463603079587
2.037441860208347e-08,0.0003115070554139834
2.037799733932726e-08,0.0003082022316714039
2.038212365896894e-08,0.000304647916864434
2.03867458327102e-08,0.0003010168395471472
2.039195857471315e-08,0.0002974139360349338
2.039780002608371e-08,0.0002940318700777248
2.040437026229415e-08,0.0002910793304589298
2.041170501836413e-08,0.0002888521999769495
2.041996954954232e-08,0.0002876834460122332
2.042917998785357e-08,0.0002880097372605417
2.043943228593109e-08,0.0002902951696340198
2.045080084764624e-08,0.0002949813472777671
2.046344127924885e-08,0.0003024296515648337
2.04773169423279e-08,0.0003125127841853305
2.048865847116395e-08,0.0003214248715350468
2.05e-08,0.0003300507421020937
2.050784257367743e-08,0.0003349803870023293
2.051774381614374e-08,0.0003406123189755009
2.052748682021299e-08,0.0003445529440032516
2.054544901372861e-08,0.0003471560175130491
2.058137340075986e-08,0.0003354429318109691
2.062169392469453e-08,0.0003115073381166836
2.066409338319818e-08,0.0003134571466516292
2.067168446090667e-08,0.000316062040511788
2.068686661632366e-08,0.0003082087830247541
2.069825966950201e-08,0.0002900228461804
2.070763933677163e-08,0.000269683663558572
2.071572477342572e-08,0.0002443124623239346
2.071943458037478e-08,0.0002290253279765323
2.072369280293723e-08,0.0002104787450648007
2.072725972162441e-08,0.0001941165936711892
2.07298421197311e-08,0.0001801253741635357
2.073156857154212e-08,0.0001699366459809778
2.073320741030561e-08,0.0001607260438897019
2.073485769703903e-08,0.0001528241701880918
2.073698900076209e-08,0.000144790023570177
2.073988687314874e-08,0.0001355689117639864
2.074202604822386e-08,0.0001294638906719433
2.07443812453781e-08,0.0001236214120948085
2.074742039197774e-08,0.0001172036865242589
2.07532469367829e-08,0.0001068560015351109
2.075820618614542e-08,9.937719367100937e-05
2.076417710976839e-08,9.167334148832969e-05
2.077179201324216e-08,8.34248083736216e-05
2.078283720302354e-08,7.376043757846932e-05
2.079819995527913e-08,6.336150902286102e-05
2.081859457511695e-08,5.298625470788251e-05
2.08462210791056e-08,4.269873862268192e-05
2.088602903788103e-08,3.239199728714348e-05
2.093397370354014e-08,2.412589251089926e-05
2.10135281728229e-08,1.578677241843946e-05
2.109402779455164e-08,1.1219203041677e-05
2.124444572721804e-08,7.696689188118332e-06
2.137636471226158e-08,6.171229521038776e-06
2.149545669209181e-08,5.215046102362283e-06
2.163812340345994e-08,4.421813804684375e-06
2.179786387647857e-08,3.843454613097782e-06
2.198922629479356e-08,3.423700225632061e-06
2.221040207154516e-08,3.156296758471358e-06
2.247000751207034e-08,2.999799889992868e-06
2.277475524383312e-08,2.918157892199851e-06
2.31302832267058e-08,2.880164736892632e-06
2.354654632972078e-08,2.863546777500983e-06
2.403351112812886e-08,2.855946819439679e-06
2.460288329449599e-08,2.851740271087402e-06
2.505144164724799e-08,2.849664075923419e-06
2.5163581235436e-08,2.849237500484122e-06
2.52056335810065e-08,2.849082024979422e-06
2.52897382721475e-08,2.848786571649677e-06
2.531317004247397e-08,2.907476912972022e-06
2.531865238217813e-08,3.128378485128307e-06
2.532716923864144e-08,1.768138468750078e-05
2.533120414275156e-08,7.630520050463023e-05
2.533415333337711e-08,0.0001561683238088835
2.533759888519577e-08,0.0002513490898298797
2.53403699324055e-08,0.0002871418713166473
2.534411366370697e-08,0.0002698747718653149
2.53456471943427e-08,0.0003108616508134905
2.534766755853333e-08,0.0003601267543123936
2.534909909503813e-08,0.0003361028809250798
2.535084041499441e-08,0.0002632210826918976
2.535240130401306e-08,0.0003021080091693433
2.535356941008175e-08,0.0004002200714389091
2.535452581989639e-08,0.0004342576821475878
2.53551184570595e-08,0.0004388995231708466
2.535583559239678e-08,0.0004620025184492276
2.535649438068829e-08,0.0005010262703706596
2.535741283942305e-08,0.0005452132967834399
2.535837337017633e-08,0.0005597832779337006
2.53593304085225e-08,0.0005494924309305064
2.536030865100435e-08,0.000525858016719053
2.536116187865867e-08,0.0005013155156124197
2.536234876939891e-08,0.0004662024782229573
2.536367406316391e-08,0.0004247871824163089
2.536470802589603e-08,0.0003928176097398989
2.536585535086165e-08,0.0003625719561169265
2.536756725298818e-08,0.0003404242010960892
2.536943626109305e-08,0.000352107279244482
2.537110763324485e-08,0.0003775868208753785
2.537318140290499e-08,0.0004100659976948655
2.537572776020078e-08,0.0004454282108165101
2.537762866356373e-08,0.0004837927857727522
2.537912867672378e-08,0.0005142991136006264
2.538034153111547e-08,0.0005279686453687896
2.538159536497402e-08,0.0005335596983344998
2.538270846149765e-08,0.0005446635939398856
2.538361089706016e-08,0.0005530223716054124
2.538449479448386e-08,0.0005657319348447711
2.538534734299315e-08,0.0005895506217113677
2.538609675065761e-08,0.0006168102067956747
2.538672522417e-08,0.0006399631149844289
2.538733345231425e-08,0.0006614162145678728
2.538805226353491e-08,0.0006870899076068847
2.538881778935132e-08,0.0007187003421776368
2.538983210180711e-08,0.0007775318193808503
2.539073327052998e-08,0.0008515765424807393
2.539175457743578e-08,0.0009508083695856511
2.539260387085976e-08,0.001031130698343536
2.539345698639055e-08,0.001099086270845529
2.53945808461106e-08,0.001163161759886886
2.539587914593345e-08,0.001202619557599428
2.539761234688154e-08,0.001218605677573566
2.539912678639303e-08,0.001237554129537645
2.540069965938334e-08,0.00130871347776201
2.540217870996474e-08,0.001428461074708444
2.540344302416813e-08,0.0015503023752174
2.540477649487062e-08,0.001671731827723606
2.54061867554466e-08,0.001773670859786211
2.540787103051493e-08,0.001847055898505755
2.540977677583143e-08,0.001870783572783835
2.54125050825523e-08,0.001843905428665469
2.54145207792532e-08,0.001809876294767576
2.541675030834601e-08,0.001791560740741005
2.541949779570028e-08,0.001860266411479417
2.542177184997939e-08,0.002019776732632742
2.542472905501874e-08,0.002309359596760878
2.542707852477981e-08,0.002535744339231023
2.542938488481895e-08,0.002708789127059058
2.543205053722834e-08,0.00281314758819728
2.543460680574663e-08,0.002817187312171118
2.543770707687601e-08,0.002746223532997917
2.544085719012047e-08,0.002637349125398007
2.544368103711124e-08,0.00252792856978514
2.544801823454237e-08,0.00235438508512289
2.54529470253569e-08,0.002209189308597412
2.545778977373003e-08,0.002247485330354629
2.54629796030726e-08,0.00251451291460713
2.546852356758302e-08,0.002861006779342176
2.547329976789303e-08,0.003062426772140699
2.54777173734578e-08,0.003093408439022084
2.548195964807393e-08,0.002953587260703363
2.548680564414752e-08,0.002661128123358346
2.549058866572637e-08,0.002407059546396938
2.549468174262508e-08,0.002144496299273206
2.549734087131254e-08,0.001984843844421697
2.55e-08,0.001834799475406022
2.550531825737492e-08,0.001572463331868386
2.551112939070281e-08,0.001315754999138555
2.551838164874275e-08,0.001050461327348028
2.552708457926695e-08,0.0007987321666482493
2.554114754469927e-08,0.0005092986070281672
2.555690611732002e-08,0.0003114921022180993
2.557502913484327e-08,0.0001913334048447565
2.559059835410103e-08,0.0001396022735137297
2.561101239701863e-08,0.0001049691517117002
2.563342882714128e-08,8.515357225809385e-05
2.565721884766005e-08,7.187794284620244e-05
2.568446345406053e-08,6.064170910397982e-05
2.57136828302101e-08,5.105465842431271e-05
2.575473044420283e-08,4.038743490137371e-05
2.580302209511774e-08,3.09006256241618e-05
2.588076729933304e-08,2.045673773559191e-05
2.597911315093984e-08,1.267035652706989e-05
2.61618282212348e-08,6.158441650439288e-06
2.640474847203357e-08,3.62635557924101e-06
2.669885698662468e-08,2.983287678190152e-06
2.704996515743453e-08,2.865642652786475e-06
2.749844944052531e-08,2.849500450494121e-06
2.810940976429316e-08,2.846793748588938e-06
2.901058859254149e-08,2.844880260465608e-06
3e-08,2.8434636690364e-06
3.005183844588054e-08,2.843771978004929e-06
3.012867244899013e-08,2.861995028603015e-06
3.017614716403781e-08,3.276116981348941e-06
3.020733248894813e-08,5.038426441469812e-06
3.023282083118437e-08,8.711412282254538e-06
3.025743883194006e-08,1.44933654711062e-05
3.028378052667227e-08,2.119172035951932e-05
3.030814601353045e-08,2.489238348286724e-05
3.03158851733715e-08,2.835571068044298e-05
3.032623624318102e-08,5.528892880554485e-05
3.033274634748458e-08,9.287960479953667e-05
3.034046302317907e-08,0.0001391417030452819
3.034681018124524e-08,0.0001504573718780361
3.034994290380803e-08,0.0001509594579253813
3.035264041005941e-08,0.0001695893920593191
3.03546424219925e-08,0.000206673858417554
3.035740550897958e-08,0.0002751516336288912
3.03593696611451e-08,0.0003058309398253792
3.036183700741443e-08,0.0004644633014045309
3.036371026066836e-08,0.001085981137210702
3.036530513576913e-08,0.001780437116596537
3.036669446277033e-08,0.002295459988296382
3.036811870394787e-08,0.00264573843920052
3.036937440818264e-08,0.002784491671844379
3.037131582830199e-08,0.002760806034192906
3.037304196938884e-08,0.002614680005532435
3.03745376245415e-08,0.002444555538248801
3.037581547982694e-08,0.002287626919213897
3.037675190211297e-08,0.002175827645528144
3.037808438981184e-08,0.002028924557317073
3.037937391451234e-08,0.001902756018363519
3.038044221934796e-08,0.001812692039149153
3.038169697766948e-08,0.0017227225665872
3.038314216320833e-08,0.001633266428722142
3.038469571288699e-08,0.001543708230181634
3.038649233491441e-08,0.001442765205361028
3.03885793464357e-08,0.001343452556967068
3.039045205284465e-08,0.001352886591005311
3.039190485464235e-08,0.001363034113874582
3.039316652810172e-08,0.00126696834417567
3.039430168981097e-08,0.001163813773676655
3.039516362360183e-08,0.001110602068875949
3.03962183334417e-08,0.001050225207051864
3.039703325881144e-08,0.001001858878917301
3.039786765718169e-08,0.0009553956768371659
3.039859429242164e-08,0.0009216516163451562
3.039937582256051e-08,0.0008954328998508295
3.040015239826406e-08,0.0008833494070256289
3.040088896177405e-08,0.0008911051703235561
3.040155374751377e-08,0.0009155241091678396
3.040219607637202e-08,0.0009523246192366924
3.040280245187096e-08,0.0009939979529447825
3.040340655636873e-08,0.001037901086485067
3.040415850722854e-08,0.001090760438512401
3.040531064753245e-08,0.001160436130746106
3.040633364933418e-08,0.00120655984593129
3.040742231048211e-08,0.001238723574568488
3.040843745439636e-08,0.001254136721678834
3.040937877302304e-08,0.001258332238826103
3.041027752063554e-08,0.001254911283287125
3.041109834052484e-08,0.001247333832892804
3.041189394527366e-08,0.001236595714504867
3.041266943737636e-08,0.001224170252085468
3.041348129395183e-08,0.001209312264216879
3.041425712886046e-08,0.0011941821730217
3.041499798105448e-08,0.001178986399601916
3.041570771506783e-08,0.00116407471943664
3.041637464289196e-08,0.001149932715759482
3.041701155284031e-08,0.001136202607537633
3.041762695426777e-08,0.001123148962137786
3.041824080886157e-08,0.001109882526464374
3.04188846104135e-08,0.001096367323058635
3.041961918154862e-08,0.001080747714599323
3.042059519147201e-08,0.001060615342948991
3.042156020631686e-08,0.001040809660900391
3.042253588281394e-08,0.001021400632037418
3.042351847957687e-08,0.001002097705513743
3.042448226140602e-08,0.0009837148063270074
3.042545028541888e-08,0.0009655849389179141
3.042644512718264e-08,0.0009474423996021375
3.042744583615346e-08,0.0009296269956089468
3.042844420887729e-08,0.0009122803893136748
3.04294434635263e-08,0.0008953895576475314
3.043044194769729e-08,0.0008788882520887624
3.043144342622885e-08,0.0008628172433376937
