P_DTC_t (MC0=60) X,P_DTC_t (MC0=60) Y
2e-08,4.033671684878244e-05
2.0125e-08,4.033671667676641e-05
2.015919768764009e-08,4.033671977753684e-05
2.017629653146013e-08,4.033672514053214e-05
2.021049421910021e-08,4.033676508567591e-05
2.022602108891857e-08,4.03368578791515e-05
2.02449075107995e-08,4.033711908577229e-05
2.025834546415595e-08,4.03367829599671e-05
2.026441208113298e-08,4.033564311774037e-05
2.027052881107231e-08,4.033656487723039e-05
2.027752101096746e-08,4.036019666561192e-05
2.028421097198835e-08,4.098464191733202e-05
2.028614638627102e-08,4.323842581005307e-05
2.028793199332717e-08,5.064480053655693e-05
2.029004441663143e-08,7.536187535103341e-05
2.029166066729028e-08,0.0001113522342514459
2.02933218581583e-08,0.000163413281672116
2.029574897403963e-08,0.0002569161086808167
2.029748753752035e-08,0.0003251757442131976
2.02990358247604e-08,0.0003787957019991596
2.030059870172655e-08,0.0004304262830909751
2.03021365943253e-08,0.0004959596347834841
2.030356512364527e-08,0.0005702300928514584
2.03051208365859e-08,0.0006457868897941357
2.030613985310019e-08,0.0006818394843104709
2.03071074013283e-08,0.0006996256748752294
2.030820690301033e-08,0.0006969842874098666
2.030925552789314e-08,0.0006739502507466075
2.031024606181174e-08,0.000636813925495834
2.031137165356361e-08,0.0005845251656909709
2.031258688529958e-08,0.0005250352032466972
2.031380040592627e-08,0.0004680079586020247
2.031507325757024e-08,0.0004155562017600874
2.031634795727467e-08,0.0003725747725795681
2.031762655375852e-08,0.0003383242289624033
2.031891165089979e-08,0.0003106792777487745
2.032025369477806e-08,0.0002880591669729466
2.03216553785677e-08,0.0002709671108717158
2.032314573663236e-08,0.000257268153060853
2.032485355074034e-08,0.0002439723739324202
2.032678065091638e-08,0.0002310674996429943
2.03288720964949e-08,0.0002185518565168205
2.033094732639801e-08,0.0002065241587590438
2.033308662555492e-08,0.0001938405362245335
2.033519765576659e-08,0.000180839032276137
2.033728614994121e-08,0.0001675999857539188
2.033935669751742e-08,0.0001544357575281281
2.034140666492734e-08,0.0001418776700379815
2.03434655373867e-08,0.000130238205637677
2.034556010765864e-08,0.0001196322472787248
2.034774261737394e-08,0.0001102102839282573
2.035008068454182e-08,0.0001024658421424568
2.035268471340707e-08,9.652519114036748e-05
2.035571601616215e-08,9.228584883715881e-05
2.035914906862317e-08,8.967968646917338e-05
2.036292156818279e-08,8.820123484292808e-05
2.036706126676473e-08,8.729290386779367e-05
2.037154393956208e-08,8.661561763576189e-05
2.037635307246397e-08,8.600901817231792e-05
2.038149074547821e-08,8.540731145940975e-05
2.038694074630636e-08,8.479196208697201e-05
2.039270159578048e-08,8.41538923511794e-05
2.039876713924478e-08,8.349301770109369e-05
2.040513552464307e-08,8.280778916351551e-05
2.041180561740649e-08,8.210169307127433e-05
2.041877903682994e-08,8.137705999368606e-05
2.042605863632385e-08,8.064414740233724e-05
2.043362723637676e-08,7.992262136506014e-05
2.044148735384028e-08,7.925669605995745e-05
2.04496414963744e-08,7.873088514061006e-05
2.045809482781031e-08,7.850514720728429e-05
2.046685942051042e-08,7.883201375620384e-05
2.047595041782609e-08,8.006493676500225e-05
2.048538801209602e-08,8.265129240758815e-05
2.049269400604801e-08,8.580264407671692e-05
2.05e-08,9.012530017446427e-05
2.050852440282957e-08,9.666274388752923e-05
2.05169940860218e-08,0.0001047110516447965
2.05256034525359e-08,0.000113070038399256
2.053680511428139e-08,0.0001191531814862983
2.054642790249085e-08,0.0001163411270861012
2.055287717024668e-08,0.0001121511590872863
2.055995124043563e-08,0.0001076294014602415
2.056332402964907e-08,0.0001056898188833118
2.056621195291156e-08,0.000104143795180168
2.056949762912563e-08,0.0001024571011353658
2.057244694837068e-08,0.0001009704226114017
2.057556826743049e-08,9.938296040041592e-05
2.057886256320065e-08,9.766414966732741e-05
2.058180322194672e-08,9.60908545190835e-05
2.058391238903123e-08,9.494140167681861e-05
2.058629802392318e-08,9.364866448601886e-05
2.058918334807979e-08,9.210461544462086e-05
2.059138050309558e-08,9.09236421814937e-05
2.059411091987388e-08,8.942466292132695e-05
2.059957175343048e-08,8.613909235856391e-05
2.060754397994695e-08,7.979896878236411e-05
2.061661015387942e-08,7.136096079188272e-05
2.062539897996248e-08,6.38060854511264e-05
2.063407326820563e-08,5.763223282707289e-05
2.064490119261767e-08,5.148875641941339e-05
2.066655704144176e-08,4.328164288521839e-05
2.069292555502788e-08,3.791281276176524e-05
2.073228827224672e-08,3.418032552643779e-05
2.078706878742075e-08,3.181616931406939e-05
2.087773230753547e-08,2.998265258039062e-05
2.098579525990901e-08,2.910947569350096e-05
2.111875226086001e-08,2.889773974166707e-05
2.116015708996101e-08,2.889094436533467e-05
2.124296674816302e-08,2.888582551200819e-05
2.134610666298981e-08,2.888565085547536e-05
2.146943319233405e-08,2.888887735288508e-05
2.165082079932262e-08,2.889566992899957e-05
2.187912775206492e-08,2.890471886084628e-05
2.218524585630906e-08,2.891602917311813e-05
2.259546739837408e-08,2.892936371857843e-05
2.313540072912646e-08,2.894412302220987e-05
2.385578196128806e-08,2.89597818546837e-05
