delay X,delay Y
3.32E-06,5.3886998447E-09
3.34E-06,5.3829822764E-09
3.36E-06,5.3791875918E-09
3.38E-06,5.3750956109E-09
3.40E-06,5.3706712591E-09
3.42E-06,5.3662411244E-09
3.44E-06,5.3617469200E-09
3.46E-06,5.3573057582E-09
3.48E-06,5.3527878930E-09
3.50E-06,5.3483232294E-09
3.52E-06,5.3439493396E-09
3.54E-06,5.3394718549E-09
3.56E-06,5.3349941779E-09
3.58E-06,5.3305208185E-09
3.60E-06,5.3256804031E-09
3.62E-06,5.3215810109E-09
3.64E-06,5.3161148167E-09
3.66E-06,5.3126330979E-09
3.68E-06,5.3079636687E-09
3.70E-06,5.3034146734E-09
3.72E-06,5.2993328741E-09
3.74E-06,5.2949164624E-09
3.76E-06,5.2905005305E-09
3.78E-06,5.2861238904E-09
3.80E-06,5.2817768711E-09
3.82E-06,5.2774252505E-09
3.84E-06,5.2732159573E-09
3.86E-06,5.2775542605E-09
3.88E-06,5.3872873674E-09
3.90E-06,5.3823720078E-09
3.92E-06,5.3777071642E-09
3.94E-06,5.3731690041E-09
3.96E-06,5.3684919857E-09
3.98E-06,5.3639540519E-09
4.00E-06,5.3594463023E-09
4.02E-06,5.3548031595E-09
4.04E-06,5.3503149901E-09
4.06E-06,5.3458555086E-09
4.08E-06,5.3413220419E-09
4.10E-06,5.3368400728E-09
4.12E-06,5.3324188984E-09
4.14E-06,5.3279659782E-09
4.16E-06,5.3234438567E-09
4.18E-06,5.3189797054E-09
4.20E-06,5.3144742082E-09
4.22E-06,5.3098089881E-09
4.24E-06,5.3055654230E-09
4.26E-06,5.3011637947E-09
4.28E-06,5.2967562844E-09
4.30E-06,5.2922790667E-09
4.32E-06,5.2878003997E-09
4.34E-06,5.2833718819E-09
4.36E-06,5.2788962947E-09
4.38E-06,5.2745438396E-09
4.40E-06,5.2701264833E-09
4.42E-06,5.2657053626E-09
4.44E-06,5.2612608266E-09
4.46E-06,5.2567961593E-09
4.48E-06,5.2524378599E-09
4.50E-06,5.2515447429E-09
4.52E-06,5.2478147699E-09
4.54E-06,5.2433660931E-09
4.56E-06,5.2389233915E-09
4.58E-06,5.2344953672E-09
4.60E-06,5.2299991819E-09
4.62E-06,5.2255888454E-09
4.64E-06,5.2211629008E-09
4.66E-06,5.2167128080E-09
4.68E-06,5.2122553527E-09
4.70E-06,5.2077977319E-09
4.72E-06,5.2033706847E-09
4.74E-06,5.1991503073E-09
4.76E-06,5.1944495355E-09
4.78E-06,5.1900692119E-09
4.80E-06,5.1855863096E-09
4.82E-06,5.1811157337E-09
4.84E-06,5.1766268217E-09
4.86E-06,5.1721862953E-09
4.88E-06,5.1677276304E-09
4.90E-06,5.1632672977E-09
4.92E-06,5.1588270654E-09
4.94E-06,5.1543932653E-09
4.96E-06,5.1499269436E-09
4.98E-06,5.1455559742E-09
5.00E-06,5.1411577715E-09
5.02E-06,5.1367551875E-09
5.04E-06,5.1323886692E-09
5.06E-06,5.1280135095E-09
5.08E-06,5.1236547882E-09
5.10E-06,5.1192647930E-09
5.12E-06,5.1152074962E-09
5.14E-06,5.1196673821E-09
5.16E-06,5.2349346721E-09
5.18E-06,5.2303691134E-09
5.20E-06,5.2255541714E-09
5.22E-06,5.2174910549E-09
5.24E-06,5.2165693249E-09
5.26E-06,5.2119698535E-09
5.28E-06,5.2073073718E-09
5.30E-06,5.1994082113E-09
5.32E-06,5.1984357960E-09
5.34E-06,5.1937542074E-09
5.36E-06,5.1855739031E-09
5.38E-06,5.1848704924E-09
5.40E-06,5.1803355124E-09
5.42E-06,5.1758395061E-09
5.44E-06,5.1713473380E-09
5.46E-06,5.1668457015E-09
5.48E-06,5.1623577887E-09
5.50E-06,5.1577258617E-09
5.52E-06,5.1499548103E-09
5.54E-06,5.1488066209E-09
5.56E-06,5.1445018991E-09
5.58E-06,5.1400125976E-09
5.60E-06,5.1356644096E-09
5.62E-06,5.1312132885E-09
5.64E-06,5.1264451405E-09
5.66E-06,5.1223935797E-09
5.68E-06,5.1179352947E-09
5.70E-06,5.1132750186E-09
5.72E-06,5.1054619605E-09
5.74E-06,5.1045473941E-09
5.76E-06,5.1001994048E-09
5.78E-06,5.1000251883E-09
5.80E-06,5.0957643164E-09
5.82E-06,5.0912805922E-09
5.84E-06,5.0871130538E-09
5.86E-06,5.0826721766E-09
5.88E-06,5.0784252265E-09
5.90E-06,5.0739419072E-09
5.92E-06,5.0696013758E-09
5.94E-06,5.0650830727E-09
5.96E-06,5.0603374998E-09
5.98E-06,5.0562895644E-09
6.00E-06,5.0483163053E-09
6.02E-06,5.0477202194E-09
6.04E-06,5.0432213212E-09
6.06E-06,5.0385407645E-09
6.08E-06,5.0342103140E-09
6.10E-06,5.0300405969E-09
6.12E-06,5.0251258049E-09
