Edge Phase Noise; dBc/Hz; pm0 X,Edge Phase Noise; dBc/Hz; pm0 Y
10,-96.95728698160512
13.42637584296065,-98.1485472328857
18.02675682764374,-99.33969001418039
24.2034012397602,-100.5307062588911
32.49639617230002,-101.7215825703039
43.63088285510481,-102.9122999355981
58.58046315728254,-104.1028320322918
78.65233154043848,-105.2931430002402
105.6015764187076,-106.4831845132142
141.7846454606699,-107.6728919336802
190.3653938715879,-108.8621792691035
255.5917325613177,-110.0509325647964
343.1670663721736,-111.2390012623994
460.7490010039027,-112.426186920721
618.6189256747053,-113.6122285330595
830.5810199677136,-114.7967834813315
1115.169294211613,-115.9794029464871
1497.268207261428,-117.1595003622512
2010.288568840785,-118.3363112913435
2699.088987806386,-119.5088429934769
3623.898318388478,-120.6758120795043
4865.582083935679,-121.8355692475623
6532.713375369616,-122.9860115796316
8771.066505204857,-124.1244858864339
11776.36354424838,-125.2476920990652
15811.3883008419,-126.3516050867376
21228.96419260944,-127.4314482791164
28502.80520067281,-128.4817750165232
38268.93752029267,-129.4967452487532
51381.31382582281,-130.4707264065546
68986.48307306076,-131.399395207143
92623.8449822957,-132.2815603854351
124360.2554752427,-133.121924679554
166970.7529937215,-133.9348249777233
224181.2084475852,-134.7482619172997
300994.1161546385,-135.6055401583466
404126.0130011931,-136.5583175414048
542594.7738471222,-137.6433747106781
728508.1364097701,-138.8461534639547
978122.4044092422,-140.0789814827862
1313263.902201884,-141.2083165273766
1763237.473195562,-142.122314327685
2367388.901551588,-142.7820092283137
3178545.31586854,-143.2170020264509
4267634.40447331,-143.4868219315539
5729886.347480823,-143.6484245087377
7693160.763872658,-143.7436567967469
10329126.78360726,-143.7994261305946
13868273.83263024,-143.8317411461262
18620065.676999,-143.8493895830714
25000000,-143.8556755083474
