P_inst (k_TG=3) X,P_inst (k_TG=3) Y
5.008303952919141e-08,-5.877177826772571e-07
5.010893429378711e-08,-5.820319134956878e-07
5.01607238229785e-08,-5.947640619203367e-07
5.020414602534813e-08,-1.208528878394e-06
5.02210952588707e-08,-1.703766147405369e-06
5.023518356026233e-08,-2.093365131937811e-06
5.025371593503393e-08,-2.264648933988948e-06
5.026791164200112e-08,-2.334701026942242e-06
5.029176837273143e-08,-2.483437026069251e-06
5.029721202525268e-08,-2.469705510549002e-06
5.030809933029519e-08,-2.107186444358892e-06
5.03168190765689e-08,-1.529228892191699e-06
5.032391119839338e-08,-1.201584485588468e-06
5.033080504644078e-08,-1.112842643000166e-06
5.033771174815508e-08,-1.079856224007038e-06
5.034515096333405e-08,-1.025475077282965e-06
5.0360029393692e-08,-9.569162517313711e-07
5.038978625440788e-08,-8.305560845711922e-07
5.044010925221274e-08,-7.680850000554028e-07
5.05e-08,-8.556688954152712e-07
5.051286281244285e-08,-1.055673129971149e-06
5.053621630357423e-08,-1.111729002965097e-06
5.055772158431101e-08,-1.119362105224814e-06
5.060073214578458e-08,-1.119732955008133e-06
5.063444098144362e-08,-1.119655170103554e-06
5.07018586527617e-08,-1.118876289755401e-06
