W/l X, Delay Y 
1,8.267201236067056e-12
2,7.5618457450203e-12
3,7.657205793874348e-12
4,7.505966868972824e-12
5,7.580617618786977e-12
6,7.486980029468141e-12
7,7.538733257203394e-12
8,7.477252190677487e-12
9,7.518536952098509e-12
10,7.471234202222078e-12
