"delay (s0=0,s1=0,s2=0) X","delay (s0=0,s1=0,s2=0) Y","delay (s0=1,s1=0,s2=0) X","delay (s0=1,s1=0,s2=0) Y","delay (s0=1,s1=1,s2=0) X","delay (s0=1,s1=1,s2=0) Y","delay (s0=1,s1=1,s2=1) X","delay (s0=1,s1=1,s2=1) Y"
0,1.42179951779485e-09,0,1.193729846201479e-08,0,2.649199267879592e-08,0,4.161557798742161e-08
  ,  ,  ,  ,  ,  ,1,5.14208713146688e-08
